"","name","character_name","type","filename","likelyGender"
"1","Tom Hanks","Woody","Leading Cast","2010_0_Toy Story 3.csv","male"
"2","Tim Allen","Buzz Lightyear","Leading Cast","2010_0_Toy Story 3.csv","male"
"3","Johnny Depp","Mad Hatter","Leading Cast","2010_1_Alice in Wonderland.csv","male"
"4","Alan Rickman","Blue Caterpillar","Leading Cast","2010_1_Alice in Wonderland.csv","male"
"5","Robert Downey, Jr.","Tony Stark","Lead Ensemble Members","2010_2_Iron Man 2.csv","male"
"6","Gwyneth Paltrow","Pepper Potts","Lead Ensemble Members","2010_2_Iron Man 2.csv","female"
"7","Don Cheadle","Lt. Col. James ""Rhodey"" Rhodes","Lead Ensemble Members","2010_2_Iron Man 2.csv","male"
"8","Scarlett Johansson","Natalie Rushman/Natasha Romanoff","Lead Ensemble Members","2010_2_Iron Man 2.csv","female"
"9","Mickey Rourke","Ivan Vanko","Lead Ensemble Members","2010_2_Iron Man 2.csv","male"
"10","Kristen Stewart","Isabella Swan","Leading Cast","2010_3_The Twilight Saga_ Eclipse.csv","female"
"11","Robert Pattinson","Edward Cullen","Leading Cast","2010_3_The Twilight Saga_ Eclipse.csv","male"
"12","Taylor Lautner","Jacob Black","Leading Cast","2010_3_The Twilight Saga_ Eclipse.csv","female"
"13","Emma Watson","Hermione Granger","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","female"
"14","Daniel Radcliffe","Harry Potter","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","male"
"15","Rupert Grint","Ron Weasley","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","male"
"16","Ralph Fiennes","Lord Voldemort","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","male"
"17","Leonardo DiCaprio","Cobb","Leading Cast","2010_5_Inception.csv","male"
"18","Joseph Gordon-Levitt","Arthur","Leading Cast","2010_5_Inception.csv","male"
"19","Elliot Page","Ariadne","Leading Cast","2010_5_Inception.csv","male"
"20","Steve Carell","Gru","Leading Cast","2010_6_Despicable Me.csv","male"
"21","Miranda Cosgrove","Margo","Leading Cast","2010_6_Despicable Me.csv","female"
"22","Dana Gaier","Edith","Leading Cast","2010_6_Despicable Me.csv","female"
"23","Elsie Fisher","Agnes","Leading Cast","2010_6_Despicable Me.csv","female"
"24","Mike Myers","Shrek","Leading Cast","2010_7_Shrek Forever After.csv","male"
"25","Eddie Murphy","Donkey","Leading Cast","2010_7_Shrek Forever After.csv","male"
"26","Cameron Diaz","Princess Fiona","Leading Cast","2010_7_Shrek Forever After.csv","male"
"27","Antonio Banderas","Puss-in-Boots","Leading Cast","2010_7_Shrek Forever After.csv","male"
"28","Jay Baruchel","Hiccup","Leading Cast","2010_8_How to Train Your Dragon.csv","male"
"29","Zachary Levi","Flynn Rider","Leading Cast","2010_9_Tangled.csv","male"
"30","Mandy Moore","Rapunzel","Leading Cast","2010_9_Tangled.csv","female"
"31","Ralph Fiennes","Lord Voldemort","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","male"
"32","Daniel Radcliffe","Harry Potter","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","male"
"33","Rupert Grint","Ron Weasley","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","male"
"34","Emma Watson","Hermione Granger","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","female"
"35","Shia LaBeouf","Sam Witwicky","Leading Cast","2011_1_Transformers_ Dark of the Moon.csv","female"
