,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,11/18/2010,"$15,057,036",610,610,620,"$29,298,360",9/5/2022
1,Mexico,11/17/2010,$0,0,0,0,"$44,937",2/2/2021
2,Netherlands,11/19/2010,$0,0,102,370,"$17,994,031",9/14/2022
3,New Zealand,11/18/2010,$0,0,15,23,"$3,839,603",11/2/2020
4,Russia (CIS),10/28/2016,"$11,852",36,36,36,"$11,852",11/14/2018
5,South Korea,12/15/2010,$0,0,24,24,"$17,705,567",11/1/2016
6,Spain,11/19/2010,$0,0,38,40,"$15,100,475",3/23/2022
7,United Kingdom,11/19/2010,$0,0,253,663,"$69,770,875",12/15/2021
8,,,,,,,,
9,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$501,870,437",
10,,,,,,,,
11,International Total,International Total,International Total,International Total,International Total,International Total,"$655,636,137",9/14/2022
