,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,7/22/2010,$0,0,149,214,"$27,559,456",1/19/2021
1,China,8/28/2020,"$2,970,000",29996,29996,32942,"$76,860,000",2/23/2021
2,Czech Republic,7/31/2020,"$10,351",33,37,123,"$61,040",10/19/2022
3,Germany,8/14/2020,"$94,596",344,344,344,"$118,000",10/19/2022
4,Italy,9/24/2010,$0,0,131,199,"$52,586",8/28/2020
5,Japan,7/23/2010,$0,0,0,0,"$1,200,000",10/19/2022
6,Lithuania,8/14/2020,"$5,254",11,11,21,"$14,490",8/26/2020
7,Mexico,8/27/2020,"$27,778",0,0,0,"$50,938",9/9/2020
8,Netherlands,7/23/2010,$0,0,59,115,"$7,910,300",10/19/2022
9,New Zealand,7/22/2010,$0,0,45,100,"$16,891",6/28/2021
10,Poland,7/30/2010,$0,0,164,328,"$63,703",10/19/2022
11,Portugal,7/23/2010,$0,0,49,85,"$2,255,024",8/25/2020
12,Russia (CIS),7/22/2010,$0,0,286,721,"$223,000",10/19/2022
13,Saudi Arabia,8/28/2020,$0,0,0,0,"$509,000",10/19/2022
14,Slovakia,8/14/2020,"$8,787",23,23,46,"$20,432",8/25/2020
15,South Korea,7/21/2010,$0,0,241,786,"$391,000",10/19/2022
16,Spain,8/14/2020,"$53,751",251,251,369,"$135,000",10/19/2022
17,Taiwan,8/28/2020,$0,0,0,0,"$245,000",10/19/2022
18,Turkey,7/30/2010,$0,0,8,16,"$1,951,419",8/27/2020
19,United Arab Emirates,8/28/2020,$0,0,0,0,"$90,000",8/31/2020
20,United Kingdom,8/14/2020,"$272,218",313,441,755,"$675,304",2/4/2022
21,,,,,,,,
22,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$315,559,182",
23,,,,,,,,
24,International Total,International Total,International Total,International Total,International Total,International Total,"$435,961,765",10/19/2022
