,Record,Rank,Revenue
0,All Time International Animated Box Office (Rank 101-200),178,"$84,041,404"
1,"All Time International Box Office (Rank 1,201-1,300)",1255,"$84,041,404"
2,All Time International Non-Sequel Box Office (Rank 801-900),884,"$84,041,404"
3,Top 2010 Movies at the International Box Office,45,"$84,041,404"
4,All Time International Box Office for Based on Fiction Book/Short Story Movies (Rank 201-300),265,"$84,041,404"
5,All Time International Box Office for Digital Animation Movies (Rank 101-200),151,"$84,041,404"
6,All Time International Box Office for Kids Fiction Movies (Rank 101-200),177,"$84,041,404"
7,All Time International Box Office for Adventure Movies (Rank 301-400),364,"$84,041,404"
8,All Time International Box Office for PG Movies (Rank 201-300),265,"$84,041,404"
9,All Time International Box Office for Warner Bros. Movies (Rank 101-200),185,"$84,041,404"
