,Record,Rank,Revenue
0,All Time International Animated Box Office,19,"$517,507,886"
1,All Time International Box Office (Rank 101-200),102,"$517,507,886"
2,All Time International Sequel Box Office,66,"$517,507,886"
3,Top 2010 Movies at the International Box Office,4,"$517,507,886"
4,All Time International Box Office for Based on Fiction Book/Short Story Movies,25,"$517,507,886"
5,All Time International Box Office for Digital Animation Movies,18,"$517,507,886"
6,All Time International Box Office for Kids Fiction Movies,18,"$517,507,886"
7,All Time International Box Office for Adventure Movies,47,"$517,507,886"
8,All Time International Box Office for PG Movies,24,"$517,507,886"
9,All Time International Box Office for Paramount Pictures Movies,7,"$517,507,886"
