,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,7/13/2011,"$19,570,102",758,758,846,"$36,441,960",9/5/2022
1,Brazil,7/31/2020,"$1,517",0,0,0,"$10,725,148",8/7/2020
2,Italy,7/13/2011,$0,0,0,0,"$25,839,669",8/1/2022
3,Lithuania,7/15/2011,$0,0,1,1,"$1,100",11/3/2016
4,Netherlands,7/15/2011,$0,0,102,427,"$15,505,694",10/19/2022
5,New Zealand,7/14/2011,$0,0,23,31,"$5,177,703",11/9/2020
6,Russia (CIS),10/28/2016,"$16,171",36,36,36,"$16,171",11/14/2018
7,Slovakia,7/15/2011,$0,0,1,1,"$1,454,255",8/25/2020
8,South Korea,7/13/2013,$0,0,24,24,"$30,357,746",11/1/2016
9,Spain,7/15/2011,$0,0,40,62,"$17,737,314",3/24/2022
10,United Kingdom,7/15/2011,$0,0,254,591,"$87,913,978",7/27/2022
11,,,,,,,,
12,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$703,914,366",
13,,,,,,,,
14,International Total,International Total,International Total,International Total,International Total,International Total,"$935,085,104",10/19/2022
