,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,12/8/2011,$0,0,15,25,"$11,493,348",9/8/2019
1,Belgium,12/7/2011,$0,0,4,18,"$4,845,703",12/10/2015
2,Bulgaria,12/23/2011,$0,0,4,21,"$856,378",12/29/2018
3,China,12/23/2022,$0,0,0,0,$0,
4,Czech Republic,12/1/2011,$0,0,3,3,"$1,722,704",12/29/2018
5,Iceland,12/9/2011,$0,0,1,1,"$125,246",12/29/2018
6,Lithuania,12/23/2011,$0,0,2,2,"$850,328",12/11/2015
7,Norway,2/10/2012,$0,0,11,45,"$4,600,259",12/10/2015
8,Serbia and Montenegro,12/1/2011,$0,0,10,90,"$205,073",12/29/2018
9,Spain,11/25/2011,$0,0,2,4,"$21,987,616",12/10/2015
10,Sweden,2/3/2012,$0,0,33,234,"$5,865,486",12/10/2015
11,,,,,,,,
12,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$353,174,832",
13,,,,,,,,
14,International Total,International Total,International Total,International Total,International Total,International Total,"$405,726,973",9/8/2019
