,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,2/7/2013,"$180,914",34,40,205,"$756,390",12/30/2018
1,Australia,2/7/2013,"$1,389,700",206,250,1265,"$7,095,182",12/20/2022
2,Austria,1/25/2013,"$80,962",30,41,218,"$469,011",12/14/2015
3,Bahrain,1/31/2013,"$14,225",4,4,8,"$28,202",12/30/2018
4,Belgium,1/23/2013,"$285,914",30,40,325,"$1,298,006",12/14/2015
5,Bolivia,2/7/2013,"$11,777",5,5,14,"$33,776",12/30/2018
6,Brazil,1/25/2013,"$1,008,157",186,186,1043,"$4,897,985",12/14/2015
7,Central America,2/1/2013,"$97,135",46,46,46,"$103,651",12/14/2015
8,Chile,1/24/2013,"$91,678",22,23,108,"$467,390",12/30/2018
9,Colombia,1/25/2013,"$168,256",57,57,222,"$643,728",12/30/2018
10,Croatia,1/31/2013,"$29,168",12,12,52,"$73,170",12/30/2018
11,Czech Republic,1/24/2013,$0,0,49,157,"$203,429",12/30/2018
12,Denmark,1/31/2013,"$200,155",78,78,343,"$1,075,642",12/14/2015
13,Ecuador,1/25/2013,"$28,738",17,17,56,"$102,470",12/30/2018
14,Egypt,2/20/2013,"$14,345",8,8,29,"$44,741",12/30/2018
15,Estonia,1/25/2013,"$16,659",7,7,12,"$30,394",12/14/2015
16,Finland,1/25/2013,"$70,748",49,49,102,"$181,468",12/14/2015
17,France,1/30/2013,"$3,130,726",312,444,2318,"$10,683,693",12/14/2015
18,Germany,1/24/2013,"$782,568",160,261,1265,"$4,902,021",12/14/2015
19,Greece,1/24/2013,"$208,827",21,21,146,"$899,874",12/14/2015
20,Hong Kong,2/21/2013,"$262,176",27,27,94,"$775,958",12/14/2015
21,Hungary,1/31/2013,"$39,090",22,22,110,"$118,796",12/30/2018
22,Iceland,2/1/2013,"$5,936",4,4,14,"$46,022",12/30/2018
23,India,2/8/2013,"$145,012",61,61,79,"$268,541",12/14/2015
24,Indonesia,3/15/2013,"$84,917",50,50,61,"$136,909",12/30/2018
25,Iraq,3/28/2013,$860,1,1,4,"$2,475",12/30/2018
26,Israel,1/24/2013,"$92,716",17,17,93,"$420,180",12/30/2018
27,Italy,1/24/2013,"$2,712,877",412,448,1705,"$8,323,606",12/14/2015
28,Japan,4/19/2013,"$1,636,796",331,332,663,"$4,818,592",12/14/2015
29,Kenya,1/25/2013,"$7,412",6,6,20,"$24,188",12/30/2018
30,Kuwait,1/31/2013,"$51,678",11,11,16,"$95,406",12/30/2018
31,Lebanon,1/31/2013,"$39,224",10,10,19,"$73,299",12/30/2018
32,Lithuania,2/22/2013,"$9,250",2,4,15,"$30,453",12/14/2015
33,Malaysia,2/21/2013,"$27,665",20,20,50,"$77,615",12/14/2015
34,Mexico,1/18/2013,"$673,184",302,302,1124,"$2,245,784",12/14/2015
35,Netherlands,1/31/2013,"$263,364",50,50,298,"$1,252,380",12/14/2015
36,New Zealand,1/31/2013,"$100,462",35,38,310,"$639,665",12/14/2015
37,Norway,2/1/2013,"$182,315",41,48,275,"$1,120,012",12/14/2015
38,Oman,1/31/2013,"$10,782",2,2,8,"$27,532",12/30/2018
39,Peru,1/31/2013,"$78,574",19,27,78,"$258,039",12/30/2018
40,Philippines,2/20/2013,"$122,034",85,85,131,"$174,714",12/30/2018
41,Poland,2/1/2013,"$94,760",62,62,74,"$319,422",12/30/2018
42,Portugal,1/31/2013,"$262,566",44,44,258,"$931,677",12/14/2015
43,Qatar,1/31/2013,"$15,220",4,4,4,"$20,114",12/30/2018
44,Romania,2/1/2013,"$65,030",36,36,130,"$182,918",12/30/2018
45,Russia (CIS),1/24/2013,$0,0,408,408,"$608,737",12/30/2018
46,Serbia and Montenegro,3/7/2013,"$6,132",1,11,78,"$38,475",12/30/2018
47,Singapore,2/21/2013,"$90,986",11,11,36,"$276,020",12/14/2015
48,Slovakia,1/24/2013,"$21,224",25,25,45,"$56,736",12/14/2015
49,Slovenia,1/24/2013,"$4,538",2,2,18,"$60,561",12/14/2015
50,South Africa,2/1/2013,"$39,611",22,22,22,"$39,611",12/14/2015
51,Spain,1/18/2013,"$2,185,988",406,406,2267,"$6,624,357",12/14/2015
52,Sweden,1/25/2013,"$99,206",22,44,247,"$653,283",12/14/2015
53,Switzerland,1/24/2013,"$216,909",39,67,324,"$1,888,029",12/14/2015
54,Taiwan,2/22/2013,"$103,426",50,50,125,"$417,271",12/14/2015
55,Thailand,3/28/2013,"$3,816",21533,21533,31278,"$52,636",12/14/2015
56,Turkey,2/8/2013,"$117,497",37,37,124,"$335,468",12/30/2018
57,United Arab Emirates,1/31/2013,"$199,756",28,28,32,"$386,192",12/30/2018
58,United Kingdom,1/25/2013,"$2,693,007",472,503,2221,"$13,264,838",12/14/2015
59,Uruguay,2/8/2013,"$34,442",8,9,45,"$161,855",12/30/2018
60,Venezuela,2/22/2013,"$76,213",20,20,58,"$278,513",12/14/2015
61,Vietnam,4/5/2013,"$2,909",4,4,7,"$5,078",12/30/2018
62,,,,,,,,
63,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$9,616,128",
64,,,,,,,,
65,International Total,International Total,International Total,International Total,International Total,International Total,"$91,138,308",12/20/2022
