,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,5/24/2012,"$1,905,797",211,211,652,"$4,261,681",12/29/2018
1,Aruba,5/24/2012,"$17,817",4,6,19,"$43,755",12/29/2018
2,Australia,5/24/2012,"$5,159,838",592,593,2698,"$17,073,306",12/11/2015
3,Austria,5/25/2012,"$803,704",102,104,825,"$2,981,241",12/11/2015
4,Bahrain,5/24/2012,"$16,234",1,2,34,"$62,007",12/30/2018
5,Belgium,5/23/2012,"$584,117",113,113,721,"$2,528,364",12/11/2015
6,Bolivia,5/24/2012,"$130,385",24,24,114,"$478,846",12/29/2018
7,Brazil,5/25/2012,"$4,956,786",852,852,2894,"$15,696,394",12/11/2015
8,Bulgaria,5/25/2012,"$136,337",31,31,158,"$423,856",12/29/2018
9,Central America,5/25/2012,"$813,789",187,187,537,"$2,215,790",12/10/2015
10,Chile,5/24/2012,"$697,581",110,110,512,"$2,239,142",12/29/2018
11,China,5/25/2012,"$21,697,521",6941,6941,20459,"$75,915,852",12/10/2015
12,Colombia,5/25/2012,"$1,504,582",248,250,748,"$4,305,183",12/29/2018
13,Croatia,5/24/2012,"$81,438",33,34,189,"$187,293",12/29/2018
14,Curacao,5/24/2012,$0,0,2,2,"$45,958",12/29/2018
15,Czech Republic,5/31/2012,"$483,848",102,102,459,"$1,341,396",12/29/2018
16,Denmark,5/24/2012,"$590,201",146,146,709,"$2,786,202",12/11/2015
17,Dominican Republic,5/24/2012,"$97,793",23,23,120,"$383,610",12/29/2018
18,East Africa,5/25/2012,"$4,366",1,1,2,"$8,836",12/10/2015
19,Ecuador,5/24/2012,"$436,680",60,60,261,"$1,211,382",12/29/2018
20,Egypt,5/25/2012,"$34,396",9,9,48,"$273,705",12/29/2018
21,Estonia,5/25/2012,"$33,746",7,7,36,"$179,988",12/11/2015
22,Finland,5/23/2012,"$194,180",87,87,344,"$1,031,296",12/11/2015
23,France,5/23/2012,"$6,120,494",782,782,4268,"$18,427,440",12/11/2015
24,Germany,5/24/2012,"$5,442,197",604,986,6625,"$26,248,567",12/11/2015
25,Ghana,5/25/2012,"$2,934",1,1,7,"$36,400",12/29/2018
26,Greece,5/24/2012,"$303,508",99,99,241,"$773,210",12/10/2015
27,Hong Kong,5/24/2012,"$2,222,947",91,91,343,"$5,833,615",12/11/2015
