,Record,Rank,Revenue
0,All Time International Animated Box Office,18,"$530,529,789"
1,All Time International Box Office,99,"$530,529,789"
2,All Time International Sequel Box Office,65,"$530,529,789"
3,Top 2012 Movies at the International Box Office,7,"$530,529,789"
4,All Time International Box Office for Original Screenplay Movies,35,"$530,529,789"
5,All Time International Box Office for Digital Animation Movies,17,"$530,529,789"
6,All Time International Box Office for Kids Fiction Movies,17,"$530,529,789"
7,All Time International Box Office for Adventure Movies,45,"$530,529,789"
8,All Time International Box Office for PG Movies,23,"$530,529,789"
9,All Time International Box Office for Paramount Pictures Movies,6,"$530,529,789"
