,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Brazil,9/27/2013,$0,0,6,7,"$2,863,099",12/13/2015
1,Ecuador,9/27/2013,$0,0,3,6,"$643,581",12/30/2018
2,Egypt,9/25/2013,$0,0,2,9,"$112,933",12/30/2018
3,Hungary,8/22/2013,$0,0,39,39,"$1,589,905",12/30/2018
4,Peru,9/19/2013,$0,0,11,13,"$852,166",12/30/2018
5,Spain,11/8/2013,$0,0,250,725,"$3,138,874",12/13/2015
6,Ukraine,8/22/2013,$0,0,1,1,"$1,576,684",12/30/2018
7,Venezuela,10/25/2013,$0,0,18,69,"$1,453,515",12/13/2015
8,,,,,,,,
9,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$105,191,400",
10,,,,,,,,
11,International Total,International Total,International Total,International Total,International Total,International Total,"$117,422,157",12/30/2018
