,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,8/9/2013,$0,0,0,0,"$1,039,470",1/1/2019
1,Australia,7/19/2013,$0,0,32,65,"$6,001,008",4/10/2023
2,Brazil,9/13/2013,$0,0,2,2,"$7,819,451",12/13/2015
3,Chile,8/22/2013,$0,0,5,5,"$4,503,022",12/30/2018
4,Egypt,9/18/2013,$0,0,3,16,"$446,047",12/30/2018
5,New Zealand,7/18/2013,$0,0,15,17,"$1,063,269",10/20/2022
6,Portugal,9/19/2013,$0,0,2,2,"$429,876",12/13/2015
7,Serbia and Montenegro,9/26/2013,$0,0,9,18,"$55,591",12/30/2018
8,South Korea,9/17/2013,$0,0,69,138,"$14,657,865",6/11/2021
9,United Kingdom,8/2/2013,$0,0,7,7,"$13,056,218",7/11/2020
10,Venezuela,9/27/2013,$0,0,14,43,"$3,609,271",12/13/2015
11,,,,,,,,
12,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$126,768,493",
13,,,,,,,,
14,International Total,International Total,International Total,International Total,International Total,International Total,"$179,449,581",4/10/2023
