,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,4/4/2013,"$2,411,691",237,298,995,"$6,887,056",12/14/2015
1,Austria,3/28/2013,"$241,071",72,72,348,"$909,560",12/14/2015
2,Belgium,3/27/2013,$0,0,26,53,"$288,743",12/14/2015
3,Bulgaria,2/8/2013,$0,0,16,67,"$117,779",12/30/2018
4,Croatia,2/7/2013,"$25,827",11,13,71,"$105,961",12/30/2018
5,Denmark,4/4/2013,"$91,198",33,34,94,"$222,171",12/14/2015
6,Egypt,3/13/2013,"$15,678",9,9,37,"$48,738",12/30/2018
7,Estonia,4/5/2013,"$21,969",5,6,14,"$59,708",12/14/2015
8,Germany,3/28/2013,"$1,755,440",415,461,2124,"$5,193,220",12/14/2015
9,Hungary,2/21/2013,"$106,049",34,34,136,"$258,634",12/30/2018
10,Iceland,3/8/2013,"$30,586",7,7,31,"$94,544",12/30/2018
11,Indonesia,4/5/2013,"$9,161",64,64,128,"$191,065",12/30/2018
12,Israel,3/14/2013,"$54,181",24,24,121,"$716,994",12/30/2018
13,Kenya,4/5/2013,"$10,414",8,8,20,"$19,985",12/30/2018
14,Latvia,4/26/2013,"$13,995",6,6,6,"$13,995",12/30/2018
15,Lebanon,2/28/2013,"$59,146",12,12,32,"$164,048",12/30/2018
16,Lithuania,3/15/2013,"$10,012",6,6,18,"$25,521",12/14/2015
17,Netherlands,4/18/2013,"$173,549",54,54,108,"$396,363",12/14/2015
18,New Zealand,4/4/2013,"$199,616",47,47,136,"$560,442",12/14/2015
19,Nigeria,3/8/2013,$0,0,5,15,"$43,866",12/30/2018
20,Norway,3/15/2013,"$171,991",120,120,304,"$554,243",12/14/2015
21,Poland,3/15/2013,"$55,542",71,71,178,"$166,557",12/30/2018
22,Portugal,3/14/2013,$0,0,42,88,"$507,185",12/14/2015
23,Romania,2/8/2013,$33,1,8,36,"$325,952",12/30/2018
24,Russia (CIS),3/21/2013,"$1,344,275",367,367,822,"$2,828,517",12/30/2018
25,Serbia and Montenegro,3/14/2013,"$8,647",8,8,40,"$23,843",12/30/2018
26,Slovenia,2/7/2013,"$12,837",7,7,49,"$70,760",12/14/2015
27,South Africa,3/22/2013,"$172,467",56,58,271,"$731,434",12/14/2015
28,Spain,3/22/2013,"$618,949",279,284,956,"$1,762,396",12/14/2015
29,Switzerland,3/28/2013,"$366,305",52,57,174,"$941,793",12/14/2015
30,Taiwan,2/8/2013,"$42,735",38,38,102,"$437,175",12/14/2015
31,Ukraine,3/21/2013,"$135,469",83,83,298,"$520,081",12/30/2018
32,United Arab Emirates,2/28/2013,"$302,449",35,35,77,"$821,140",12/30/2018
33,United Kingdom,3/22/2013,"$1,974,733",440,441,1748,"$7,265,174",12/14/2015
34,,,,,,,,
35,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$7,580,015",
36,,,,,,,,
37,International Total,International Total,International Total,International Total,International Total,International Total,"$40,854,658",12/30/2018
