,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,11/20/2014,"$1,900,000",0,1,2,"$1,900,000",12/30/2018
1,Australia,11/20/2014,"$10,283,323",574,574,3131,"$26,407,606",7/7/2015
2,Austria,11/20/2014,"$1,600,000",0,0,0,"$1,600,000",4/5/2015
3,Azerbaijan,11/20/2014,$0,0,0,0,$0,
4,Belgium,11/19/2014,"$2,000,000",0,0,0,"$2,000,000",4/5/2015
5,Bolivia,11/20/2014,$0,0,0,0,$0,
6,Brazil,11/19/2014,"$8,800,000",0,0,0,"$20,300,000",4/5/2015
7,Bulgaria,11/21/2014,"$232,197",0,0,0,"$555,516",12/30/2018
8,Cambodia,11/27/2014,$0,0,0,0,$0,
9,Central America,11/27/2014,$0,0,0,0,$0,
10,Chile,11/20/2014,$0,0,1,1,$873,12/30/2018
11,China,2/7/2015,"$8,940,000",39978,39978,65848,"$35,970,000",10/19/2018
12,Colombia,11/21/2014,"$1,500,000",0,0,0,"$1,500,000",12/20/2018
13,Costa Rica,11/27/2014,$0,0,0,0,$0,
14,Croatia,11/20/2014,$0,0,0,0,$0,
15,Czech Republic,11/20/2014,"$455,021",101,101,190,"$928,260",12/30/2018
16,Denmark,11/19/2014,$0,0,0,0,$0,
17,Dominican Republic,11/27/2014,$0,0,0,0,$0,
18,Ecuador,11/21/2014,$0,0,0,0,$0,
19,Egypt,11/20/2014,$0,0,0,0,$0,
20,El Salvador,11/28/2014,$0,0,0,0,$0,
21,Estonia,11/20/2014,$0,0,0,0,$0,
22,Finland,11/19/2014,$0,0,0,0,$0,
23,France,11/19/2014,$0,0,0,0,"$24,195,256",8/20/2018
24,Germany,11/20/2014,"$13,700,000",0,1,1,"$35,590,676",10/6/2015
25,Greece,11/20/2014,$0,0,0,0,$0,
26,Guatemala,11/27/2014,$0,0,0,0,$0,
27,Honduras,11/27/2014,$0,0,0,0,$0,
28,Hong Kong,11/20/2014,"$1,300,000",0,2,6,"$2,861,407",11/25/2018
29,Hungary,11/20/2014,"$553,277",60,60,300,"$1,178,667",12/30/2018
30,Iceland,11/21/2014,$0,0,0,0,$0,
31,India,11/28/2014,$0,0,0,0,$0,
32,Indonesia,11/19/2014,$0,0,0,0,$0,
33,Iraq,11/20/2014,$0,0,0,0,$0,
34,Ireland,11/20/2014,$0,0,0,0,$0,
35,Israel,11/20/2014,$0,0,0,0,$0,
