,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,8/8/2014,$0,0,465,1478,"$23,444,382",3/29/2021
1,China,10/10/2014,$0,0,0,0,"$86,346,368",8/13/2018
2,New Zealand,8/7/2014,$0,0,5,14,"$3,092,151",9/21/2020
3,Russia (CIS),7/31/2014,$0,0,98,105,"$38,111,566",10/19/2022
4,South Korea,7/31/2014,$0,0,77,134,"$10,015,876",11/14/2018
5,United Kingdom,7/31/2014,$0,0,85,176,"$37,640,453",11/11/2020
6,,,,,,,,
7,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$238,517,487",
8,,,,,,,,
9,International Total,International Total,International Total,International Total,International Total,International Total,"$437,168,283",10/19/2022
