,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
Australia,4/4/2014,$0,0,1,1,"$19,998,111",6/25/2020
Austria,4/11/2014,$0,0,13,51,"$1,923,423",12/17/2015
Germany,4/10/2014,$0,0,191,793,"$13,170,223",12/17/2015
Ghana,2/21/2014,$0,0,1,1,"$12,361",12/30/2018
Iceland,2/14/2014,$0,0,1,1,"$271,163",12/30/2018
New Zealand,4/17/2014,$0,0,14,14,"$3,502,828",12/15/2015
Nigeria,2/21/2014,$0,0,1,1,"$66,862",12/30/2018
South Korea,2/6/2014,$0,0,111,111,"$1,438,287",6/9/2016
Spain,2/7/2014,$0,0,5,14,"$7,188,720",12/17/2015
United Kingdom,2/14/2014,$0,0,1,1,"$56,929,188",10/13/2015

Rest of World,"$105,798,834",

International Total,"$210,300,000",6/25/2020
