,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,12/12/2014,$0,0,300,300,"$2,100,000",12/20/2018
1,Australia,12/16/2014,$0,0,605,2704,"$26,089,494",10/20/2022
2,Austria,12/13/2014,$0,0,0,0,$0,
3,Belgium,12/11/2014,$0,0,0,0,$0,
4,Bolivia,12/19/2014,$0,0,0,0,$0,
5,Brazil,12/13/2014,"$6,900,000",1037,1037,1701,"$19,500,000",4/5/2015
6,Bulgaria,12/19/2014,$0,0,0,0,"$1,353,405",12/30/2018
7,Chile,12/26/2014,$0,0,0,0,$0,
8,China,1/22/2015,"$45,180,000",52825,52825,106496,"$112,470,000",8/30/2018
9,Colombia,12/20/2014,$0,0,0,0,$0,
10,Croatia,12/12/2014,$0,0,0,0,$0,
11,Cyprus,12/13/2014,$0,0,0,0,$0,
12,Czech Republic,12/12/2014,"$1,509,715",147,147,648,"$4,101,700",12/30/2018
13,Egypt,12/13/2014,$0,0,0,0,$0,
14,Estonia,12/13/2014,$0,0,0,0,$0,
15,Finland,12/10/2014,$0,0,0,0,"$499,000",4/5/2015
16,France,12/11/2014,"$14,500,000",914,914,1798,"$45,900,000",7/7/2015
17,Germany,12/12/2014,"$19,500,000",1442,1442,2884,"$79,200,000",7/7/2015
18,Greece,12/12/2014,$0,0,0,0,$0,
19,Hong Kong,12/12/2014,$0,0,72,159,"$4,154,526",11/25/2018
20,Hungary,12/18/2014,"$694,550",61,61,305,"$2,199,239",12/30/2018
21,India,12/13/2014,$0,0,0,0,$0,
22,Indonesia,12/13/2014,$0,0,0,0,$0,
23,Italy,12/12/2014,$0,0,647,647,"$17,300,000",7/7/2015
24,Japan,12/13/2014,"$2,500,000",644,644,1286,"$13,175,470",8/23/2018
25,Latvia,12/13/2014,$0,0,0,0,$0,
26,Lebanon,12/12/2014,$0,0,0,0,$0,
27,Lithuania,12/13/2014,"$152,301",12,12,33,"$511,817",4/21/2015
28,Malaysia,12/12/2014,$0,0,0,0,"$3,000,000",4/5/2015
29,Mexico,12/12/2014,"$6,400,000",3010,3010,4022,"$17,200,000",4/5/2015
30,Netherlands,12/11/2014,"$2,308,150",226,266,1721,"$13,639,918",4/5/2015
31,New Zealand,12/12/2014,"$1,845,229",205,205,1186,"$5,759,518",6/16/2021
32,Norway,12/10/2014,$0,0,0,0,"$1,030,000",4/5/2015
33,Panama,12/20/2014,$0,0,0,0,$0,
34,Peru,12/19/2014,$0,0,0,0,$0,
35,Philippines,12/11/2014,$0,0,0,0,$0,
36,Poland,12/24/2014,$0,0,0,0,"$11,973,770",12/30/2018
37,Romania,12/19/2014,"$860,056",99,99,502,"$2,768,970",12/30/2018
38,Russia (CIS),12/18/2014,"$12,792,610",2390,2390,9758,"$30,300,000",12/30/2018
39,Serbia and Montenegro,12/12/2014,$0,0,0,0,$0,
40,Singapore,12/12/2014,$0,0,0,0,$0,
41,Slovakia,12/12/2014,"$506,755",55,55,219,"$1,177,666",7/7/2015
42,Slovenia,12/12/2014,$0,0,26,208,"$568,782",2/19/2015
43,South Africa,12/13/2014,$0,0,0,0,$0,
44,South Korea,12/12/2014,$0,0,926,2029,"$20,656,962",12/8/2021
45,Spain,12/13/2014,"$6,300,000",0,720,956,"$19,374,799",6/24/2021
46,Sweden,12/10/2014,$0,0,0,0,"$16,600,000",4/5/2015
47,Switzerland (French Speaking),12/11/2014,$0,0,0,0,$0,
48,Switzerland (German Speaking),12/12/2014,$0,0,0,0,$0,
49,Taiwan,12/13/2014,"$2,800,000",0,0,0,"$6,037,755",11/2/2018
50,Thailand,12/12/2014,$0,0,0,0,"$3,378,995",4/5/2015
51,Turkey,12/13/2014,"$2,357,575",442,442,1664,"$8,172,626",12/30/2018
52,Ukraine,12/18/2014,$0,0,0,0,$0,
53,United Arab Emirates,12/12/2014,$0,0,0,0,$0,
54,United Kingdom,12/13/2014,"$15,340,739",594,605,3519,"$64,200,000",7/7/2015
55,Uruguay,12/19/2014,$0,0,0,0,$0,
56,Venezuela,12/25/2014,$0,0,0,0,$0,
57,,,,,,,,
58,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$130,808,839",
59,,,,,,,,
60,International Total,International Total,International Total,International Total,International Total,International Total,"$685,203,251",10/20/2022
