,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,7/5/2014,"$325,850",84,241,765,"$7,646,122",12/30/2018
1,Australia,6/25/2014,"$8,298,455",623,623,2428,"$25,052,771",10/11/2017
2,Austria,7/17/2014,"$949,319",77,77,154,"$2,777,154",12/17/2015
3,Belgium,7/16/2014,"$911,267",130,130,260,"$1,928,887",12/17/2015
4,Bolivia,6/26/2014,"$219,552",35,35,119,"$1,302,913",12/30/2018
5,Brazil,7/17/2014,$67,1,509,1946,"$22,094,506",12/17/2015
6,Bulgaria,6/27/2014,"$173,958",58,58,226,"$707,120",12/30/2018
7,Chile,7/10/2014,"$1,520,375",160,160,459,"$5,434,719",12/30/2018
8,Colombia,7/11/2014,"$1,849,655",376,376,933,"$8,421,780",12/30/2018
9,Croatia,6/26/2014,"$125,046",27,27,127,"$368,536",12/30/2018
10,Czech Republic,6/26/2014,"$557,272",139,139,311,"$1,460,737",12/30/2018
11,Denmark,7/10/2014,$0,0,70,132,"$1,960,845",12/17/2015
12,Ecuador,7/11/2014,"$601,592",39,79,265,"$2,689,912",12/30/2018
13,Egypt,7/23/2014,"$44,496",11,11,11,"$44,496",12/30/2018
14,Estonia,6/27/2014,"$101,561",7,8,34,"$283,620",12/17/2015
15,Finland,6/27/2014,"$506,984",117,119,415,"$1,350,076",12/17/2015
16,France,7/16/2014,"$8,912,714",890,890,1780,"$14,407,710",12/17/2015
17,Germany,7/17/2014,"$11,160,947",645,663,1308,"$23,784,356",12/17/2015
18,Ghana,6/27/2014,"$13,859",1,1,3,"$48,457",12/30/2018
19,Greece,6/26/2014,"$248,765",107,107,275,"$793,345",12/17/2015
20,Hong Kong,6/26/2014,"$4,785,053",180,180,567,"$12,545,268",12/17/2015
21,Hungary,6/26/2014,"$462,156",58,58,290,"$1,552,583",12/30/2018
22,Iceland,6/25/2014,"$43,170",17,17,34,"$198,675",12/30/2018
23,India,6/27/2014,"$5,356,261",1100,1100,2178,"$10,226,117",12/17/2015
24,Indonesia,6/25/2014,"$3,478,965",551,551,1486,"$12,402,729",12/30/2018
25,Israel,6/26/2014,"$255,075",51,52,155,"$712,727",12/30/2018
26,Italy,7/16/2014,"$3,898,664",850,903,1753,"$8,985,781",12/17/2015
27,Kenya,6/27/2014,"$52,753",12,12,51,"$152,110",12/30/2018
28,Latvia,6/27/2014,"$78,345",11,12,50,"$225,046",12/30/2018
29,Lebanon,7/24/2014,"$152,622",26,26,26,"$152,622",12/30/2018
30,Lithuania,6/27/2014,"$83,915",17,17,66,"$305,354",12/17/2015
31,Malaysia,6/26/2014,"$6,666,153",219,219,791,"$13,238,417",12/17/2015
32,Mexico,7/10/2014,"$3,326,309",1520,3131,8198,"$30,320,444",12/17/2015
33,Netherlands,7/10/2014,"$921,019",124,125,368,"$3,676,587",12/17/2015
34,New Zealand,6/26/2014,"$1,613,077",125,125,505,"$4,639,179",12/17/2015
35,Nigeria,6/27/2014,"$65,599",13,13,62,"$136,145",12/30/2018
36,Norway,7/11/2014,"$523,358",114,114,256,"$1,816,373",12/17/2015
37,Peru,7/17/2014,"$1,922,181",314,314,523,"$4,193,205",12/30/2018
38,Philippines,6/25/2014,"$5,721,484",589,589,1105,"$9,939,275",12/30/2018
39,Poland,6/27/2014,"$1,187,083",213,226,876,"$3,687,400",12/30/2018
40,Portugal,6/26/2014,"$525,104",57,67,294,"$1,586,995",12/17/2015
41,Romania,6/27/2014,"$319,107",59,59,238,"$985,874",12/30/2018
42,Russia (CIS),6/26/2014,"$21,411,160",2171,2171,6668,"$45,056,780",12/30/2018
43,Serbia and Montenegro,6/26/2014,"$28,433",21,21,105,"$139,174",12/30/2018
44,Singapore,6/26/2014,"$4,171,943",150,150,459,"$8,492,857",12/17/2015
45,Slovakia,6/26/2014,"$205,337",54,54,136,"$530,762",12/17/2015
46,Slovenia,6/26/2014,"$30,400",11,11,44,"$153,079",12/17/2015
47,South Africa,6/27/2014,"$789,461",86,91,415,"$2,364,480",12/17/2015
48,South Korea,6/26/2014,"$15,880,286",1597,1597,3953,"$43,338,592",12/17/2015
49,Sweden,7/10/2014,"$665,419",144,144,236,"$2,140,575",12/17/2015
50,Taiwan,6/25/2014,"$5,452,552",80,81,388,"$20,339,644",12/17/2015
51,Thailand,6/26/2014,"$3,917,889",426,426,1060,"$9,584,200",12/17/2015
52,Turkey,6/27/2014,"$1,088,232",426,426,1563,"$3,528,412",12/30/2018
53,Ukraine,6/26/2014,"$1,253,694",179,179,670,"$3,251,711",12/30/2018
54,United Kingdom,7/10/2014,"$20,113,742",533,533,1533,"$29,702,364",12/17/2015
55,Uruguay,7/8/2014,"$36,816",9,12,47,"$320,163",12/30/2018
56,Vietnam,6/27/2014,"$982,136",90,90,318,"$3,833,812",12/30/2018
57,,,,,,,,
58,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$441,601,423",
59,,,,,,,,
60,International Total,International Total,International Total,International Total,International Total,International Total,"$858,614,996",12/30/2018
