,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,12/12/2014,$0,0,2,2,"$1,625,221",11/24/2018
1,Australia,12/26/2014,"$3,013,056",403,403,2587,"$14,650,777",3/27/2023
2,Belgium,2/11/2015,$0,0,57,123,"$2,511,225",7/8/2015
3,Brazil,12/26/2014,$0,0,0,0,"$7,381,314",11/5/2018
4,Bulgaria,1/23/2015,$0,0,5,6,"$358,261",12/30/2018
5,China,2/27/2015,"$12,530,000",30780,30780,102795,"$76,530,000",8/27/2020
6,Croatia,1/15/2015,$0,0,14,14,"$160,671",6/26/2015
7,Czech Republic,11/20/2014,$0,0,0,0,$0,
8,France,2/13/2015,"$3,003,509",0,0,0,"$11,119,483",8/21/2018
9,Germany,1/22/2015,"$3,659,138",0,1,1,"$14,362,698",8/22/2018
10,Greece,11/6/2014,$0,0,0,0,$0,
11,Hong Kong,12/19/2014,$0,0,93,269,"$4,033,271",11/25/2018
12,Italy,12/18/2014,$0,0,0,0,"$10,770,029",11/6/2018
13,Japan,12/20/2014,$0,0,0,0,"$76,400,000",8/23/2018
14,Mexico,11/14/2014,$0,0,0,0,"$16,989,440",8/30/2018
15,Netherlands,2/12/2015,"$254,427",183,189,1450,"$2,724,717",11/21/2018
16,New Zealand,12/26/2014,"$39,164",21,134,173,"$2,099,420",10/19/2020
17,Poland,11/28/2014,$0,0,0,0,"$2,968,918",12/30/2018
18,Portugal,12/19/2014,$0,0,2,2,"$1,404,389",6/15/2016
19,Russia (CIS),10/25/2014,$0,0,0,0,$0,
20,Slovenia,1/15/2015,$0,0,17,17,"$91,594",6/26/2015
21,South Korea,1/22/2015,"$6,400,000",0,0,0,"$19,791,592",8/29/2018
22,Spain,12/19/2014,$0,0,320,2519,"$18,460,856",11/28/2018
23,Taiwan,1/2/2015,"$1,030,005",0,21,34,"$4,712,162",11/2/2018
24,Turkey,1/16/2015,"$522,324",164,164,652,"$3,068,560",12/30/2018
25,United Kingdom,1/30/2015,"$6,472,030",0,544,2098,"$31,144,526",8/27/2018
26,,,,,,,,
27,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$101,376,053",
28,,,,,,,,
29,International Total,International Total,International Total,International Total,International Total,International Total,"$424,735,177",3/27/2023
