,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,12/17/2015,"$2,557,881",178,178,826,"$8,650,249",12/28/2019
1,Australia,12/17/2015,"$19,614,840",941,941,4770,"$72,381,770",6/15/2021
2,Austria,12/17/2015,"$1,972,801",129,129,710,"$9,070,862",6/9/2016
3,Belgium,12/16/2015,"$2,962,043",169,175,956,"$10,978,138",6/9/2016
4,Bolivia,12/17/2015,"$513,101",29,29,156,"$1,868,562",12/31/2018
5,Brazil,12/17/2015,"$8,161,556",842,842,3775,"$27,982,312",6/9/2016
6,Bulgaria,12/18/2015,"$604,377",90,90,390,"$2,261,855",12/31/2018
7,Cambodia,12/18/2015,"$70,338",17,17,37,"$169,976",12/31/2018
8,Central America,12/17/2015,$0,0,126,283,"$6,804,078",2/23/2016
9,Chile,12/17/2015,"$2,338,662",113,114,616,"$8,312,477",12/31/2018
10,China,1/8/2016,"$50,680,000",85712,85712,166223,"$120,220,000",10/2/2018
11,Colombia,12/17/2015,"$1,573,641",623,623,1612,"$9,130,293",12/31/2018
12,Croatia,12/17/2015,$0,0,45,222,"$1,245,788",12/31/2018
13,Czech Republic,12/17/2015,"$1,504,270",132,132,516,"$3,846,700",12/31/2018
14,Denmark,12/16/2015,$0,0,134,324,"$11,965,142",6/9/2016
15,Ecuador,12/18/2015,"$993,460",124,124,455,"$3,211,683",12/31/2018
16,Egypt,12/16/2015,"$35,968",1,1,5,"$153,648",12/31/2018
17,Finland,12/16/2015,"$1,605,145",210,1269,2289,"$7,815,008",6/9/2016
18,France,12/16/2015,"$21,378,320",1093,1093,7361,"$82,531,280",6/9/2016
19,Germany,12/17/2015,"$27,226,974",1086,1102,8678,"$109,709,280",6/9/2016
20,Greece,12/24/2015,"$1,108,980",167,167,542,"$3,406,287",6/9/2016
21,Hong Kong,12/17/2015,"$3,536,441",83,83,372,"$11,048,604",6/9/2016
22,Hungary,12/17/2015,"$1,435,051",0,87,358,"$6,445,986",12/31/2018
23,Iceland,12/18/2015,"$179,203",20,20,41,"$863,721",12/31/2018
24,Indonesia,12/18/2015,"$2,839,229",702,702,835,"$8,876,120",12/31/2018
25,Iraq,12/17/2015,"$25,320",5,5,21,"$77,124",12/31/2018
26,Israel,12/17/2015,"$1,069,016",73,75,488,"$3,385,097",12/31/2018
27,Italy,12/16/2015,"$9,104,187",0,203,303,"$27,813,156",6/9/2016
28,Japan,12/18/2015,"$10,158,486",945,960,8209,"$95,468,056",6/9/2016
29,Kenya,12/18/2015,$0,0,13,15,"$285,657",12/31/2018
30,Kuwait,12/17/2015,"$170,182",15,15,32,"$732,476",12/31/2018
31,Latvia,12/18/2015,$0,0,9,9,"$414,134",12/31/2018
32,Lebanon,12/17/2015,"$126,931",10,10,47,"$606,176",12/31/2018
33,Lithuania,12/18/2015,"$169,099",220,273,594,"$558,181",6/9/2016
