,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,3/19/2015,$0,0,55,136,"$1,368,626",10/13/2015
1,Australia,3/26/2015,"$3,376,924",402,402,2688,"$17,795,162",10/12/2021
2,Belgium,3/25/2015,$0,0,113,113,"$891,471",11/16/2015
3,Brazil,3/26/2015,"$3,400,000",0,848,3158,"$16,135,288",10/13/2015
4,Bulgaria,3/13/2015,$0,0,30,30,"$348,459",12/30/2018
5,China,3/12/2015,"$23,040,000",38864,38864,92550,"$65,110,000",9/3/2018
6,Ecuador,3/13/2015,$0,0,46,46,"$1,896,840",12/30/2018
7,Finland,3/13/2015,$0,0,66,66,"$699,090",11/16/2015
8,France,3/25/2015,"$3,700,000",0,510,510,"$11,265,336",8/21/2018
9,Germany,3/12/2015,"$2,052,869",0,9,23,"$7,700,576",8/22/2018
10,Hong Kong,3/13/2015,"$871,808",121,121,428,"$2,487,624",11/26/2018
11,Iceland,3/13/2015,$0,0,7,7,"$77,758",12/30/2018
12,India,3/20/2015,$0,0,113,113,"$1,505,761",11/16/2015
13,Indonesia,3/11/2015,$0,0,52,52,"$5,871,583",12/30/2018
14,Italy,3/12/2015,"$5,381,181",0,376,376,"$16,178,079",11/6/2018
15,Japan,4/24/2015,"$4,636,946",0,0,0,"$47,180,932",8/23/2018
16,Malaysia,3/12/2015,$0,0,93,93,"$4,396,014",11/16/2015
17,Mexico,3/13/2015,"$4,832,964",0,0,0,"$15,486,930",8/30/2018
18,Netherlands,3/19/2015,"$280,651",180,183,1142,"$1,318,133",11/21/2018
19,New Zealand,3/26/2015,$0,0,73,206,"$2,437,191",7/7/2015
20,Philippines,3/12/2015,$0,0,0,0,"$4,500,000",12/20/2018
21,Poland,3/13/2015,"$536,503",0,0,0,"$2,144,073",12/30/2018
22,Portugal,3/19/2015,$0,0,141,150,"$1,258,145",10/19/2022
23,Russia (CIS),3/6/2015,$0,0,1550,1950,"$11,464,091",11/19/2018
24,Singapore,3/12/2015,$0,0,27,27,"$2,775,738",11/16/2015
25,South Korea,3/19/2015,"$2,192,313",0,0,0,"$5,064,161",8/29/2018
26,Spain,3/27/2015,"$2,800,000",0,343,2524,"$8,693,087",11/28/2018
27,Taiwan,3/13/2015,"$533,643",74,77,311,"$1,704,196",11/2/2018
28,Thailand,3/12/2015,$0,0,22,22,"$3,100,000",11/16/2015
29,Turkey,3/13/2015,"$422,482",120,133,637,"$1,211,658",12/30/2018
30,Ukraine,3/12/2015,$0,0,48,48,"$644,261",12/30/2018
31,United Arab Emirates,3/12/2015,$0,0,30,30,"$177,518",12/30/2018
32,United Kingdom,3/27/2015,"$5,500,000",0,583,1751,"$32,866,828",12/16/2020
33,Venezuela,3/13/2015,$0,0,1,1,"$8,188,340",9/30/2015
34,,,,,,,,
35,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$37,257,051",
36,,,,,,,,
37,International Total,International Total,International Total,International Total,International Total,International Total,"$341,200,000",10/19/2022
