,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,6/17/2016,"$3,500,000",0,389,1615,"$16,004,539",1/1/2019
1,Australia,6/17/2016,"$7,627,775",524,543,3433,"$37,574,640",1/28/2021
2,Brazil,7/1/2016,"$7,100,000",0,0,0,"$34,529,712",6/26/2018
3,Bulgaria,6/17/2016,"$70,035",0,0,0,"$388,070",2/26/2019
4,China,6/16/2016,"$18,060,000",60679,60679,91536,"$38,400,000",10/24/2016
5,Colombia,6/24/2016,$0,0,0,0,"$7,600,000",12/31/2018
6,Czech Republic,6/16/2016,"$458,050",120,120,766,"$1,934,730",12/31/2018
7,Denmark,8/26/2016,"$400,000",0,0,0,"$400,000",8/29/2016
8,Finland,8/26/2016,"$200,000",0,0,0,"$200,000",8/29/2016
9,France,6/24/2016,"$4,657,829",0,0,0,"$21,880,348",10/25/2018
10,Germany,9/29/2016,"$8,774,971",0,0,0,"$35,307,380",8/19/2018
11,Hong Kong,7/12/2016,"$1,900,000",0,0,0,"$6,587,233",11/15/2018
12,Indonesia,6/24/2016,$0,0,0,0,"$4,600,000",12/31/2018
13,Italy,9/16/2016,"$6,211,056",0,0,0,"$17,433,400",10/22/2018
14,Japan,7/16/2016,"$6,300,000",0,0,0,"$65,982,720",8/20/2018
15,Lithuania,8/19/2016,"$29,855",203,203,748,"$178,042",8/2/2017
16,Mexico,7/15/2016,"$9,569,705",0,0,0,"$24,800,000",10/24/2016
17,Netherlands,6/29/2016,"$1,687,838",142,150,2169,"$9,976,165",10/30/2018
18,New Zealand,6/17/2016,"$130,271",40,136,1074,"$4,800,113",9/21/2020
19,Norway,8/26/2016,"$600,000",0,0,0,"$600,000",8/29/2016
20,Panama,6/24/2016,$0,0,0,0,"$6,800,000",12/31/2018
21,Philippines,6/24/2016,$0,0,0,0,"$4,100,000",12/31/2018
22,Poland,6/17/2016,"$487,961",0,0,0,"$3,654,512",1/1/2019
23,Portugal,6/24/2016,"$326,826",90,94,669,"$2,183,889",12/29/2016
24,Russia (CIS),6/17/2016,"$3,300,265",1220,1220,4661,"$9,222,835",1/1/2019
25,Slovakia,6/16/2016,"$340,984",71,71,393,"$1,465,016",12/29/2016
26,Slovenia,6/17/2016,"$30,452",33,33,157,"$145,295",10/3/2016
27,South Korea,7/7/2016,"$17,921",0,1091,3130,"$18,200,000",9/10/2018
28,Spain,6/24/2016,"$3,221,434",920,920,4423,"$20,038,168",10/29/2018
29,Sweden,8/26/2016,"$1,400,000",0,0,0,"$1,400,000",8/29/2016
30,Taiwan,7/8/2016,"$1,900,000",0,0,0,"$4,819,389",10/30/2018
31,Turkey,9/2/2016,"$462,713",285,305,1623,"$2,148,868",2/26/2019
32,United Kingdom,7/29/2016,"$10,777,700",588,638,7023,"$56,327,872",9/18/2018
33,,,,,,,,
34,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$79,027,628",
35,,,,,,,,
36,International Total,International Total,International Total,International Total,International Total,International Total,"$538,710,564",1/28/2021
