,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,3/24/2016,"$3,050,823",155,176,698,"$7,592,895",11/30/2018
1,Australia,3/25/2016,"$9,864,464",594,594,2185,"$20,309,928",6/16/2020
2,Austria,3/24/2016,"$739,386",112,112,377,"$2,245,323",6/9/2016
3,Belgium,3/23/2016,$0,0,150,416,"$2,484,924",6/9/2016
4,Bolivia,3/24/2016,"$710,894",28,29,111,"$1,855,270",12/31/2018
5,Brazil,3/24/2016,"$10,607,133",818,893,3304,"$37,566,828",11/15/2018
6,Bulgaria,3/25/2016,"$182,625",67,67,217,"$550,823",2/26/2019
7,Cambodia,3/25/2016,$0,0,39,81,"$177,371",12/31/2018
8,Central America,3/24/2016,$0,0,142,249,"$6,212,815",4/19/2016
9,Chile,3/24/2016,"$1,717,395",106,111,367,"$4,570,723",12/31/2018
10,China,3/24/2016,"$53,050,000",81931,81931,117973,"$95,769,368",10/2/2018
11,Colombia,3/24/2016,"$3,158,740",680,680,1877,"$7,341,930",12/31/2018
12,Croatia,3/24/2016,$0,0,67,133,"$430,739",12/31/2018
13,Czech Republic,3/24/2016,"$506,493",136,136,346,"$1,114,886",12/31/2018
14,Denmark,3/24/2016,$0,0,107,107,"$2,385,790",6/9/2016
15,Ecuador,3/25/2016,"$1,300,664",131,131,384,"$3,781,279",12/31/2018
16,Egypt,3/23/2016,"$79,717",1,1,3,"$285,947",12/31/2018
17,Estonia,3/25/2016,$0,0,6,6,"$242,623",6/9/2016
18,Finland,3/23/2016,$0,0,143,321,"$1,180,001",6/9/2016
19,France,3/23/2016,$0,0,822,2164,"$19,392,432",8/17/2018
20,Germany,3/24/2016,"$6,949,925",797,909,3185,"$16,627,494",6/9/2016
21,Greece,3/24/2016,"$942,629",208,208,508,"$2,055,281",6/9/2016
22,Hong Kong,3/24/2016,"$3,975,478",77,77,244,"$8,277,915",6/9/2016
23,Hungary,3/24/2016,"$414,618",57,58,289,"$1,009,029",12/31/2018
24,Indonesia,3/23/2016,"$7,731,452",874,874,1799,"$12,695,444",12/31/2018
25,Iraq,3/24/2016,"$79,622",5,6,21,"$182,049",12/31/2018
26,Israel,3/24/2016,"$1,076,566",54,54,191,"$2,268,443",12/31/2018
27,Italy,3/23/2016,"$4,617,246",632,734,2187,"$11,665,027",11/11/2018
28,Japan,3/25/2016,"$3,288,349",715,717,2814,"$14,945,460",6/9/2016
29,Kuwait,3/24/2016,"$696,727",15,16,50,"$1,773,800",12/31/2018
30,Lebanon,3/24/2016,"$341,155",21,21,62,"$817,810",12/31/2018
31,Lithuania,3/25/2016,$0,0,176,435,"$212,482",6/8/2016
32,Malaysia,3/24/2016,$0,0,196,458,"$7,423,098",6/9/2016
33,Mexico,3/23/2016,"$12,242,174",0,0,0,"$36,582,567",6/9/2016
34,Netherlands,3/25/2016,"$1,686,178",201,201,1030,"$4,187,260",6/9/2016
35,New Zealand,3/25/2016,"$1,613,875",163,163,637,"$3,264,030",6/9/2016
36,Norway,3/23/2016,$0,0,219,469,"$3,036,691",6/9/2016
37,Oman,3/24/2016,"$174,889",14,14,39,"$475,077",12/31/2018
38,Peru,3/24/2016,$0,0,179,179,"$4,444,680",12/31/2018
39,Poland,4/1/2016,$0,0,0,0,"$2,060,384",12/31/2018
40,Portugal,3/24/2016,"$614,350",122,122,523,"$2,072,080",6/9/2016
41,Russia (CIS),3/24/2016,"$7,650,369",1069,1069,3639,"$12,683,409",12/31/2018
42,Serbia and Montenegro,3/24/2016,$0,0,38,91,"$243,971",12/31/2018
43,Singapore,3/24/2016,"$3,350,574",138,138,372,"$5,646,864",6/9/2016
44,Slovakia,3/24/2016,"$246,044",64,64,159,"$498,913",6/9/2016
45,Slovenia,3/25/2016,"$58,422",22,22,69,"$166,166",6/9/2016
46,South Africa,3/25/2016,$0,0,132,235,"$2,665,809",6/9/2016
47,South Korea,3/24/2016,"$8,589,032",1696,1696,3788,"$16,435,718",6/9/2016
48,Spain,3/23/2016,"$3,135,694",489,489,2023,"$11,377,475",6/9/2016
49,Sweden,3/23/2016,$0,0,81,81,"$3,650,794",6/9/2016
50,Taiwan,3/25/2016,$0,0,98,263,"$7,051,163",6/9/2016
51,Thailand,3/24/2016,"$2,256,551",483,483,956,"$4,150,267",6/9/2016
52,Turkey,3/25/2016,"$2,480,626",616,636,2582,"$6,530,218",2/26/2019
53,Ukraine,3/24/2016,"$676,196",297,297,820,"$1,205,898",12/31/2018
54,United Arab Emirates,3/24/2016,"$2,836,786",83,83,253,"$6,680,296",12/31/2018
55,United Kingdom,3/25/2016,"$20,659,894",612,612,2972,"$53,128,160",9/8/2018
56,Uruguay,3/24/2016,"$121,600",120,120,171,"$315,982",12/31/2018
57,Venezuela,3/25/2016,"$125,468",39,82,249,"$1,113,858",6/9/2016
58,,,,,,,,
59,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$56,921,940",
60,,,,,,,,
61,International Total,International Total,International Total,International Total,International Total,International Total,"$542,034,897",6/16/2020
