,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,12/14/2017,"$2,170,483",0,0,0,"$5,372,661",1/1/2019
1,Australia,12/14/2017,"$16,039,040",970,970,3905,"$43,971,020",6/15/2021
2,Belgium,12/13/2017,$0,0,0,0,$0,
3,Brazil,12/13/2017,"$7,200,000",0,0,0,"$19,108,918",6/14/2018
4,Bulgaria,12/15/2017,"$477,344",0,0,0,"$1,804,811",2/26/2019
5,Cambodia,12/14/2017,$0,0,0,0,$0,
6,Chile,12/14/2017,$0,0,0,0,$0,
7,China,1/5/2018,"$28,220,000",90669,90669,100233,"$41,200,000",2/5/2018
8,Colombia,12/13/2017,$0,0,0,0,$0,
9,Croatia,12/14/2017,$0,0,0,0,$0,
10,Cyprus,12/14/2017,$0,0,0,0,$0,
11,Czech Republic,12/14/2017,"$1,474,695",159,159,579,"$3,832,537",1/1/2019
12,Denmark,12/13/2017,$0,0,0,0,"$11,000,000",1/28/2018
13,Estonia,12/15/2017,$0,0,0,0,$0,
14,Finland,12/13/2017,$0,0,0,0,$0,
15,France,12/13/2017,"$18,100,000",0,0,0,"$64,974,040",6/12/2018
16,Germany,12/14/2017,"$23,269,020",814,820,3827,"$83,164,496",6/11/2018
17,Greece,12/14/2017,$0,0,0,0,$0,
18,Hong Kong,12/14/2017,"$2,529,091",0,0,0,"$5,618,798",10/28/2018
19,Hungary,12/14/2017,$0,0,0,0,$0,
20,India,12/15/2017,"$1,400,280",0,0,0,"$1,458,333",10/3/2018
21,Indonesia,12/13/2017,"$3,143,360",0,0,0,"$5,223,333",1/1/2019
22,Ireland,12/14/2017,$0,0,0,0,$0,
23,Israel,12/14/2017,$0,0,0,0,$0,
24,Italy,12/13/2017,"$5,424,786",0,0,0,"$18,138,020",9/12/2018
25,Japan,12/15/2017,"$14,350,373",0,0,0,"$66,662,688",6/8/2018
26,Kuwait,12/14/2017,$0,0,0,0,$0,
27,Lithuania,12/15/2017,"$140,695",181,181,425,"$394,950",3/19/2018
28,Malaysia,12/14/2017,$0,0,0,0,$0,
29,Mexico,12/14/2017,"$4,784,474",0,0,0,"$13,590,940",9/10/2018
30,Netherlands,12/13/2017,"$2,609,476",132,132,854,"$12,944,717",9/12/2018
31,New Zealand,12/14/2017,"$2,194,686",243,243,976,"$6,244,816",8/17/2020
32,Norway,12/13/2017,$0,0,0,0,"$1,500,000",12/15/2017
33,Pakistan,12/15/2017,$0,0,0,0,$0,
34,Philippines,12/13/2017,$0,0,0,0,$0,
35,Poland,12/14/2017,"$4,965,347",0,0,0,"$12,990,972",1/1/2019
36,Portugal,12/15/2017,"$806,795",197,197,740,"$3,285,750",2/28/2018
37,Romania,12/15/2017,$0,0,0,0,$0,
38,Russia (CIS),12/14/2017,"$8,486,199",1360,1360,4819,"$16,068,138",1/1/2019
39,Serbia and Montenegro,12/14/2017,$0,0,0,0,$0,
40,Singapore,12/14/2017,$0,0,0,0,$0,
41,Slovakia,12/13/2017,"$432,985",73,73,190,"$1,022,454",2/13/2018
42,Slovenia,12/13/2017,$0,0,0,0,$0,
43,South Africa,12/14/2017,$0,0,0,0,$0,
44,South Korea,12/14/2017,"$4,318,806",1093,1093,1639,"$7,981,958",9/10/2018
45,Spain,12/15/2017,"$7,733,217",414,414,2390,"$25,847,888",9/12/2018
46,Sweden,12/13/2017,"$6,000,000",0,0,0,"$15,800,000",1/28/2018
47,Taiwan,12/13/2017,"$1,812,040",0,0,0,"$3,534,284",10/28/2018
48,Turkey,12/13/2017,"$980,572",556,556,1363,"$2,653,217",2/26/2019
49,Ukraine,12/14/2017,$0,0,0,0,$0,
50,United Kingdom,12/14/2017,"$37,298,057",723,723,4524,"$111,883,703",5/9/2018
51,Vietnam,12/15/2017,$0,0,0,0,$0,
52,,,,,,,,
53,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$104,180,317",
54,,,,,,,,
55,International Total,International Total,International Total,International Total,International Total,International Total,"$711,453,759",6/15/2021
