,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,3/3/2017,"$1,500,000",0,0,0,"$5,148,269",1/1/2019
1,Australia,3/3/2017,"$5,940,600",414,415,2093,"$17,295,477",5/18/2017
2,Brazil,3/3/2017,"$8,200,000",0,0,0,"$29,218,096",6/26/2018
3,Bulgaria,3/2/2017,"$83,951",0,0,0,"$295,183",2/26/2019
4,Central America,3/3/2017,"$1,300,000",0,0,0,"$1,300,000",3/6/2017
5,Chile,3/3/2017,"$1,200,000",0,0,0,"$1,200,000",12/20/2018
6,China,3/2/2017,"$48,720,000",101504,101504,213432,"$105,962,992",8/13/2018
7,Colombia,3/3/2017,"$1,300,000",0,0,0,"$1,300,000",12/20/2018
8,Czech Republic,3/3/2017,"$337,632",120,120,378,"$1,102,637",1/1/2019
9,France,3/3/2017,"$6,100,000",0,0,0,"$15,456,133",6/27/2018
10,Germany,3/3/2017,"$3,500,000",0,0,0,"$9,880,658",6/29/2018
11,Hong Kong,3/3/2017,$0,0,128,241,"$5,090,693",10/27/2018
12,India,3/3/2017,"$3,400,000",0,0,0,"$6,565,038",10/3/2018
13,Indonesia,3/3/2017,"$2,900,000",0,0,0,"$2,900,000",12/20/2018
14,Italy,3/3/2017,"$2,144,179",0,0,0,"$5,589,951",3/29/2017
15,Japan,6/2/2017,"$2,500,000",0,0,0,"$6,209,861",6/30/2018
16,Lithuania,3/3/2017,"$43,229",99,99,197,"$131,841",4/14/2017
17,Mexico,3/3/2017,"$5,625,846",0,0,0,"$14,353,922",4/6/2017
18,Netherlands,3/1/2017,"$1,010,546",110,110,732,"$3,277,740",5/4/2017
19,New Zealand,3/3/2017,"$791,116",85,85,468,"$2,226,032",9/21/2020
20,Poland,3/3/2017,$0,0,0,0,"$2,277,603",1/1/2019
21,Portugal,3/3/2017,"$387,711",81,81,372,"$1,129,530",5/18/2017
22,Russia (CIS),3/3/2017,"$8,021,409",1200,1200,3891,"$16,863,836",9/4/2020
23,Slovakia,3/3/2017,"$156,320",66,66,162,"$368,810",4/27/2017
24,Slovenia,3/3/2017,"$31,447",17,17,29,"$88,881",3/23/2017
25,South Korea,2/23/2017,$0,0,954,2857,"$15,111,303",4/28/2020
26,Spain,3/3/2017,"$2,407,764",459,494,2238,"$7,646,855",7/13/2017
27,Taiwan,3/3/2017,"$4,700,000",0,80,80,"$7,042,850",10/28/2018
28,Thailand,3/3/2017,"$2,100,000",0,0,0,"$2,100,000",3/6/2017
29,Turkey,3/3/2017,"$817,738",0,303,958,"$3,359,220",1/1/2019
30,United Kingdom,3/3/2017,"$11,567,079",602,602,2937,"$29,643,627",4/19/2017
31,,,,,,,,
32,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$67,788,209",
33,,,,,,,,
34,International Total,International Total,International Total,International Total,International Total,International Total,"$387,925,247",9/21/2020
