,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,3/24/2017,"$4,400,000",0,0,0,"$13,084,290",1/1/2019
1,Australia,3/24/2017,"$10,015,403",706,706,3666,"$31,638,500",11/21/2022
2,Belgium,3/24/2017,"$1,100,000",0,0,0,"$1,700,000",3/27/2017
3,Brazil,3/17/2017,"$10,400,000",0,0,0,"$41,497,084",6/26/2018
4,Bulgaria,3/16/2017,"$315,160",0,0,0,"$9,023,525",2/26/2019
5,Chile,3/31/2017,"$1,500,000",0,0,0,"$1,600,000",1/1/2019
6,China,3/16/2017,"$44,820,000",103915,103915,162493,"$85,800,000",5/22/2017
7,Czech Republic,3/17/2017,"$640,555",138,138,833,"$2,283,342",1/1/2019
8,France,3/24/2017,"$7,900,000",0,0,0,"$23,910,492",6/28/2018
9,Germany,3/17/2017,"$10,700,000",0,0,0,"$35,353,796",6/29/2018
10,Hong Kong,3/17/2017,"$3,200,000",0,0,0,"$9,231,866",10/27/2018
11,India,3/17/2017,"$1,406,185",0,0,0,"$4,149,628",10/3/2018
12,Indonesia,3/17/2017,"$3,200,000",0,0,0,"$9,161,033",1/1/2019
13,Italy,3/17/2017,"$7,437,840",0,0,0,"$22,689,496",10/23/2018
14,Japan,4/21/2017,"$14,713,971",0,0,0,"$110,790,536",7/4/2018
15,Lithuania,3/17/2017,$0,0,116,306,"$181,074",5/26/2017
16,Malaysia,3/31/2017,"$2,400,000",0,0,0,"$2,400,000",4/3/2017
17,Mexico,3/17/2017,"$11,786,031",0,0,0,"$29,968,580",10/12/2018
18,Netherlands,3/29/2017,"$1,705,530",131,134,1519,"$8,669,457",11/3/2018
19,New Zealand,3/31/2017,"$1,401,932",141,141,875,"$4,524,746",3/31/2021
20,Philippines,3/17/2017,"$5,900,000",0,0,0,"$13,500,000",1/1/2019
21,Poland,3/17/2017,"$1,257,856",0,0,0,"$4,906,241",1/1/2019
22,Portugal,3/17/2017,"$694,555",144,144,831,"$3,443,129",1/12/2021
23,Russia (CIS),3/17/2017,"$6,491,181",1327,1327,4162,"$14,634,611",1/1/2019
24,Slovakia,3/17/2017,"$221,420",64,64,249,"$508,028",6/12/2017
25,Slovenia,3/17/2017,"$53,033",31,31,31,"$60,865",3/23/2017
26,South Korea,3/16/2017,"$10,635,424",1625,1625,6741,"$35,860,376",8/19/2020
27,Spain,3/17/2017,"$6,070,447",838,945,5468,"$24,076,226",10/30/2018
28,Taiwan,3/17/2017,$0,0,0,0,"$8,232,563",10/28/2018
29,Turkey,3/17/2017,"$313,685",162,165,533,"$973,259",2/26/2019
30,United Kingdom,3/16/2017,"$24,372,139",567,677,7526,"$99,735,155",2/9/2022
31,,,,,,,,
32,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$111,095,420",
33,,,,,,,,
34,International Total,International Total,International Total,International Total,International Total,International Total,"$764,683,318",11/21/2022
