,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,6/2/2017,"$1,183,992",0,0,0,"$3,390,252",1/1/2019
1,Australia,6/2/2017,"$5,041,877",605,605,3014,"$23,893,644",10/19/2022
2,Brazil,6/2/2017,"$8,300,000",0,0,0,"$33,500,000",9/11/2017
3,Bulgaria,6/2/2017,"$67,340",0,0,0,"$310,618",2/26/2019
4,China,5/31/2017,"$38,010,000",85361,85361,151894,"$89,100,000",9/11/2017
5,Czech Republic,6/2/2017,"$183,587",129,129,318,"$605,248",1/1/2019
6,France,6/9/2017,"$4,900,000",655,655,655,"$16,300,000",9/11/2017
7,Germany,6/15/2017,"$3,200,000",0,0,0,"$8,700,000",7/24/2017
8,Hong Kong,5/30/2017,$0,0,0,0,"$829,000",6/1/2017
9,India,6/3/2017,$0,0,0,0,"$2,568,493",6/14/2017
10,Indonesia,6/2/2017,$0,0,382,382,"$8,600,000",1/1/2019
11,Italy,6/1/2017,"$1,225,247",0,0,0,"$3,881,665",7/12/2017
12,Japan,8/25/2017,"$2,444,160",0,0,0,"$11,277,405",7/4/2018
13,Lithuania,6/2/2017,"$25,755",124,124,281,"$124,272",7/27/2017
14,Mexico,6/2/2017,"$8,229,245",3517,3517,3517,"$41,790,000",12/15/2020
15,Netherlands,6/15/2017,"$912,843",111,201,1033,"$3,793,664",8/21/2017
16,New Zealand,6/2/2017,"$964,649",121,121,737,"$3,631,130",8/7/2017
17,Philippines,6/2/2017,"$4,600,000",0,0,0,"$10,600,000",1/1/2019
18,Poland,6/2/2017,"$326,150",0,0,0,"$1,366,850",1/1/2019
19,Portugal,6/2/2017,"$279,281",111,111,473,"$1,044,631",10/19/2022
20,Russia (CIS),6/2/2017,"$3,994,949",1194,1244,3826,"$8,136,393",1/1/2019
21,Slovakia,6/2/2017,"$114,552",71,71,198,"$348,855",12/15/2020
22,South Korea,5/29/2017,"$6,362,989",1034,1034,2413,"$15,500,000",7/24/2017
23,Spain,6/23/2017,"$2,276,661",607,607,2378,"$8,603,850",8/24/2017
24,Taiwan,5/30/2017,"$4,500,000",323,323,494,"$11,000,000",7/24/2017
25,Turkey,6/2/2017,"$463,169",506,506,1694,"$1,747,244",2/26/2019
26,United Kingdom,6/2/2017,"$7,962,397",599,624,3850,"$29,950,957",12/23/2020
27,,,,,,,,
28,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$64,534,187",
29,,,,,,,,
30,International Total,International Total,International Total,International Total,International Total,International Total,"$405,128,358",10/19/2022
