,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,5/5/2017,"$1,816,851",0,0,0,"$4,822,234",1/1/2019
1,Australia,4/28/2017,"$6,440,549",705,705,2775,"$25,977,656",1/22/2018
2,Brazil,4/28/2017,"$6,900,000",0,0,0,"$20,925,686",6/26/2018
3,Bulgaria,5/4/2017,"$139,468",0,0,0,"$393,545",2/26/2019
4,China,5/4/2017,"$48,710,000",103007,103007,164835,"$99,300,000",6/12/2017
5,Czech Republic,5/5/2017,"$699,344",139,139,487,"$1,795,319",1/1/2019
6,France,4/28/2017,"$7,900,000",0,0,0,"$24,809,136",6/13/2018
7,Germany,4/28/2017,"$8,300,000",0,0,0,"$30,165,432",6/11/2018
8,Hong Kong,4/28/2017,"$1,898,684",0,0,0,"$4,756,321",10/27/2018
9,India,5/5/2017,"$1,607,943",0,0,0,"$3,428,270",10/3/2018
10,Indonesia,4/28/2017,"$3,400,000",0,0,0,"$7,683,449",1/1/2019
11,Italy,4/28/2017,"$2,393,067",0,0,0,"$7,900,157",10/23/2018
12,Japan,5/12/2017,"$2,118,270",0,0,0,"$10,097,680",7/4/2018
13,Lithuania,4/28/2017,"$66,611",176,176,483,"$175,314",6/16/2017
14,Malaysia,4/28/2017,"$2,000,000",0,0,0,"$2,000,000",4/30/2017
15,Mexico,4/28/2017,"$8,135,629",0,0,0,"$19,005,244",10/12/2018
16,Netherlands,4/28/2017,"$1,535,700",117,122,931,"$4,467,886",10/19/2022
17,New Zealand,4/28/2017,"$1,143,358",140,140,629,"$4,003,751",7/24/2017
18,Philippines,4/28/2017,"$3,200,000",0,0,0,"$5,000,000",1/1/2019
19,Poland,5/5/2017,"$1,213,653",0,0,0,"$3,247,124",1/1/2019
20,Portugal,4/28/2017,"$354,677",90,90,372,"$994,302",7/7/2017
21,Russia (CIS),5/4/2017,"$12,551,268",1370,1370,5311,"$27,881,604",9/4/2020
22,Slovakia,5/5/2017,"$250,483",69,69,191,"$600,150",6/29/2017
23,South Korea,5/1/2017,"$6,943,409",1218,1218,2651,"$20,375,964",7/4/2017
24,Spain,4/28/2017,"$3,649,061",753,753,3529,"$10,314,253",10/30/2018
25,Taiwan,4/28/2017,"$2,400,000",0,0,0,"$4,715,392",10/28/2018
26,Thailand,4/28/2017,"$2,700,000",0,0,0,"$2,700,000",4/30/2017
27,Turkey,4/28/2017,"$560,401",382,382,1022,"$1,525,166",2/26/2019
28,United Kingdom,4/28/2017,"$16,939,652",632,634,4407,"$53,060,496",9/30/2018
29,,,,,,,,
30,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$77,153,331",
31,,,,,,,,
32,International Total,International Total,International Total,International Total,International Total,International Total,"$479,274,862",10/19/2022
