,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,9/22/2017,"$4,100,000",421,421,421,"$11,600,000",1/1/2019
1,Australia,9/8/2017,"$6,025,651",546,546,2316,"$18,040,475",4/5/2021
2,Brazil,9/8/2017,"$5,600,000",846,846,846,"$19,900,000",12/21/2017
3,Bulgaria,9/8/2017,"$93,931",0,0,0,"$428,276",2/26/2019
4,Chile,9/8/2017,$0,0,0,0,"$4,500,000",1/1/2019
5,Czech Republic,9/8/2017,"$393,139",121,121,400,"$1,448,184",10/19/2022
6,France,9/22/2017,"$6,300,000",0,0,0,"$19,400,000",12/21/2017
7,Germany,9/29/2017,"$10,747,668",660,710,2680,"$35,400,000",12/21/2017
8,Greece,9/29/2017,"$789,000",163,163,163,"$789,000",10/5/2017
9,Hong Kong,9/8/2017,"$741,000",0,0,0,"$741,000",10/27/2018
10,India,9/9/2017,$0,0,0,0,"$3,200,000",9/27/2017
11,Indonesia,9/8/2017,"$2,700,000",0,0,0,"$6,000,000",1/1/2019
12,Italy,10/19/2017,"$7,627,560",0,0,0,"$17,400,000",12/21/2017
13,Japan,11/3/2017,"$2,500,000",202,254,949,"$18,084,320",7/5/2018
14,Lithuania,9/8/2017,"$74,565",136,136,429,"$296,092",10/19/2022
15,Malaysia,9/7/2017,$0,0,0,0,"$2,900,000",9/18/2017
16,Mexico,9/15/2017,"$10,370,056",4300,4300,4300,"$27,600,000",12/21/2017
17,Netherlands,9/8/2017,"$1,523,043",129,135,960,"$6,011,696",11/6/2017
18,New Zealand,9/8/2017,"$876,973",83,83,436,"$2,019,780",10/19/2022
19,Poland,9/8/2017,"$1,200,000",0,0,0,"$3,826,876",1/1/2019
20,Portugal,9/15/2017,"$467,358",82,82,434,"$1,282,278",10/8/2019
21,Russia (CIS),9/8/2017,"$7,282,626",1279,1286,4920,"$18,500,000",10/19/2022
22,Slovakia,9/8/2017,"$259,577",68,68,218,"$765,314",10/25/2017
23,South Korea,8/31/2017,$0,0,837,1599,"$6,494,623",10/16/2017
24,Spain,9/8/2017,"$3,138,201",452,452,2687,"$13,500,000",12/21/2017
25,Sweden,9/15/2017,"$2,600,000",186,186,186,"$7,800,000",12/21/2017
26,Taiwan,9/8/2017,"$2,000,000",0,0,0,"$2,000,000",10/28/2018
27,Turkey,9/15/2017,"$435,409",407,407,1357,"$1,465,895",2/26/2019
28,United Kingdom,9/8/2017,"$13,215,013",606,608,3525,"$42,500,000",8/28/2019
29,,,,,,,,
30,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$78,290,063",
31,,,,,,,,
32,International Total,International Total,International Total,International Total,International Total,International Total,"$372,183,872",10/19/2022
