,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,10/27/2017,"$2,000,000",0,0,0,"$6,169,643",1/1/2019
1,Australia,10/27/2017,"$7,764,003",781,781,3605,"$27,273,707",1/19/2021
2,Brazil,10/27/2017,"$8,300,000",0,0,0,"$30,485,848",6/14/2018
3,Bulgaria,10/27/2017,"$197,968",0,0,0,"$754,537",2/26/2019
4,China,11/2/2017,"$53,460,000",121788,121788,210572,"$112,000,000",12/21/2017
5,Czech Republic,10/27/2017,"$1,093,493",141,141,503,"$3,044,746",1/1/2019
6,France,10/27/2017,"$7,400,000",0,0,0,"$21,262,792",6/13/2018
7,Germany,11/2/2017,"$5,306,393",612,618,1839,"$19,036,144",6/11/2018
8,Hong Kong,10/27/2017,"$2,900,000",0,0,0,"$7,002,049",10/28/2018
9,India,11/3/2017,"$5,200,000",0,0,0,"$11,818,410",10/3/2018
10,Indonesia,10/27/2017,"$5,500,000",0,0,0,"$11,746,294",1/1/2019
11,Italy,10/27/2017,"$3,512,089",0,0,0,"$10,369,507",10/25/2018
12,Japan,11/3/2017,"$3,500,000",0,0,0,"$10,116,575",6/8/2018
13,Lithuania,11/3/2017,"$75,277",124,199,457,"$217,175",3/19/2018
14,Malaysia,10/27/2017,"$3,500,000",0,0,0,"$7,100,000",11/13/2017
15,Mexico,11/3/2017,"$7,344,833",0,0,0,"$21,249,432",9/10/2018
16,Netherlands,10/27/2017,"$1,378,236",113,113,744,"$4,590,401",9/12/2018
17,New Zealand,10/27/2017,"$1,399,944",194,194,1095,"$4,711,847",10/19/2022
18,Philippines,10/27/2017,"$3,800,000",0,0,0,"$7,800,000",1/1/2019
19,Poland,10/27/2017,"$1,360,073",0,0,0,"$4,046,509",1/1/2019
20,Portugal,10/27/2017,"$420,000",95,100,459,"$1,341,455",12/28/2017
21,Russia (CIS),11/3/2017,"$3,829,474",160,1470,5090,"$23,648,616",8/17/2022
22,Singapore,10/27/2017,"$2,200,000",0,0,0,"$2,200,000",10/29/2017
23,Slovakia,11/3/2017,"$345,177",63,63,207,"$848,061",1/3/2018
24,South Korea,10/25/2017,$0,0,1640,4952,"$34,514,898",11/14/2018
25,Spain,10/27/2017,"$3,359,313",670,670,2184,"$10,797,548",3/18/2021
26,Taiwan,10/27/2017,"$5,400,000",0,0,0,"$10,411,887",10/28/2018
27,Turkey,10/27/2017,"$1,280,025",378,378,1273,"$2,981,701",2/26/2019
28,United Kingdom,10/27/2017,"$16,222,053",611,611,3528,"$40,960,480",9/10/2018
29,,,,,,,,
30,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$86,924,227",
31,,,,,,,,
32,International Total,International Total,International Total,International Total,International Total,International Total,"$535,424,489",10/19/2022
