,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,11/17/2017,"$2,049,187",0,0,0,"$5,726,375",1/1/2019
1,Australia,11/17/2017,"$6,124,406",716,716,2431,"$15,541,177",1/18/2018
2,Brazil,11/15/2017,"$14,200,000",1580,1617,4466,"$41,100,000",8/28/2020
3,Bulgaria,11/17/2017,"$160,288",0,0,0,"$436,992",2/26/2019
4,China,11/16/2017,"$50,980,000",119572,119572,223289,"$104,000,000",1/17/2018
5,Czech Republic,11/17/2017,"$527,936",129,129,355,"$1,054,492",1/1/2019
6,France,11/15/2017,"$6,000,000",687,687,1988,"$14,200,000",1/17/2018
7,Germany,11/17/2017,"$2,747,534",525,527,1577,"$7,298,785",6/29/2018
8,India,11/17/2017,$0,0,0,0,"$8,100,000",12/24/2017
9,Indonesia,11/15/2017,"$5,800,000",946,946,946,"$10,800,000",1/1/2019
10,Italy,11/17/2017,"$3,547,357",616,617,1233,"$7,913,596",12/22/2017
11,Japan,11/24/2017,"$3,850,000",645,645,1290,"$9,400,000",1/17/2018
12,Lithuania,11/17/2017,"$4,796",10,92,149,"$138,041",12/20/2017
13,Malaysia,11/16/2017,$0,0,0,0,"$6,400,000",12/3/2017
14,Mexico,11/17/2017,"$9,641,527",3563,3563,7863,"$24,800,000",1/17/2018
15,Netherlands,11/17/2017,"$1,048,689",116,116,545,"$2,793,459",12/20/2017
16,New Zealand,11/17/2017,"$950,918",144,144,665,"$2,343,197",1/3/2018
17,Philippines,11/17/2017,"$5,800,000",0,399,399,"$10,300,000",1/1/2019
18,Poland,11/17/2017,"$620,618",0,0,0,"$1,486,879",1/1/2019
19,Portugal,11/17/2017,"$519,559",102,102,428,"$1,455,019",1/31/2018
20,Russia (CIS),11/17/2017,"$6,337,508",1357,1425,4347,"$10,900,000",1/1/2019
21,Slovakia,11/17/2017,"$215,952",62,62,170,"$408,092",12/20/2017
22,South Korea,11/13/2017,"$6,470,257",1308,1308,2612,"$13,100,000",12/21/2017
23,Spain,11/17/2017,"$3,148,968",328,337,1701,"$8,200,000",1/17/2018
24,Taiwan,11/17/2017,"$4,300,000",308,308,308,"$7,400,000",12/3/2017
25,Turkey,11/17/2017,"$1,013,073",476,476,1610,"$2,856,078",2/26/2019
26,United Kingdom,11/17/2017,"$9,605,691",578,584,2627,"$24,037,699",2/14/2018
27,,,,,,,,
28,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$84,731,033",
29,,,,,,,,
30,International Total,International Total,International Total,International Total,International Total,International Total,"$426,920,914",8/28/2020
