,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,4/27/2018,"$5,437,240",0,0,0,"$16,477,070",6/14/2019
1,Australia,4/25/2018,"$16,070,132",940,940,3972,"$46,825,160",11/16/2018
2,Brazil,4/26/2018,"$18,800,000",0,0,0,"$66,684,468",12/30/2018
3,Bulgaria,4/27/2018,"$318,998",0,0,0,"$980,449",2/26/2019
4,China,5/10/2018,"$190,180,000",205100,205100,500639,"$359,543,168",8/7/2018
5,Czech Republic,4/27/2018,"$1,669,512",145,145,654,"$4,394,354",1/1/2019
6,France,4/25/2018,"$17,645,304",0,0,0,"$47,168,224",9/20/2018
7,Germany,4/26/2018,"$15,203,883",700,727,2802,"$45,398,140",12/16/2018
8,Hong Kong,4/25/2018,$0,0,0,0,"$20,401,513",6/14/2018
9,India,4/27/2018,"$18,600,000",0,0,0,"$43,600,000",6/18/2018
10,Indonesia,4/25/2018,"$11,414,539",0,0,0,"$25,288,928",1/1/2019
11,Italy,4/25/2018,"$7,370,753",0,0,0,"$22,837,544",9/12/2018
12,Japan,4/27/2018,"$9,000,000",0,0,0,"$33,900,000",6/18/2018
13,Lithuania,4/27/2018,"$160,401",182,182,701,"$406,847",10/3/2018
14,Malaysia,4/25/2018,$0,0,0,0,"$16,900,000",5/21/2018
15,Mexico,4/27/2018,"$24,798,714",0,0,0,"$60,058,772",7/13/2018
16,Netherlands,4/27/2018,"$2,956,124",120,656,1774,"$10,434,484",4/30/2019
17,New Zealand,4/27/2018,"$2,743,143",194,194,959,"$7,045,556",7/23/2018
18,Philippines,4/25/2018,$0,0,0,0,"$23,100,000",1/1/2019
19,Poland,4/27/2018,"$2,563,813",0,0,0,"$7,367,423",1/1/2019
20,Portugal,4/26/2018,"$1,173,301",142,142,720,"$2,821,608",7/6/2018
21,Russia (CIS),5/3/2018,"$18,136,865",1362,1548,6150,"$34,597,188",2/26/2019
22,Slovakia,4/27/2018,"$604,021",68,68,221,"$1,301,487",8/22/2018
23,South Korea,4/25/2018,"$27,508,608",2553,2553,8744,"$88,351,455",5/7/2020
24,Spain,4/27/2018,"$8,254,909",398,488,2797,"$24,809,384",11/23/2018
25,Taiwan,4/25/2018,"$9,803,289",0,0,0,"$21,588,140",9/13/2018
26,Thailand,4/25/2018,$0,0,0,0,"$17,700,000",5/21/2018
27,Turkey,4/27/2018,"$2,566,326",889,899,3002,"$5,691,953",2/26/2019
28,United Kingdom,4/26/2018,"$40,501,097",650,652,5184,"$92,821,201",8/31/2020
29,Vietnam,4/25/2018,$0,0,0,0,"$1,300,000",1/1/2019
30,,,,,,,,
31,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$219,749,756",
32,,,,,,,,
33,International Total,International Total,International Total,International Total,International Total,International Total,"$1,369,544,272",8/31/2020
