,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,6/15/2018,"$3,000,000",0,0,0,"$15,712,921",12/16/2018
1,Australia,6/15/2018,"$7,913,578",570,570,4106,"$35,396,660",5/25/2021
2,Brazil,6/29/2018,"$6,500,000",0,0,0,"$37,575,760",12/2/2018
3,Bulgaria,6/15/2018,"$118,006",0,0,0,"$570,261",2/26/2019
4,China,6/21/2018,"$20,580,000",81031,81031,134578,"$53,700,000",10/9/2018
5,Colombia,6/22/2018,$0,0,0,0,"$10,800,000",1/1/2019
6,Czech Republic,7/27/2018,"$32,945",32,139,935,"$2,129,116",1/1/2019
7,Denmark,8/30/2018,"$1,200,000",0,0,0,"$1,200,000",9/3/2018
8,Finland,8/31/2018,"$700,000",0,0,0,"$700,000",9/3/2018
9,France,7/6/2018,"$9,454,086",0,0,0,"$42,286,340",3/5/2019
10,Germany,9/27/2018,"$5,700,000",0,0,0,"$20,578,828",3/23/2019
11,Hong Kong,7/20/2018,"$3,300,000",0,0,0,"$3,300,000",7/23/2018
12,India,6/22/2018,"$3,354,943",0,0,0,"$7,641,308",8/25/2018
13,Indonesia,6/22/2018,"$1,794,550",0,0,0,"$8,052,519",1/1/2019
14,Italy,9/19/2018,"$4,926,905",0,24,39,"$14,646,895",2/1/2019
15,Japan,8/1/2018,"$3,500,000",0,0,0,"$43,890,784",12/11/2018
16,Lithuania,8/3/2018,"$92,423",230,519,1379,"$549,860",9/4/2019
17,Mexico,6/15/2018,"$11,488,496",0,0,0,"$37,244,912",12/11/2018
18,Netherlands,6/29/2018,"$665,745",143,144,1857,"$8,727,116",1/14/2019
19,New Zealand,6/29/2018,"$1,206,866",122,156,669,"$5,034,663",8/9/2018
20,Norway,8/24/2018,"$1,100,000",0,0,0,"$1,100,000",8/28/2018
21,Poland,7/13/2018,"$1,400,000",0,0,0,"$7,424,989",3/5/2019
22,Portugal,6/29/2018,"$828,350",143,143,882,"$3,908,945",1/12/2021
23,Russia (CIS),6/15/2018,"$5,536,130",1411,1573,6632,"$15,608,016",2/26/2019
24,Slovakia,8/3/2018,"$12,880",24,62,405,"$791,137",10/31/2018
25,South Korea,7/20/2018,"$36,615",9,1605,3384,"$21,800,000",10/15/2018
26,Spain,8/3/2018,"$4,268,681",452,452,3726,"$25,270,320",3/30/2019
27,Sweden,8/31/2018,"$1,600,000",0,0,0,"$1,600,000",9/3/2018
28,Taiwan,6/29/2018,"$3,200,000",0,0,0,"$8,503,430",11/2/2018
29,Turkey,8/22/2018,"$461,879",511,511,2442,"$3,026,633",2/26/2019
30,United Kingdom,7/13/2018,"$12,752,742",664,692,7325,"$73,187,600",3/30/2019
31,Venezuela,6/15/2018,$0,0,0,0,"$10,300,000",8/6/2018
32,,,,,,,,
33,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$111,964,602",
34,,,,,,,,
35,International Total,International Total,International Total,International Total,International Total,International Total,"$634,223,615",5/25/2021
