,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,7/27/2018,"$945,000",0,0,0,"$2,021,345",11/27/2018
1,Australia,8/3/2018,"$4,610,672",616,616,2453,"$13,425,497",10/15/2018
2,Brazil,7/27/2018,"$3,807,878",0,0,0,"$11,796,465",7/31/2020
3,Bulgaria,7/27/2018,"$121,940",0,0,0,"$561,762",2/26/2019
4,China,8/31/2018,"$2,863",0,145494,366684,"$180,830,000",10/2/2018
5,Colombia,7/27/2018,"$946,000",0,0,0,"$946,000",12/20/2018
6,Czech Republic,7/27/2018,"$12,670",1,127,435,"$1,072,648",1/1/2019
7,Denmark,8/3/2018,"$1,000,000",0,0,0,"$1,000,000",8/6/2018
8,France,8/3/2018,"$8,000,000",0,0,0,"$27,074,624",10/20/2018
9,Germany,8/3/2018,"$3,800,000",0,0,0,"$15,903,179",10/20/2018
10,Greece,8/31/2018,"$397,000",0,0,0,"$397,000",12/20/2018
11,Hong Kong,7/27/2018,"$2,800,000",0,0,0,"$5,300,000",8/6/2018
12,India,7/27/2018,"$8,185,760",0,0,0,"$15,591,478",9/22/2018
13,Indonesia,7/27/2018,"$5,800,000",0,0,0,"$10,950,422",1/1/2019
14,Italy,8/30/2018,"$2,215,248",0,7,7,"$6,133,722",1/22/2019
15,Japan,8/3/2018,"$8,000,000",0,0,0,"$42,439,160",10/20/2018
16,Lithuania,8/17/2018,"$48,007",141,141,350,"$186,700",10/3/2018
17,Malaysia,7/27/2018,"$2,600,000",0,0,0,"$2,600,000",8/6/2018
18,Mexico,7/26/2018,"$3,967,011",0,0,0,"$11,937,471",9/28/2018
19,Netherlands,8/3/2018,"$1,325,234",127,129,1086,"$7,685,055",10/19/2018
20,New Zealand,8/3/2018,"$796,479",138,138,138,"$1,039,884",8/9/2018
21,Norway,8/3/2018,"$1,600,000",0,0,0,"$1,600,000",8/6/2018
22,Philippines,7/27/2018,"$2,300,000",0,0,0,"$2,300,000",12/20/2018
23,Poland,8/10/2018,"$616,336",0,0,0,"$1,920,589",1/1/2019
24,Portugal,8/3/2018,"$505,314",129,129,555,"$2,030,408",10/9/2018
25,Russia (CIS),7/26/2018,"$3,825,804",1607,1625,5703,"$8,700,038",2/26/2019
26,Singapore,7/27/2018,"$1,900,000",0,0,0,"$1,900,000",8/6/2018
27,Slovakia,8/3/2018,"$8,594",1,69,162,"$336,413",9/18/2018
28,South Korea,7/16/2018,$0,0,1957,4241,"$49,327,929",10/12/2018
29,Spain,7/27/2018,"$1,761,430",389,389,2160,"$7,575,981",10/19/2018
30,Sweden,8/3/2018,"$956,000",0,0,0,"$956,000",8/6/2018
31,Taiwan,7/27/2018,"$5,401,494",0,0,0,"$14,591,895",10/15/2018
32,Thailand,7/27/2018,"$2,100,000",0,0,0,"$2,100,000",8/6/2018
33,Turkey,7/26/2018,"$466,375",725,725,2334,"$1,550,229",2/26/2019
34,Ukraine,7/27/2018,"$641,000",0,0,0,"$641,000",12/20/2018
35,United Arab Emirates,7/27/2018,"$3,000,000",0,0,0,"$6,400,000",12/20/2018
36,United Kingdom,7/25/2018,"$9,576,417",584,600,3731,"$30,902,107",7/15/2020
37,Vietnam,7/27/2018,"$1,200,000",0,0,0,"$1,200,000",12/20/2018
38,,,,,,,,
39,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$74,092,624",
40,,,,,,,,
41,International Total,International Total,International Total,International Total,International Total,International Total,"$567,017,625",7/31/2020
