,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,7/6/2018,"$1,031,384",0,0,0,"$2,250,863",1/1/2019
1,Australia,7/6/2018,"$4,315,049",613,613,2557,"$14,348,561",10/3/2018
2,Brazil,7/6/2018,"$3,545,626",0,0,0,"$13,010,094",12/16/2018
3,Bulgaria,7/6/2018,"$67,979",0,0,0,"$224,148",2/26/2019
4,China,8/24/2018,"$66,100,000",148769,148769,232140,"$120,770,000",9/30/2018
5,Czech Republic,7/6/2018,"$327,135",131,131,427,"$1,211,659",1/1/2019
6,France,7/19/2018,"$4,100,000",0,0,0,"$14,715,801",10/26/2018
7,Germany,7/26/2018,"$2,500,000",0,0,0,"$9,424,892",11/2/2018
8,Hong Kong,7/6/2018,"$3,600,000",0,0,0,"$7,700,000",8/21/2018
9,India,7/13/2018,"$3,800,000",0,0,0,"$6,400,000",8/21/2018
10,Indonesia,7/6/2018,"$5,600,000",0,0,0,"$10,000,000",1/1/2019
11,Italy,8/10/2018,"$317,056",0,0,0,"$5,815,017",11/16/2018
12,Japan,8/31/2018,"$3,700,000",0,0,0,"$11,595,269",10/11/2018
13,Lithuania,7/6/2018,"$28,189",143,143,333,"$92,657",8/15/2018
14,Malaysia,7/6/2018,"$3,000,000",0,0,0,"$5,300,000",7/23/2018
15,Mexico,7/6/2018,"$5,583,908",0,0,0,"$15,000,000",9/10/2018
16,Netherlands,7/20/2018,"$668,832",106,106,574,"$2,655,111",9/22/2018
17,New Zealand,7/6/2018,"$543,719",122,122,458,"$1,883,141",8/9/2018
18,Philippines,7/6/2018,"$3,100,000",0,0,0,"$5,700,000",1/1/2019
19,Poland,8/3/2018,"$625,004",0,0,0,"$2,431,877",11/23/2018
20,Portugal,8/17/2018,"$315,727",99,99,296,"$905,079",10/5/2018
21,Russia (CIS),7/5/2018,"$5,378,672",1370,1449,5759,"$13,024,266",2/26/2019
22,Slovakia,7/6/2018,"$126,703",71,71,163,"$347,546",9/7/2018
23,South Korea,7/3/2018,"$15,293,936",1775,1775,4437,"$42,026,001",12/18/2018
24,Spain,7/6/2018,"$1,491,701",421,421,1755,"$6,869,063",12/2/2018
25,Taiwan,7/6/2018,"$4,600,000",0,0,0,"$9,715,007",10/9/2018
26,Thailand,7/6/2018,"$3,000,000",0,0,0,"$4,300,000",7/23/2018
27,Turkey,7/6/2018,"$476,383",655,655,1848,"$1,095,147",2/26/2019
28,United Kingdom,8/2/2018,"$6,495,764",586,613,3024,"$22,941,204",11/16/2018
29,,,,,,,,
30,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$54,743,517",
31,,,,,,,,
32,International Total,International Total,International Total,International Total,International Total,International Total,"$406,495,920",2/26/2019
