,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,11/2/2018,"$791,703",256,350,2437,"$5,338,359",4/19/2019
1,Australia,11/2/2018,"$4,896,669",497,497,5926,"$37,665,280",12/12/2022
2,Brazil,11/2/2018,$0,0,0,0,$0,
3,Bulgaria,11/2/2018,"$101,584",0,0,0,"$960,330",8/16/2019
4,China,3/16/2019,"$350,000",314,20392,31572,"$13,980,037",5/24/2019
5,Czech Republic,11/2/2018,"$683,550",137,137,2055,"$10,220,948",10/19/2022
6,France,11/2/2018,"$8,099,478",568,775,6588,"$35,336,752",3/9/2019
7,Germany,11/2/2018,"$5,590,968",662,847,11978,"$36,500,000",3/26/2019
8,Indonesia,11/2/2018,$0,0,378,378,"$2,400,000",1/1/2019
9,Italy,11/29/2018,"$6,129,485",0,30,177,"$32,038,188",9/12/2019
10,Japan,11/9/2018,"$4,310,101",469,558,6992,"$115,700,000",4/23/2019
11,Lithuania,11/2/2018,"$157,333",154,154,1193,"$1,397,991",1/5/2022
12,Mexico,11/2/2018,"$5,328,012",0,0,0,"$19,309,699",12/24/2018
13,Netherlands,11/2/2018,"$1,670,657",128,177,3597,"$24,626,702",10/19/2022
14,New Zealand,11/1/2018,$0,0,30,47,"$5,246,224",10/20/2022
15,Philippines,11/2/2018,$0,0,0,0,"$2,160,000",1/1/2019
16,Poland,11/2/2018,"$1,220,378",218,218,2372,"$7,743,898",2/12/2019
17,Portugal,11/1/2018,"$604,227",84,84,771,"$3,463,244",4/2/2019
18,Russia (CIS),10/28/2018,"$259,555",60,1055,5606,"$16,425,546",10/19/2022
19,Slovakia,11/2/2018,"$367,930",77,77,722,"$2,930,958",8/25/2020
20,South Korea,10/31/2018,"$4,370,488",936,1179,10745,"$74,187,520",5/4/2019
21,Spain,11/2/2018,"$3,232,897",354,411,5920,"$32,689,726",9/17/2020
22,Turkey,11/2/2018,"$230,950",132,132,983,"$1,883,111",10/19/2022
23,United Kingdom,10/24/2018,"$12,223,244",659,682,9620,"$76,244,235",9/1/2021
24,,,,,,,,
25,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$107,453,173",
26,,,,,,,,
27,International Total,International Total,International Total,International Total,International Total,International Total,"$665,901,921",12/12/2022
