,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,4/26/2019,"$6,809,670",0,0,0,"$17,723,546",12/25/2019
1,Australia,4/24/2019,"$24,032,492",1112,1112,4823,"$59,101,640",8/31/2019
2,Brazil,4/25/2019,"$26,363,628",3090,3090,4495,"$85,660,664",8/31/2019
3,Bulgaria,4/26/2019,"$442,340",0,0,0,"$1,469,132",6/11/2019
4,China,4/23/2019,"$175,640,000",230664,230664,532971,"$629,100,000",1/5/2023
5,Czech Republic,4/26/2019,"$2,529,952",149,149,785,"$6,626,183",10/19/2022
6,France,4/24/2019,"$24,971,474",633,633,1055,"$62,270,584",8/31/2019
7,Germany,4/24/2019,"$27,108,548",0,442,442,"$64,094,836",8/31/2019
8,Hong Kong,4/24/2019,$0,0,0,0,"$26,500,000",5/12/2019
9,India,4/26/2019,$0,0,0,0,"$61,300,000",6/4/2019
10,Indonesia,4/24/2019,$0,0,0,0,"$34,674,656",7/21/2019
11,Italy,4/24/2019,"$13,637,525",0,11,18,"$34,025,304",8/31/2019
12,Japan,4/26/2019,"$13,176,307",0,0,0,"$54,661,640",1/3/2020
13,Lithuania,4/26/2019,"$250,678",239,239,726,"$627,881",8/7/2019
14,Malaysia,4/24/2019,$0,0,0,0,"$19,100,000",5/10/2019
15,Mexico,4/26/2019,"$31,815,881",0,0,0,"$77,600,000",10/19/2022
16,Netherlands,4/26/2019,"$4,472,881",125,128,1095,"$15,055,533",8/31/2019
17,New Zealand,4/24/2019,$0,0,1,2,"$9,323,924",9/10/2019
18,Philippines,4/24/2019,$0,0,0,0,"$32,400,000",5/20/2019
19,Poland,4/26/2019,"$4,676,158",602,602,602,"$10,557,531",10/19/2022
20,Portugal,4/26/2019,"$1,709,949",223,223,925,"$4,298,423",8/6/2019
21,Russia (CIS),4/29/2019,"$15,672,615",1623,1809,5999,"$44,767,708",10/19/2022
22,Slovakia,4/26/2019,"$847,641",68,68,275,"$1,994,570",8/14/2019
23,South Korea,4/24/2019,"$32,219,000",2835,2835,9481,"$105,229,504",5/7/2020
24,Spain,4/26/2019,"$11,530,692",416,416,3005,"$32,658,448",8/31/2019
25,Taiwan,4/24/2019,"$12,847,762",0,0,0,"$29,385,526",1/5/2020
26,Thailand,4/24/2019,$0,0,0,0,"$25,600,000",5/12/2019
27,Turkey,4/25/2019,"$3,025,129",1428,1443,4523,"$7,944,776",10/19/2022
28,United Kingdom,4/25/2019,"$56,115,852",679,679,4748,"$115,040,263",2/26/2020
29,,,,,,,,
30,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$267,566,483",
31,,,,,,,,
32,International Total,International Total,International Total,International Total,International Total,International Total,"$1,936,358,755",1/5/2023
