,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,12/20/2019,"$1,259,857",0,5,5,"$3,088,140",2/22/2020
1,Australia,12/19/2019,"$12,397,624",1056,1056,3984,"$36,777,685",10/19/2022
2,Brazil,12/19/2019,"$5,900,000",0,0,0,"$13,276,698",3/14/2020
3,Bulgaria,12/20/2019,"$431,838",0,0,0,"$1,452,334",2/26/2020
4,China,12/18/2019,"$8,870,000",48768,48768,60193,"$20,500,000",10/19/2022
5,Czech Republic,12/20/2019,"$1,223,563",165,165,550,"$3,015,397",10/19/2022
6,Denmark,12/19/2019,$0,0,0,0,"$3,400,000",10/19/2022
7,France,12/19/2019,"$15,200,000",0,0,0,"$54,654,184",3/26/2020
8,Germany,12/19/2019,"$21,800,000",0,0,0,"$66,833,336",3/26/2020
9,Hong Kong,12/20/2019,"$1,904,190",0,0,0,"$4,452,691",2/29/2020
10,India,12/20/2019,"$670,258",0,0,0,"$1,257,972",1/20/2020
11,Indonesia,12/20/2019,"$2,907,186",0,0,0,"$5,969,857",1/29/2020
12,Italy,12/18/2019,"$4,542,763",0,0,0,"$14,950,148",3/14/2020
13,Japan,12/20/2019,"$14,600,000",0,0,0,"$66,370,272",3/14/2020
14,Lithuania,12/18/2019,"$90,827",24,24,79,"$322,130",1/29/2020
15,Mexico,12/19/2019,"$4,747,806",0,0,0,"$16,403,074",2/29/2020
16,Netherlands,12/19/2019,"$3,089,583",0,128,710,"$10,729,770",3/14/2020
17,New Zealand,12/19/2019,"$1,894,382",249,249,1031,"$4,814,970",10/19/2022
18,Norway,12/19/2019,$0,0,0,0,"$1,500,000",10/19/2022
19,Philippines,1/10/2020,"$1,000,000",0,0,0,"$3,000,000",1/13/2020
20,Poland,12/20/2019,"$3,543,503",0,0,0,"$9,265,809",10/19/2022
21,Portugal,12/20/2019,"$750,630",175,175,677,"$2,392,237",10/19/2022
22,Romania,12/20/2019,"$682,728",281,281,949,"$1,892,635",2/12/2020
23,Russia (CIS),12/19/2019,"$5,793,954",1540,1540,5114,"$11,504,214",10/19/2022
24,Slovakia,12/20/2019,"$409,787",73,73,231,"$834,309",6/16/2020
25,Slovenia,12/20/2019,"$120,029",35,35,121,"$379,955",4/6/2020
26,South Korea,1/10/2020,"$2,153,067",948,948,1452,"$3,984,683",2/13/2020
27,Spain,12/20/2019,"$6,028,092",430,430,2287,"$21,593,156",3/14/2020
28,Sweden,12/19/2019,"$4,600,000",0,0,0,"$10,900,000",10/19/2022
29,Taiwan,12/20/2019,"$1,339,897",0,0,0,"$2,732,830",2/7/2020
30,Turkey,12/20/2019,"$700,455",569,569,1211,"$1,562,754",10/19/2022
31,United Kingdom,12/19/2019,"$27,199,192",740,741,4872,"$76,769,387",11/18/2020
32,,,,,,,,
33,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$80,984,828",
34,,,,,,,,
35,International Total,International Total,International Total,International Total,International Total,International Total,"$557,565,455",10/19/2022
