,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Albania,11/22/2019,$0,0,0,0,$0,
1,Argentina,1/3/2020,"$1,907,145",0,177,294,"$7,562,028",3/26/2020
2,Australia,11/29/2019,"$6,577,605",768,768,4402,"$29,591,845",4/3/2023
3,Belgium,11/20/2019,$0,0,0,0,$0,
4,Bolivia,1/2/2020,"$600,000",0,0,0,"$600,000",1/7/2020
5,Brazil,1/2/2020,"$10,300,000",0,0,0,"$30,261,060",3/26/2020
6,Bulgaria,11/22/2019,"$385,558",0,0,0,"$1,239,193",2/12/2020
7,China,11/21/2019,"$54,330,000",165704,165704,389289,"$125,290,000",4/13/2020
8,Colombia,11/21/2019,$0,0,0,0,$0,
9,Croatia,11/21/2019,$0,0,0,0,$0,
10,Czech Republic,11/22/2019,"$1,518,004",160,160,1472,"$5,094,258",10/19/2022
11,Denmark,12/27/2019,"$4,800,000",0,0,0,"$4,800,000",12/31/2019
12,Estonia,12/27/2019,"$585,000",0,0,0,"$585,000",12/31/2019
13,Finland,12/27/2019,"$2,600,000",0,0,0,"$2,600,000",12/31/2019
14,France,11/20/2019,"$14,292,448",0,1020,1899,"$53,969,744",3/26/2020
15,Germany,11/20/2019,"$15,307,498",0,674,1002,"$60,624,284",3/26/2020
16,Hong Kong,11/22/2019,"$2,072,703",0,0,0,"$7,794,427",2/22/2020
17,Hungary,11/21/2019,$0,0,0,0,$0,
18,Iceland,11/22/2019,$0,0,0,0,$0,
19,India,11/22/2019,"$3,127,090",0,0,0,"$7,299,612",1/20/2020
20,Indonesia,11/20/2019,"$6,254,743",0,0,0,"$14,885,131",2/22/2020
21,Israel,11/21/2019,$0,0,0,0,$0,
22,Italy,11/29/2019,"$7,603,078",0,0,0,"$22,444,600",10/19/2022
23,Japan,11/22/2019,"$17,876,068",0,0,0,"$122,276,832",3/14/2020
24,Kuwait,11/21/2019,$0,0,0,0,$0,
25,Lithuania,12/27/2019,"$25,310",9,32,160,"$1,043,241",8/12/2020
26,Malaysia,11/21/2019,$0,0,0,0,$0,
27,Mexico,11/22/2019,"$8,612,514",0,0,0,"$28,828,184",2/29/2020
28,Netherlands,11/20/2019,"$1,977,909",142,148,1894,"$13,950,936",10/19/2022
29,New Zealand,11/29/2019,"$1,015,374",190,190,1447,"$4,681,027",10/19/2022
30,Norway,12/27/2019,"$4,300,000",0,0,0,"$4,300,000",12/31/2019
31,Peru,11/21/2019,$0,0,0,0,$0,
32,Philippines,11/20/2019,$0,0,0,0,"$16,300,000",12/27/2019
33,Poland,11/22/2019,"$3,247,227",0,477,477,"$12,489,438",10/19/2022
34,Portugal,11/21/2019,"$724,356",149,149,1314,"$4,173,574",10/19/2022
35,Romania,11/22/2019,"$873,397",240,265,1647,"$3,161,760",3/11/2020
36,Russia (CIS),11/29/2019,"$13,755,896",1682,1882,8896,"$32,764,512",10/19/2022
37,Singapore,11/21/2019,$0,0,0,0,$0,
38,Slovakia,11/21/2019,"$559,590",70,74,559,"$1,602,943",10/19/2022
39,Slovenia,11/22/2019,"$224,779",44,44,272,"$772,696",4/8/2020
40,South Africa,12/6/2019,"$800,000",0,0,0,"$800,000",10/19/2022
41,South Korea,11/21/2019,"$28,097,584",2648,2648,11537,"$89,442,104",2/15/2023
42,Spain,11/22/2019,"$5,884,489",397,397,3918,"$23,185,604",3/14/2020
43,Sweden,12/27/2019,"$5,000,000",0,0,0,"$5,000,000",12/31/2019
44,Taiwan,11/21/2019,"$3,345,010",0,0,0,"$11,307,542",2/29/2020
45,Thailand,11/21/2019,$0,0,0,0,$0,
46,Turkey,11/20/2019,"$1,317,370",522,556,2113,"$3,869,731",10/19/2022
47,United Kingdom,11/22/2019,"$19,356,013",671,695,7971,"$69,784,968",3/26/2020
48,Vietnam,11/22/2019,$0,0,0,0,$0,
49,,,,,,,,
50,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$136,112,943",
51,,,,,,,,
52,International Total,International Total,International Total,International Total,International Total,International Total,"$960,489,217",4/3/2023
