,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,3/7/2019,"$1,932,142",0,0,0,"$5,419,493",6/2/2019
1,Australia,3/7/2019,"$9,582,100",862,862,3864,"$29,462,704",6/14/2019
2,Belgium,3/6/2019,$0,0,0,0,$0,
3,Brazil,3/7/2019,"$13,300,000",0,2106,2152,"$38,152,772",7/12/2019
4,Bulgaria,3/8/2019,"$169,733",0,0,0,"$537,788",5/8/2019
5,China,3/7/2019,"$86,520,000",170730,170730,323464,"$153,800,000",5/7/2019
6,Colombia,3/6/2019,$0,0,0,0,$0,
7,Czech Republic,3/8/2019,"$1,109,723",146,146,514,"$2,913,848",5/6/2019
8,Denmark,3/6/2019,$0,0,0,0,$0,
9,Estonia,3/6/2019,$0,0,0,0,$0,
10,Finland,3/6/2019,$0,0,0,0,$0,
11,France,3/6/2019,"$9,100,000",0,611,611,"$27,093,604",6/14/2019
12,Georgia,3/7/2019,$0,0,0,0,$0,
13,Germany,3/7/2019,"$7,900,000",0,0,0,"$24,309,764",7/12/2019
14,Greece,3/7/2019,$0,0,0,0,$0,
15,Hong Kong,3/7/2019,"$5,200,000",0,0,0,"$5,200,000",3/11/2019
16,Hungary,3/7/2019,$0,0,0,0,$0,
17,India,3/8/2019,$0,0,0,0,"$13,400,000",4/12/2019
18,Indonesia,3/6/2019,"$10,800,000",0,0,0,"$19,400,000",4/15/2019
19,Ireland,3/8/2019,$0,0,0,0,$0,
20,Israel,3/7/2019,$0,0,0,0,$0,
21,Italy,3/6/2019,"$4,634,712",0,4,4,"$11,458,061",5/10/2019
22,Japan,3/15/2019,"$5,600,000",0,0,0,"$17,752,988",4/27/2019
23,Kazakhstan,3/7/2019,$0,0,0,0,$0,
24,Kuwait,3/6/2019,$0,0,0,0,$0,
25,Lebanon,3/7/2019,$0,0,0,0,$0,
26,Lithuania,3/8/2019,"$85,379",131,131,362,"$214,119",4/9/2019
27,Malaysia,3/6/2019,"$5,600,000",0,0,0,"$8,400,000",3/24/2019
28,Mexico,3/8/2019,"$12,710,745",0,0,0,"$33,300,000",5/7/2019
29,Netherlands,3/6/2019,"$1,887,742",119,121,960,"$6,627,859",6/14/2019
30,New Zealand,3/7/2019,$0,0,4,7,"$4,180,140",10/19/2022
31,Nigeria,3/15/2019,$0,0,0,0,$0,
32,Norway,3/6/2019,$0,0,0,0,$0,
33,Peru,3/7/2019,$0,0,0,0,$0,
34,Philippines,3/6/2019,"$6,100,000",0,0,0,"$10,900,000",4/12/2019
35,Poland,3/8/2019,"$1,568,276",0,239,478,"$4,512,068",7/12/2019
36,Portugal,3/6/2019,"$548,127",101,101,604,"$1,992,426",12/22/2020
37,Romania,3/7/2019,$0,0,0,0,$0,
38,Russia (CIS),3/7/2019,"$10,713,412",1550,1727,6180,"$20,127,342",5/31/2019
39,Saudi Arabia,3/7/2019,$0,0,0,0,$0,
40,Serbia and Montenegro,3/6/2019,$0,0,0,0,$0,
41,Singapore,3/7/2019,$0,0,0,0,$0,
42,Slovakia,3/7/2019,"$373,501",68,68,195,"$875,233",4/30/2019
43,Slovenia,3/6/2019,$0,0,0,0,$0,
44,South Korea,3/6/2019,"$18,112,550",2098,2098,6488,"$42,920,724",9/5/2019
45,Spain,3/8/2019,"$4,648,222",382,382,2497,"$14,700,541",6/21/2019
46,Sri Lanka,3/8/2019,$0,0,0,0,$0,
47,Sweden,3/6/2019,$0,0,0,0,$0,
48,Taiwan,3/6/2019,"$6,200,000",0,0,0,"$13,076,926",5/24/2019
49,Thailand,3/6/2019,"$6,500,000",0,0,0,"$10,600,000",4/12/2019
50,Turkey,3/8/2019,"$1,379,449",682,682,2362,"$3,416,883",8/20/2020
51,Ukraine,3/7/2019,$0,0,0,0,$0,
52,United Kingdom,3/8/2019,"$16,588,603",655,655,4511,"$51,792,440",6/29/2019
53,,,,,,,,
54,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$126,208,532",
55,,,,,,,,
56,International Total,International Total,International Total,International Total,International Total,International Total,"$702,746,255",10/19/2022
