,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,5/24/2019,"$1,189,254",0,0,0,"$5,280,461",12/28/2019
1,Australia,5/24/2019,"$5,249,549",578,44,94,"$27,306,069",5/25/2021
2,Brazil,5/24/2019,"$4,600,000",0,596,1102,"$20,424,584",8/28/2020
3,Bulgaria,5/24/2019,"$202,234",0,0,0,"$927,485",9/19/2019
4,China,5/23/2019,"$18,640,000",96898,96898,163281,"$53,300,000",10/19/2022
5,Czech Republic,5/24/2019,"$180,477",150,150,601,"$860,419",10/19/2022
6,France,5/24/2019,"$3,800,000",0,583,583,"$18,982,148",10/9/2019
7,Germany,5/24/2019,"$3,600,000",0,0,0,"$21,732,312",5/25/2021
8,India,5/24/2019,"$3,016,719",0,0,0,"$9,076,831",7/21/2019
9,Indonesia,5/24/2019,"$4,900,000",0,0,0,"$18,100,000",8/6/2019
10,Italy,5/22/2019,"$6,297,130",0,8,21,"$16,934,584",10/11/2019
11,Japan,6/7/2019,"$12,900,000",0,0,0,"$112,452,096",10/20/2019
12,Lithuania,5/24/2019,"$26,074",117,117,286,"$90,591",7/25/2019
13,Mexico,5/24/2019,"$8,780,946",0,0,0,"$32,507,722",8/25/2019
14,Netherlands,5/24/2019,"$1,513,007",129,132,1714,"$10,933,557",10/20/2019
15,New Zealand,5/23/2019,$0,0,21,57,"$3,537,569",10/19/2022
16,Philippines,5/24/2019,"$3,400,000",0,0,0,"$11,000,000",7/8/2019
17,Poland,5/24/2019,"$437,357",0,291,291,"$2,711,056",10/19/2022
18,Portugal,5/24/2019,"$334,592",135,135,742,"$1,925,268",10/19/2022
19,Romania,5/24/2019,$0,0,3,13,"$1,155,380",10/16/2019
20,Russia (CIS),5/24/2019,"$6,556,772",1581,1623,8572,"$21,564,744",10/19/2022
21,Slovakia,5/24/2019,"$68,581",63,63,206,"$250,153",8/20/2019
22,Slovenia,5/24/2019,$0,0,1,3,"$115,721",9/11/2019
23,South Korea,5/24/2019,"$6,022,160",1311,1409,13630,"$91,811,168",9/21/2022
24,Spain,5/24/2019,"$5,320,075",436,436,4053,"$28,497,972",10/25/2019
25,Taiwan,5/24/2019,"$1,573,057",0,0,0,"$9,232,067",1/5/2020
26,Turkey,5/24/2019,"$207,777",508,508,1465,"$963,022",10/19/2022
27,United Kingdom,5/22/2019,"$8,974,820",642,656,7060,"$52,745,164",5/26/2021
28,,,,,,,,
29,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$116,610,154",
30,,,,,,,,
31,International Total,International Total,International Total,International Total,International Total,International Total,"$691,028,297",10/19/2022
