,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,2/20/2020,"$433,416",201,201,542,"$1,248,353",3/23/2020
1,Aruba,1/16/2020,"$7,818",5,11,47,"$135,900",3/23/2020
2,Australia,1/17/2020,"$3,949,369",369,371,2570,"$14,899,235",12/29/2020
3,Austria,1/17/2020,"$559,138",89,90,554,"$2,288,434",3/17/2020
4,Bahrain,1/16/2020,"$294,915",20,20,103,"$1,330,071",3/17/2020
5,Belgium,1/22/2020,"$1,114,284",134,134,667,"$5,086,130",3/11/2020
6,Bolivia,1/16/2020,"$74,357",26,26,114,"$394,993",3/17/2020
7,Brazil,1/30/2020,"$1,713,325",810,810,2468,"$5,111,739",7/3/2020
8,Bulgaria,1/17/2020,"$155,831",0,0,0,"$724,937",3/11/2020
9,Cambodia,1/16/2020,"$34,427",79,79,242,"$98,106",2/25/2020
10,Central America,1/23/2020,"$774,676",380,380,1113,"$2,521,542",3/17/2020
11,Chile,1/23/2020,"$147,206",83,83,284,"$641,504",3/23/2020
12,China,8/14/2020,"$3,230,000",38909,38909,38909,"$5,130,000",9/9/2020
13,Colombia,1/23/2020,"$1,126,260",451,451,1791,"$4,579,167",3/23/2020
14,Croatia,1/16/2020,"$234,909",77,77,272,"$778,142",3/17/2020
15,Curacao,1/16/2020,"$17,858",9,12,57,"$142,371",3/23/2020
16,Czech Republic,1/16/2020,"$242,258",143,143,372,"$821,359",10/19/2022
17,Denmark,1/16/2020,"$586,414",78,80,432,"$2,433,086",3/24/2020
18,Dominican Republic,1/16/2020,"$142,506",56,56,356,"$797,241",3/17/2020
19,East Africa,1/16/2020,"$8,407",4,4,35,"$38,774",3/17/2020
20,Ecuador,1/24/2020,"$237,701",66,66,268,"$850,458",3/17/2020
21,Egypt,1/16/2020,"$176,935",34,34,196,"$1,006,562",3/17/2020
22,Estonia,1/17/2020,"$74,415",24,24,91,"$318,536",3/11/2020
23,Finland,1/17/2020,"$303,293",74,74,343,"$1,193,979",3/17/2020
24,France,1/22/2020,"$4,533,736",619,619,3187,"$13,622,780",3/20/2020
25,Germany,1/16/2020,"$4,709,915",661,669,4333,"$17,755,612",3/23/2020
26,Greece,1/16/2020,"$110,762",54,54,176,"$441,329",3/11/2020
27,Hong Kong,1/16/2020,"$409,059",154,154,291,"$772,932",2/19/2020
28,Hungary,1/16/2020,"$516,019",76,84,423,"$1,810,481",10/19/2022
29,Iceland,1/17/2020,"$46,425",11,11,43,"$175,992",3/17/2020
30,India,1/31/2020,"$810,810",1309,1309,1430,"$1,310,006",10/19/2022
31,Indonesia,1/17/2020,"$1,250,984",936,936,2488,"$4,222,760",3/2/2020
32,Iraq,1/16/2020,"$65,509",10,10,63,"$356,327",3/17/2020
33,Israel,1/16/2020,"$510,595",42,42,301,"$2,193,216",10/19/2022
34,Italy,2/20/2020,"$957,648",0,8,8,"$1,629,995",10/19/2022
35,Jamaica,1/15/2020,"$83,627",6,6,44,"$506,610",3/23/2020
36,Japan,1/31/2020,"$829,786",326,326,1369,"$3,226,127",3/24/2020
37,Jordan,1/16/2020,"$93,994",6,6,40,"$484,872",3/9/2020
38,Kenya,1/17/2020,"$51,260",26,26,165,"$257,548",3/24/2020
