,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,3/6/2020,"$52,264",79,79,79,"$52,218",3/19/2020
1,Australia,12/27/2019,$0,0,374,2487,"$10,561,958",9/12/2022
2,Brazil,10/9/2020,"$6,986",0,0,0,"$49,508",10/21/2020
3,Bulgaria,1/31/2020,"$39,617",0,0,0,"$214,848",3/11/2020
4,Czech Republic,1/31/2020,"$110,459",112,112,517,"$659,350",10/19/2022
5,France,2/6/2020,"$1,300,000",0,382,1102,"$4,973,973",3/20/2020
6,Germany,2/28/2020,"$1,000,000",0,348,349,"$3,639,784",5/29/2021
7,Hong Kong,2/21/2020,$0,0,0,0,"$318,699",3/14/2020
8,Japan,5/7/2021,$0,0,0,0,"$682,808",5/25/2021
9,Lithuania,1/24/2020,"$38,100",14,14,59,"$247,568",10/19/2022
10,Mexico,2/14/2020,"$420,032",0,0,0,"$956,785",10/19/2022
11,Middle East Region,1/24/2020,"$658,000",0,0,0,"$2,900,000",2/18/2020
12,Netherlands,2/21/2020,"$367,705",122,122,694,"$1,856,589",10/19/2022
13,New Zealand,1/2/2020,"$266,289",101,102,749,"$1,154,757",10/19/2022
14,Poland,2/14/2020,"$441,963",142,142,1562,"$1,849,104",10/19/2022
15,Portugal,2/28/2020,"$174,385",94,94,327,"$380,770",9/1/2020
16,Romania,1/31/2020,"$111,203",84,84,297,"$446,845",10/19/2022
17,Russia (CIS),2/13/2020,"$4,591,383",1083,1085,5747,"$20,897,882",10/19/2022
18,Slovakia,1/31/2020,"$59,040",69,69,122,"$169,240",6/9/2020
19,Slovenia,1/24/2020,"$14,112",37,37,91,"$59,416",4/8/2020
20,South Korea,2/26/2020,"$175,176",489,489,975,"$539,751",4/28/2020
21,Spain,2/28/2020,"$772,080",347,353,1229,"$2,537,439",9/10/2020
22,Taiwan,1/24/2020,"$482,000",0,0,0,"$482,000",1/29/2020
23,Turkey,2/14/2020,"$101,475",205,205,341,"$279,912",10/19/2022
24,Ukraine,1/31/2020,$0,0,0,0,"$2,000,000",2/18/2020
25,United Kingdom,1/1/2020,"$4,001,974",499,511,2931,"$15,868,740",10/21/2020
26,,,,,,,,
27,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$2,900,482",
28,,,,,,,,
29,International Total,International Total,International Total,International Total,International Total,International Total,"$76,680,426",10/19/2022
