,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,2/14/2020,"$790,000",0,221,361,"$2,392,766",3/19/2020
1,Australia,2/14/2020,"$2,608,631",365,365,3436,"$9,956,882",5/9/2022
2,Belgium,2/21/2020,$0,0,0,0,"$1,600,000",10/19/2022
3,Brazil,2/14/2020,"$3,000,000",0,715,2071,"$9,219,232",8/28/2020
4,Bulgaria,2/14/2020,"$153,579",0,0,0,"$430,326",3/11/2020
5,Chile,2/14/2020,"$800,000",0,0,0,"$800,000",2/18/2020
6,China,7/31/2020,"$1,210,000",20021,20021,31650,"$2,800,000",8/27/2020
7,Colombia,2/14/2020,"$1,000,000",0,0,0,"$1,000,000",2/18/2020
8,Czech Republic,2/14/2020,"$35,262",30,190,958,"$1,447,077",10/20/2022
9,Ecuador,2/14/2020,"$600,000",0,0,0,"$600,000",2/18/2020
10,France,2/13/2020,"$4,300,000",0,840,3280,"$17,176,144",7/24/2020
11,Germany,2/14/2020,"$3,000,000",0,631,1883,"$10,416,939",12/1/2020
12,Hong Kong,2/21/2020,$0,0,0,0,"$391,090",3/14/2020
13,Indonesia,2/28/2020,"$2,000,000",393,393,393,"$2,000,000",3/2/2020
14,Italy,2/13/2020,"$1,566,322",0,12,12,"$2,907,437",10/19/2022
15,Japan,6/26/2020,$0,0,0,0,"$1,295,267",7/17/2020
16,Lithuania,6/26/2020,"$7,746",14,14,95,"$99,304",12/15/2021
17,Malaysia,2/14/2020,"$736,000",0,0,0,"$736,000",10/19/2022
18,Mexico,2/14/2020,"$6,892,838",0,0,0,"$14,617,498",10/19/2022
19,Middle East Region,2/14/2020,"$1,316,000",0,0,0,"$1,316,000",2/18/2020
20,Netherlands,2/14/2020,"$567,560",117,123,723,"$3,185,711",10/19/2022
21,New Zealand,2/13/2020,"$332,729",80,86,899,"$1,575,329",10/19/2022
22,Poland,2/28/2020,"$1,100,000",172,172,172,"$1,100,000",10/19/2022
23,Portugal,2/14/2020,"$234,964",83,101,454,"$888,632",10/19/2022
24,Romania,2/21/2020,"$207,985",90,90,362,"$391,727",3/16/2022
25,Russia (CIS),2/20/2020,"$3,822,785",2042,2045,6491,"$10,963,440",10/19/2022
26,Slovakia,2/14/2020,"$9,021",9,60,260,"$443,919",10/19/2022
27,Slovenia,2/14/2020,"$50,814",29,29,85,"$202,595",4/8/2020
28,South Korea,2/14/2020,"$464,618",605,605,1030,"$742,727",8/28/2020
29,Spain,2/14/2020,"$2,009,194",342,367,1527,"$5,878,537",7/23/2020
30,Thailand,2/28/2020,"$248,000",73,73,73,"$248,000",10/19/2022
31,Turkey,2/14/2020,"$354,306",265,298,1240,"$976,722",10/19/2022
32,Ukraine,2/14/2020,"$1,000,000",0,0,0,"$1,000,000",2/18/2020
33,United Arab Emirates,2/14/2020,"$784,000",0,0,0,"$784,000",2/18/2020
34,United Kingdom,2/14/2020,"$6,172,601",619,637,3907,"$25,507,107",9/9/2020
35,,,,,,,,
36,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$21,379,246",
37,,,,,,,,
38,International Total,International Total,International Total,International Total,International Total,International Total,"$156,469,654",10/20/2022
