,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Albania,1/30/2020,"$3,883",3,3,10,"$14,327",3/11/2020
1,Argentina,1/23/2020,"$196,000",200,200,394,"$508,347",3/11/2020
2,Australia,1/17/2020,"$2,336,968",331,331,2305,"$8,957,582",1/4/2021
3,Austria,1/31/2020,"$362,431",77,81,542,"$1,499,976",10/7/2020
4,Belgium,1/29/2020,"$415,548",93,93,564,"$1,532,328",8/19/2020
5,Bolivia,1/16/2020,"$126,472",23,23,115,"$542,351",9/9/2020
6,Brazil,2/21/2020,"$761,000",578,589,2121,"$3,084,984",9/2/2020
7,Bulgaria,1/17/2020,"$150,315",0,18,132,"$515,777",10/7/2020
8,Central America,1/16/2020,"$638,643",182,182,727,"$1,737,008",10/7/2020
9,Chile,1/16/2020,"$194,491",76,76,334,"$731,888",3/11/2020
10,China,7/24/2020,"$5,141,737",5262,25941,46806,"$19,497,206",9/30/2020
11,Colombia,1/16/2020,"$890,668",207,207,976,"$2,602,074",11/18/2020
12,Croatia,1/16/2020,"$54,627",55,55,202,"$191,771",3/29/2023
13,Cyprus,1/16/2020,"$20,627",14,14,72,"$91,588",3/11/2020
14,Czech Republic,1/17/2020,"$246,362",176,176,760,"$1,135,734",10/20/2022
15,Denmark,1/23/2020,"$131,577",72,72,247,"$450,640",3/4/2020
16,Ecuador,1/17/2020,"$281,700",49,49,331,"$992,642",2/3/2021
17,Egypt,1/15/2020,"$88,462",23,23,118,"$409,306",8/12/2020
18,Estonia,1/17/2020,"$53,753",31,31,108,"$180,316",3/11/2020
19,Finland,1/17/2020,"$99,592",77,77,237,"$292,157",6/17/2020
20,France,2/5/2020,"$2,526,548",576,650,3126,"$9,668,559",7/24/2020
21,Germany,1/30/2020,"$2,863,345",569,613,4153,"$8,416,449",9/30/2020
22,Greece,1/16/2020,"$155,225",124,124,523,"$502,162",3/11/2020
23,Hong Kong,1/23/2020,"$769,701",58,58,275,"$1,848,900",2/24/2021
24,Hungary,1/16/2020,"$203,987",0,70,291,"$1,125,610",10/19/2022
25,Iceland,1/17/2020,"$34,526",10,11,70,"$133,106",6/10/2020
26,India,1/17/2020,"$906,656",1032,1032,1453,"$1,636,427",8/12/2020
27,Indonesia,1/15/2020,"$2,125,100",365,365,1083,"$4,289,593",2/26/2020
28,Israel,3/5/2020,"$179,649",38,38,38,"$361,982",10/19/2022
29,Italy,1/30/2020,"$2,234,989",0,59,89,"$5,080,453",10/19/2022
30,Japan,6/19/2020,"$1,384,085",347,350,2065,"$5,247,189",9/23/2020
31,Latvia,1/17/2020,"$32,072",15,17,77,"$159,923",3/18/2020
