,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,3/6/2020,"$501,216",235,235,235,"$796,928",12/30/2020
1,Australia,3/26/2020,$0,0,104,444,"$465,691",10/20/2022
2,Brazil,3/6/2020,"$1,100,000",0,0,0,"$1,600,000",8/21/2020
3,Bulgaria,3/6/2020,"$51,209",0,0,0,"$51,209",3/11/2020
4,China,8/19/2020,"$1,970,000",17088,17088,35352,"$10,323,479",11/20/2020
5,Colombia,3/6/2020,$0,0,0,0,"$1,000,000",10/19/2022
6,Czech Republic,2/28/2020,"$20,696",31,194,1049,"$631,656",10/19/2022
7,France,3/5/2020,"$3,500,000",0,880,4031,"$7,598,256",11/6/2020
8,Germany,3/5/2020,"$1,700,000",0,593,2281,"$3,564,173",12/4/2020
9,Hong Kong,6/19/2020,$0,0,0,0,"$1,180,038",10/2/2020
10,India,3/6/2020,"$213,759",0,0,0,"$362,010",3/26/2020
11,Indonesia,3/6/2020,$0,0,0,0,"$1,000,000",10/19/2022
12,Italy,4/16/2020,$0,0,0,0,"$1,369,212",10/19/2022
13,Japan,4/17/2020,$0,0,0,0,"$8,206,650",12/29/2020
14,Lithuania,3/6/2020,"$54,919",27,27,140,"$160,690",8/17/2021
15,Mexico,3/6/2020,"$2,835,754",0,0,0,"$5,424,409",10/19/2022
16,Netherlands,3/6/2020,"$422,839",138,140,1490,"$1,638,912",10/19/2022
17,New Zealand,3/19/2020,"$28,888",66,66,102,"$58,435",10/19/2022
18,Poland,3/6/2020,"$461,790",0,285,3420,"$1,299,745",10/19/2022
19,Portugal,2/28/2020,"$45,914",79,102,654,"$420,220",1/5/2021
20,Romania,3/6/2020,"$139,792",217,217,731,"$199,226",10/21/2020
21,Russia (CIS),3/6/2020,"$2,890,825",1631,1631,4696,"$6,365,329",10/19/2022
22,Slovakia,3/6/2020,"$67,264",74,74,243,"$131,442",8/18/2020
23,Slovenia,3/6/2020,"$32,043",43,43,43,"$42,310",4/8/2020
24,South Korea,4/15/2020,$0,0,1138,3280,"$3,201,550",3/3/2021
25,Spain,3/5/2020,"$1,749,683",368,368,853,"$2,594,250",10/21/2020
26,Taiwan,5/22/2020,$0,0,0,0,"$2,118,663",9/11/2020
27,Turkey,4/3/2020,$0,0,205,501,"$38,035",12/24/2020
28,United Kingdom,3/6/2020,"$4,448,998",632,636,5821,"$9,959,938",12/30/2020
29,,,,,,,,
30,International Total,International Total,International Total,International Total,International Total,International Total,"$71,802,456",10/20/2022
