,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,8/27/2020,"$1,829,463",760,760,5142,"$12,351,263",10/19/2022
1,Brazil,10/30/2020,"$266,000",1000,1000,2654,"$1,164,483",12/30/2020
2,China,9/3/2020,"$29,570,000",109163,109163,194103,"$66,600,000",10/19/2022
3,Czech Republic,8/28/2020,"$327,197",136,144,633,"$1,218,792",10/20/2022
4,Estonia,8/28/2020,"$446,000",0,0,0,"$1,200,000",10/19/2022
5,France,8/28/2020,"$6,800,000",1070,1070,7018,"$22,900,000",10/19/2022
6,Germany,8/26/2020,"$3,810,765",792,799,6583,"$19,960,832",5/25/2021
7,Hong Kong,9/11/2020,"$1,900,000",160,160,290,"$7,081,772",11/20/2020
8,India,12/4/2020,"$700,000",0,922,922,"$1,300,000",12/14/2020
9,Italy,8/26/2020,"$1,870,300",0,3,5,"$8,034,640",10/19/2022
10,Japan,9/18/2020,"$4,300,000",488,488,3698,"$25,900,000",10/19/2022
11,Lithuania,8/28/2020,"$127,184",16,17,107,"$406,674",11/11/2020
12,Mexico,9/16/2020,"$601,461",0,0,0,"$8,158,672",11/2/2020
13,Netherlands,8/28/2020,"$1,874,099",160,992,2772,"$9,200,000",10/19/2022
14,New Zealand,8/27/2020,"$249,910",152,210,1103,"$2,154,586",10/19/2022
15,Poland,8/26/2020,"$307,322",675,675,4725,"$1,639,705",10/19/2022
16,Portugal,8/27/2020,"$284,515",148,148,764,"$1,081,504",12/10/2020
17,Romania,9/18/2020,"$135,309",210,210,731,"$396,355",10/20/2022
18,Russia (CIS),9/4/2020,"$2,652,857",1217,1489,11094,"$12,700,000",10/19/2022
19,Saudi Arabia,8/28/2020,"$1,500,000",97,97,97,"$4,800,000",10/19/2022
20,Slovakia,8/28/2020,"$138,577",60,60,275,"$481,237",7/1/2021
21,South Korea,8/26/2020,"$2,888,779",2216,2216,9081,"$16,559,235",10/22/2022
22,Spain,8/28/2020,"$1,787,582",347,347,3058,"$9,000,000",10/19/2022
23,Taiwan,8/27/2020,$0,0,0,0,"$11,900,000",10/19/2022
24,Turkey,8/26/2020,"$100,869",652,652,2865,"$885,150",10/19/2022
25,United Kingdom,8/26/2020,"$7,118,002",611,616,4835,"$20,878,663",3/1/2023
26,,,,,,,,
27,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$33,782,521",
28,,,,,,,,
29,International Total,International Total,International Total,International Total,International Total,International Total,"$301,736,084",3/1/2023
