,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,12/16/2021,"$6,800,000",0,0,0,"$15,100,000",10/20/2022
1,Australia,12/16/2021,"$18,718,566",1121,1121,6483,"$53,870,440",11/21/2022
2,Bolivia,12/17/2021,"$1,500,000",0,0,0,"$1,500,000",10/20/2022
3,Brazil,12/16/2021,"$18,600,000",0,0,0,"$50,400,000",10/20/2022
4,Central America,12/17/2021,"$4,800,000",0,0,0,"$12,600,000",1/16/2022
5,Colombia,12/15/2021,"$3,700,000",0,0,0,"$3,700,000",10/20/2022
6,Czech Republic,12/16/2021,"$1,322,152",218,218,1234,"$4,973,626",10/20/2022
7,Ecuador,12/17/2021,"$3,700,000",0,0,0,"$7,900,000",1/16/2022
8,Egypt,12/17/2021,"$1,300,000",0,0,0,"$1,300,000",10/20/2022
9,Finland,12/15/2021,"$784,276",107,107,1078,"$3,830,363",10/20/2022
10,France,12/15/2021,"$19,200,000",0,0,0,"$58,000,000",10/20/2022
11,Germany,12/15/2021,"$11,400,000",0,0,0,"$40,400,000",10/20/2022
12,Hong Kong,12/16/2021,"$6,300,000",0,0,0,"$16,600,000",10/20/2022
13,India,12/16/2021,"$18,200,000",0,0,0,"$35,300,000",10/20/2022
14,Indonesia,12/16/2021,"$8,200,000",0,0,0,"$24,600,000",10/20/2022
15,Israel,12/16/2021,"$2,700,000",0,0,0,"$2,700,000",10/20/2022
16,Italy,12/15/2021,"$9,338,181",0,0,0,"$24,970,868",10/20/2022
17,Japan,1/7/2022,$0,0,0,0,"$22,000,000",10/20/2022
18,Kuwait,12/16/2021,"$1,200,000",0,0,0,"$1,200,000",10/20/2022
19,Lithuania,12/17/2021,"$221,447",16,16,108,"$872,072",3/16/2022
20,Malaysia,12/16/2021,$0,0,0,0,"$10,000,000",12/28/2021
21,Mexico,12/15/2021,"$24,432,010",0,0,0,"$75,586,000",10/20/2022
22,Netherlands,12/16/2021,$0,0,235,2088,"$12,472,300",9/20/2022
23,New Zealand,12/17/2021,"$2,253,663",111,113,1216,"$7,057,163",11/14/2022
24,Norway,1/14/2022,$0,0,0,0,$0,
25,Peru,12/17/2021,"$4,400,000",0,0,0,"$4,400,000",10/20/2022
26,Philippines,1/8/2022,$0,0,0,0,$0,
27,Portugal,12/16/2021,"$1,400,971",192,192,1485,"$3,750,747",10/20/2022
28,Romania,12/17/2021,"$695,320",160,160,1187,"$3,039,398",10/20/2022
29,Russia (CIS),12/15/2021,"$14,085,696",1900,1900,12178,"$55,345,653",10/20/2022
30,Saudi Arabia,12/17/2021,"$5,200,000",0,0,0,"$5,200,000",10/20/2022
31,Slovakia,1/20/2022,"$237,231",34,78,393,"$1,115,127",4/8/2022
32,South Korea,12/14/2021,"$12,256,835",2948,2948,14638,"$61,068,751",11/2/2022
33,Spain,12/16/2021,"$8,221,425",396,427,5085,"$31,398,428",11/4/2022
34,Taiwan,12/15/2021,"$7,300,000",0,0,0,"$16,600,000",10/20/2022
35,Thailand,12/23/2021,$0,0,0,0,$0,
36,Turkey,12/17/2021,"$1,474,090",1027,1027,5301,"$12,861,791",2/14/2023
37,Ukraine,12/16/2021,"$2,400,000",0,0,0,"$2,400,000",10/20/2022
38,United Arab Emirates,12/16/2021,"$4,100,000",0,0,0,"$4,100,000",12/19/2021
39,United Kingdom,12/15/2021,"$42,329,130",679,680,8647,"$127,130,033",9/13/2022
40,,,,,,,,
41,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$280,590,415",
42,,,,,,,,
43,International Total,International Total,International Total,International Total,International Total,International Total,"$1,095,933,175",2/14/2023
