,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,9/2/2021,"$449,829",0,0,0,"$1,506,113",10/20/2022
1,Australia,9/2/2021,"$1,449,726",262,374,3038,"$12,132,037",10/20/2022
2,Austria,9/2/2021,$0,0,0,0,"$1,490,517",11/15/2021
3,Belgium,9/1/2021,$0,0,0,0,"$1,871,057",10/20/2022
4,Brazil,9/2/2021,"$1,859,562",0,0,0,"$7,487,524",10/20/2022
5,Chile,9/2/2021,$0,0,0,0,"$1,786,886",10/20/2022
6,Colombia,9/2/2021,$0,0,0,0,"$2,379,694",10/20/2022
7,Czech Republic,9/3/2021,"$264,622",127,127,464,"$1,065,210",10/20/2022
8,Denmark,9/2/2021,$0,0,0,0,"$802,366",11/15/2021
9,Finland,9/3/2021,"$265,028",71,80,351,"$960,953",10/20/2022
10,France,9/1/2021,"$4,109,539",0,556,1075,"$12,798,866",10/20/2022
11,Germany,9/3/2021,"$2,290,813",0,0,0,"$9,407,158",10/20/2022
12,Hong Kong,9/2/2021,"$2,390,589",0,0,0,"$8,454,847",10/20/2022
13,Iceland,9/3/2021,$0,0,0,0,$0,
14,India,9/3/2021,"$1,641,782",0,0,0,"$4,441,456",11/15/2021
15,Indonesia,9/3/2021,$0,0,0,0,"$4,553,582",10/20/2022
16,Italy,9/1/2021,"$1,359,472",0,0,0,"$4,561,377",10/20/2022
17,Japan,9/3/2021,"$2,746,264",0,0,0,"$8,763,741",10/20/2022
18,Lithuania,9/3/2021,"$29,863",14,15,58,"$100,317",10/20/2021
19,Malaysia,10/7/2021,"$359,000",0,0,0,"$1,894,498",10/20/2022
20,Mexico,9/3/2021,"$2,282,669",0,0,0,"$7,672,026",10/20/2022
21,Netherlands,9/3/2021,"$867,846",215,217,1209,"$4,077,484",10/20/2022
22,New Zealand,9/16/2021,"$3,016",2,68,530,"$1,248,143",10/20/2022
23,Norway,9/1/2021,$0,0,0,0,"$1,494,096",10/20/2022
24,Philippines,11/24/2021,"$67,221",0,0,0,"$123,703",10/20/2022
25,Poland,9/3/2021,"$493,547",0,0,0,"$2,035,793",10/20/2022
26,Portugal,9/3/2021,"$272,240",85,85,519,"$1,174,254",11/2/2021
27,Romania,9/3/2021,$0,0,104,440,"$688,099",10/20/2022
28,Russia (CIS),9/2/2021,"$3,338,752",1740,1740,6870,"$10,109,472",10/20/2022
29,Singapore,9/2/2021,$0,0,0,0,"$5,284,901",12/28/2021
30,Slovakia,9/3/2021,"$126,201",54,54,226,"$412,631",10/19/2021
31,South Korea,9/1/2021,"$14,114",6,1783,5945,"$15,217,821",11/15/2021
32,Spain,9/3/2021,"$1,804,828",341,341,2017,"$6,968,317",10/20/2022
33,Sweden,9/1/2021,$0,0,0,0,"$2,370,497",10/20/2022
34,Switzerland,9/1/2021,$0,0,0,0,"$1,523,639",11/15/2021
35,Taiwan,9/2/2021,"$1,430,026",0,0,0,"$5,398,267",10/20/2022
36,Thailand,10/13/2021,"$459,000",0,0,0,"$1,906,160",10/20/2022
37,Turkey,9/3/2021,"$221,594",386,485,1818,"$1,054,194",10/20/2022
38,United Kingdom,9/2/2021,"$7,979,392",0,664,2832,"$29,319,709",10/20/2022
39,Venezuela,9/2/2021,$0,0,0,0,"$179,743",10/20/2022
40,,,,,,,,
41,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$22,964,194",
42,,,,,,,,
43,International Total,International Total,International Total,International Total,International Total,International Total,"$207,681,342",10/20/2022
