,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,10/7/2021,"$1,000,000",0,0,0,"$2,800,000",10/20/2022
1,Australia,11/25/2021,"$4,614,326",595,595,2310,"$10,842,294",10/20/2022
2,Austria,10/21/2021,"$775,000",0,0,0,"$775,000",10/20/2022
3,Brazil,10/7/2021,"$2,700,000",0,0,0,"$10,100,000",10/20/2022
4,Chile,10/7/2021,$0,0,0,0,"$3,000,000",10/20/2022
5,Colombia,10/7/2021,$0,0,0,0,"$3,600,000",10/20/2022
6,Czech Republic,10/15/2021,"$1,010,297",195,195,679,"$2,423,308",10/20/2022
7,Finland,10/22/2021,"$409,373",85,85,422,"$1,096,964",10/20/2022
8,France,10/20/2021,"$5,200,000",0,0,0,"$9,400,000",10/20/2022
9,Germany,10/21/2021,"$4,300,000",0,0,0,"$7,400,000",10/20/2022
10,Hong Kong,10/14/2021,$0,0,0,0,"$3,600,000",10/20/2022
11,India,10/15/2021,"$2,100,000",0,0,0,"$4,100,000",10/20/2022
12,Indonesia,11/18/2021,"$321,000",535,535,535,"$3,700,000",10/22/2022
13,Italy,10/14/2021,"$3,198,232",0,0,0,"$8,009,802",10/20/2022
14,Japan,12/3/2021,"$5,500,000",0,0,0,"$9,300,000",10/20/2022
15,Lithuania,10/14/2021,"$119,409",15,15,72,"$385,430",10/20/2022
16,Mexico,10/7/2021,"$8,054,565",0,0,0,"$23,424,600",10/20/2022
17,Netherlands,10/21/2021,"$681,628",204,204,1024,"$2,389,563",10/20/2022
18,New Zealand,11/25/2021,"$274,313",64,85,397,"$917,645",10/20/2022
19,Poland,10/15/2021,"$1,300,000",0,0,0,"$2,900,000",10/20/2022
20,Portugal,10/14/2021,"$483,148",109,109,493,"$1,300,095",1/4/2022
21,Romania,10/15/2021,"$399,224",82,82,478,"$854,105",10/20/2022
22,Russia (CIS),9/30/2021,"$15,124,606",1861,1965,9313,"$37,097,281",10/20/2022
23,Saudi Arabia,10/14/2021,"$2,100,000",0,0,0,"$4,700,000",10/20/2022
24,Singapore,10/14/2021,"$1,100,000",0,0,0,"$1,100,000",10/20/2022
25,Slovakia,10/14/2021,"$306,448",71,71,240,"$637,454",10/20/2022
26,South Korea,10/13/2021,"$6,723,064",1998,1998,6109,"$17,879,576",12/1/2021
27,Spain,10/15/2021,"$3,783,188",359,366,2407,"$10,068,222",12/26/2021
28,Sweden,10/20/2021,"$910,000",0,0,0,"$910,000",10/20/2022
29,Taiwan,10/13/2021,"$2,800,000",0,0,0,"$4,900,000",10/20/2022
30,Turkey,10/15/2021,"$486,834",484,484,2353,"$2,698,025",10/20/2022
31,Ukraine,10/14/2021,"$2,700,000",0,0,0,"$3,500,000",10/20/2022
32,United Arab Emirates,10/15/2021,"$2,000,000",0,0,0,"$3,800,000",10/31/2021
33,United Kingdom,10/15/2021,"$8,483,952",597,607,3641,"$23,908,584",12/15/2021
34,,,,,,,,
35,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$64,478,608",
36,,,,,,,,
37,International Total,International Total,International Total,International Total,International Total,International Total,"$287,996,556",10/22/2022
