,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,7/8/2021,"$583,515",0,0,0,"$1,761,521",10/20/2022
1,Australia,7/9/2021,"$4,589,921",590,590,2147,"$9,511,804",10/20/2022
2,Belgium,7/7/2021,$0,0,0,0,"$1,892,000",10/6/2021
3,Brazil,7/8/2021,"$2,400,000",0,0,0,"$6,619,928",9/24/2021
4,Czech Republic,7/9/2021,"$559,279",179,179,508,"$1,837,528",10/20/2022
5,Finland,7/7/2021,$0,0,29,62,"$1,090,000",10/20/2022
6,France,7/7/2021,"$6,900,000",0,649,1934,"$15,133,000",10/6/2021
7,Germany,7/9/2021,"$2,500,000",0,0,0,"$8,466,000",10/20/2022
8,Hong Kong,7/7/2021,"$3,200,000",0,0,0,"$6,616,590",9/24/2021
9,Indonesia,9/16/2021,"$201,019",0,0,0,"$442,099",10/20/2022
10,Italy,7/9/2021,"$1,667,590",0,321,321,"$5,694,820",10/20/2022
11,Japan,7/8/2021,"$3,300,000",0,0,0,"$8,617,466",9/24/2021
12,Lithuania,7/9/2021,"$39,056",18,18,57,"$103,970",10/20/2022
13,Malaysia,9/23/2021,$0,0,0,0,"$248,896",10/20/2022
14,Mexico,7/8/2021,"$4,692,923",0,0,0,"$9,859,697",10/20/2022
15,Netherlands,7/9/2021,"$952,497",240,243,1208,"$4,485,400",10/20/2022
16,New Zealand,7/8/2021,"$894,422",99,100,560,"$2,771,313",10/20/2022
17,Poland,7/9/2021,"$780,747",0,0,0,"$2,667,251",10/20/2022
18,Portugal,7/9/2021,"$237,617",140,140,484,"$886,951",10/20/2022
19,Romania,7/9/2021,"$220,592",125,125,499,"$684,219",10/20/2022
20,Russia (CIS),7/8/2021,"$3,964,601",1952,1952,7228,"$9,425,410",10/20/2022
21,Slovakia,7/9/2021,"$213,188",72,72,176,"$503,708",8/27/2021
22,South Korea,7/7/2021,"$8,822,114",2526,2526,6973,"$25,485,196",12/8/2021
23,Spain,7/8/2021,"$1,936,928",351,351,1871,"$7,329,424",10/20/2022
24,Sweden,7/7/2021,$0,0,0,0,"$2,368,000",10/20/2022
25,Taiwan,7/14/2021,"$382,892",0,0,0,"$1,697,162",9/24/2021
26,Thailand,10/1/2021,"$157,000",0,0,0,"$408,000",10/20/2022
27,Turkey,7/9/2021,"$288,142",584,584,1925,"$1,533,302",10/20/2022
28,United Kingdom,7/7/2021,"$9,536,527",644,649,4194,"$25,571,420",10/6/2021
29,,,,,,,,
30,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$32,387,401",
31,,,,,,,,
32,International Total,International Total,International Total,International Total,International Total,International Total,"$196,099,476",10/20/2022
