,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,6/25/2021,"$674,000",137,137,137,"$674,000",10/20/2022
1,Australia,6/17/2021,"$6,713,707",754,754,2557,"$15,609,090",10/20/2022
2,Austria,7/16/2021,"$1,389,000",75,75,75,"$1,389,000",10/20/2022
3,Belgium,7/16/2021,"$1,700,000",74,74,415,"$4,283,000",10/20/2022
4,Bolivia,6/25/2021,"$211,000",17,17,17,"$211,000",10/20/2022
5,Brazil,6/24/2021,"$2,651,000",569,629,5016,"$13,647,000",10/20/2022
6,Bulgaria,6/18/2021,"$447,000",65,65,65,"$447,000",10/20/2022
7,Central America,6/25/2021,"$1,769,000",356,356,356,"$1,769,000",6/28/2021
8,Chile,7/23/2021,"$307,000",60,65,125,"$906,000",10/20/2022
9,China,5/21/2021,"$128,250,000",240254,240254,471440,"$215,330,000",6/21/2021
10,Colombia,6/25/2021,"$1,775,000",198,199,397,"$4,966,000",10/20/2022
11,Croatia,6/18/2021,"$196,000",35,35,35,"$196,000",10/20/2022
12,Cyprus,6/25/2021,"$68,000",7,7,7,"$68,000",10/20/2022
13,Czech Republic,6/17/2021,"$270,931",174,174,461,"$1,201,047",10/20/2022
14,Denmark,6/25/2021,"$740,000",93,93,93,"$740,000",10/20/2022
15,Ecuador,6/25/2021,"$769,000",52,52,52,"$769,000",6/28/2021
16,Egypt,5/21/2021,"$312,000",24,27,102,"$1,158,000",10/20/2022
17,Estonia,6/25/2021,"$141,000",25,25,25,"$141,000",10/20/2022
18,Finland,6/30/2021,"$609,000",98,98,248,"$1,635,718",10/20/2022
19,France,7/14/2021,"$9,410,000",754,754,3673,"$16,780,000",10/20/2022
20,Germany,7/15/2021,"$6,833,000",611,644,4339,"$21,862,000",10/20/2022
21,Greece,6/17/2021,"$142,000",25,25,25,"$142,000",10/20/2022
22,Hong Kong,5/21/2021,"$2,511,000",55,55,274,"$4,499,000",10/20/2022
23,Hungary,6/25/2021,"$223,000",60,60,60,"$223,000",10/20/2022
24,Iceland,6/25/2021,"$72,000",11,11,11,"$72,000",10/20/2022
25,India,9/3/2021,"$1,456,000",1140,1140,2209,"$2,772,000",9/21/2021
26,Indonesia,6/16/2021,"$3,635,000",368,368,707,"$5,004,000",10/20/2022
27,Israel,6/18/2021,"$1,563,000",33,33,66,"$2,812,000",10/20/2022
28,Italy,8/18/2021,"$1,045,205",0,300,300,"$5,671,775",10/20/2022
29,Japan,8/6/2021,"$7,253,000",0,374,2230,"$32,013,000",9/21/2021
30,Latvia,7/2/2021,"$16,000",6,6,6,"$16,000",10/20/2022
31,Lebanon,6/18/2021,"$494,000",11,11,11,"$494,000",6/21/2021
32,Lithuania,6/25/2021,"$59,490",14,14,77,"$253,162",10/20/2022
33,Malaysia,10/21/2021,"$152,000",110,110,110,"$152,000",10/20/2022
34,Mexico,6/25/2021,"$9,084,020",0,0,0,"$26,100,091",10/20/2022
35,Middle East Region,5/21/2021,"$665,000",54,65,235,"$2,153,000",6/14/2021
36,Mongolia,9/17/2021,"$18,000",11,11,11,"$18,000",10/20/2022
37,Netherlands,7/8/2021,"$1,191,467",241,241,1321,"$7,329,097",10/20/2022
38,New Zealand,6/18/2021,"$1,358,064",98,98,667,"$3,442,290",10/20/2022
39,Norway,6/25/2021,"$1,057,000",157,157,157,"$1,057,000",10/20/2022
40,Paraguay,6/25/2021,"$102,000",0,0,0,"$102,000",10/20/2022
41,Peru,8/26/2021,"$284,000",89,90,179,"$661,000",10/20/2022
42,Poland,6/25/2021,"$893,000",213,213,213,"$893,000",10/20/2022
43,Portugal,6/25/2021,"$575,494",180,180,948,"$2,522,417",10/19/2021
44,Romania,6/25/2021,"$720,734",136,136,803,"$2,082,138",10/20/2022
45,Russia (CIS),5/21/2021,"$6,224,092",1783,2093,8776,"$20,873,094",10/20/2022
46,Saudi Arabia,5/21/2021,"$2,668,000",37,39,227,"$7,951,000",10/20/2022
47,Serbia and Montenegro,6/18/2021,"$213,000",69,69,69,"$213,000",10/20/2022
48,Singapore,7/1/2021,"$1,872,000",35,35,35,"$1,872,000",10/20/2022
49,Slovakia,6/17/2021,"$159,722",67,67,232,"$572,260",8/3/2021
50,Slovenia,6/18/2021,"$57,000",16,16,16,"$57,000",10/20/2022
51,South Africa,6/25/2021,"$788,000",136,136,136,"$788,000",10/20/2022
52,South Korea,5/21/2021,"$5,581,762",2296,2296,6528,"$18,837,644",8/26/2021
53,Spain,7/2/2021,"$3,317,650",377,377,2364,"$11,343,248",9/9/2021
54,Sweden,7/14/2021,"$1,010,000",132,132,210,"$2,664,000",10/20/2022
55,Switzerland (French Speaking),7/16/2021,"$398,000",35,35,35,"$398,000",10/20/2022
56,Switzerland (German Speaking),7/16/2021,"$1,129,000",78,80,229,"$2,463,000",10/20/2022
57,Switzerland (Italian Speaking),8/20/2021,"$18,000",5,5,5,"$18,000",10/20/2022
58,Taiwan,8/13/2021,"$1,833,000",121,121,551,"$4,571,000",10/20/2022
59,Thailand,10/21/2021,"$1,614,000",351,351,351,"$1,614,000",10/20/2022
60,Trinidad,6/25/2021,"$54,000",7,7,7,"$54,000",10/20/2022
61,Turkey,7/2/2021,"$520,174",1139,1139,4070,"$3,899,488",10/20/2022
62,Ukraine,6/17/2021,"$1,536,000",209,209,241,"$2,336,974",5/11/2022
63,United Arab Emirates,5/21/2021,"$2,636,000",70,70,342,"$5,663,000",6/21/2021
64,United Kingdom,6/25/2021,"$8,358,766",594,609,3891,"$22,425,097",10/13/2021
65,Uruguay,7/23/2021,"$69,000",19,19,19,"$69,000",10/20/2022
66,Vietnam,1/7/2022,$0,0,1,2,"$538,238",4/20/2022
67,,,,,,,,
68,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$34,259,425",
69,,,,,,,,
70,International Total,International Total,International Total,International Total,International Total,International Total,"$547,746,293",10/20/2022
