,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,11/4/2021,"$986,823",0,0,0,"$2,758,073",10/20/2022
1,Australia,11/4/2021,"$4,388,014",695,695,2264,"$10,487,286",10/20/2022
2,Austria,11/3/2021,"$615,404",0,0,0,"$1,204,627",10/20/2022
3,Belgium,11/3/2021,"$746,984",0,0,0,"$1,841,518",10/20/2022
4,Brazil,11/4/2021,"$4,168,216",0,0,0,"$12,807,230",10/20/2022
5,Chile,11/4/2021,"$897,554",0,0,0,"$2,486,481",10/20/2022
6,Colombia,11/4/2021,"$1,209,533",0,0,0,"$3,375,149",10/20/2022
7,Croatia,11/4/2021,$0,0,0,0,$0,
8,Czech Republic,11/4/2021,"$397,107",184,184,578,"$1,102,633",10/20/2022
9,Denmark,11/3/2021,"$258,232",0,0,0,"$674,573",10/20/2022
10,Finland,11/3/2021,"$219,882",80,80,281,"$677,689",10/20/2022
11,France,11/3/2021,"$6,921,174",0,0,0,"$16,241,326",10/20/2022
12,Germany,11/3/2021,"$4,046,322",0,0,0,"$9,402,775",10/20/2022
13,Greece,11/4/2021,$0,0,0,0,$0,
14,Hong Kong,11/3/2021,"$3,481,871",0,0,0,"$6,740,900",10/20/2022
15,Hungary,11/4/2021,$0,0,0,0,$0,
16,India,11/5/2021,"$2,724,513",0,0,0,"$5,559,655",10/20/2022
17,Indonesia,11/10/2021,"$3,400,843",0,0,0,"$7,101,480",10/20/2022
18,Israel,11/4/2021,$0,0,0,0,$0,
19,Italy,11/3/2021,"$3,748,320",0,0,0,"$9,766,392",10/20/2022
20,Japan,11/5/2021,"$3,663,548",0,0,0,"$10,537,338",12/28/2021
21,Lithuania,11/5/2021,"$79,555",15,15,50,"$192,584",10/20/2022
22,Malaysia,11/4/2021,"$1,251,980",0,0,0,"$2,678,278",10/20/2022
23,Mexico,11/4/2021,"$5,669,523",0,0,0,"$15,296,100",10/20/2022
24,Netherlands,11/3/2021,"$763,668",111,250,718,"$2,390,490",10/20/2022
25,New Zealand,11/4/2021,"$330,717",73,94,574,"$1,258,896",10/20/2022
26,Norway,11/3/2021,"$445,835",0,0,0,"$930,403",10/20/2022
27,Philippines,12/1/2021,"$606,188",0,0,0,"$1,263,440",10/20/2022
28,Poland,11/5/2021,"$709,379",0,0,0,"$2,164,144",10/20/2022
29,Portugal,11/4/2021,"$395,709",117,117,531,"$1,177,907",10/20/2022
30,Romania,11/5/2021,"$186,483",127,130,591,"$628,360",10/20/2022
31,Russia (CIS),11/8/2021,"$2,950,930",1810,1814,5456,"$10,758,366",10/20/2022
32,Singapore,11/4/2021,"$1,359,272",0,0,0,"$3,176,389",12/28/2021
33,Slovakia,11/4/2021,"$173,085",71,71,172,"$352,279",1/21/2022
34,South Korea,11/3/2021,"$12,641,556",2646,2646,7453,"$26,639,114",1/19/2022
35,Spain,11/5/2021,"$2,987,963",369,369,1915,"$8,591,970",10/20/2022
36,Sweden,11/3/2021,"$1,219,977",0,0,0,"$2,299,311",10/20/2022
37,Switzerland,11/3/2021,"$543,590",0,0,0,"$1,410,778",10/20/2022
38,Taiwan,11/3/2021,"$3,706,854",0,0,0,"$9,240,010",10/20/2022
39,Thailand,11/4/2021,"$1,598,657",0,0,0,"$3,265,159",10/20/2022
40,Turkey,11/5/2021,"$301,540",762,762,2176,"$1,606,135",10/20/2022
41,Ukraine,11/4/2021,$0,0,0,0,$0,
42,United Kingdom,11/5/2021,"$7,361,815",642,649,3300,"$19,956,029",10/20/2022
43,Venezuela,11/4/2021,"$78,575",0,0,0,"$78,575",10/20/2022
44,Vietnam,12/3/2021,"$200,000",0,0,0,"$200,000",10/20/2022
45,,,,,,,,
46,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$18,541,653",
47,,,,,,,,
48,International Total,International Total,International Total,International Total,International Total,International Total,"$236,861,495",10/20/2022
