,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,9/30/2021,"$262,000",192,192,192,"$262,000",10/20/2022
1,Australia,11/11/2021,"$8,221,928",817,817,4014,"$24,769,923",10/20/2022
2,Austria,9/30/2021,"$1,987,000",96,96,286,"$8,272,488",4/20/2022
3,Belgium,9/29/2021,"$1,719,000",95,95,373,"$7,521,000",10/20/2022
4,Bolivia,9/30/2021,"$62,000",16,16,16,"$62,000",10/20/2022
5,Brazil,9/30/2021,"$1,302,000",633,642,1275,"$2,342,000",10/20/2022
6,Central America,10/1/2021,"$437,000",148,148,148,"$437,000",10/5/2021
7,Chile,9/30/2021,"$187,000",72,72,72,"$187,000",10/20/2022
8,China,10/28/2021,"$27,870,000",105874,105874,218588,"$65,050,000",1/4/2022
9,Colombia,9/30/2021,"$532,000",204,204,204,"$532,000",10/20/2022
10,Croatia,9/30/2021,"$227,000",65,65,65,"$227,000",10/20/2022
11,Cyprus,9/30/2021,"$74,000",8,8,8,"$74,000",10/5/2021
12,Czech Republic,10/1/2021,"$959,928",220,220,835,"$3,013,674",10/20/2022
13,Ecuador,9/30/2021,"$211,000",50,50,50,"$211,000",10/5/2021
14,Estonia,10/1/2021,"$180,000",26,26,26,"$180,000",10/5/2021
15,Finland,9/30/2021,"$1,950,481",140,142,1354,"$10,748,905",10/20/2022
16,France,10/6/2021,"$10,342,000",1057,1057,4981,"$38,638,000",10/20/2022
17,Germany,9/30/2021,"$15,070,000",830,830,6984,"$74,516,000",10/20/2022
18,Greece,9/30/2021,"$575,000",249,249,249,"$575,000",10/5/2021
19,Hong Kong,9/30/2021,"$2,934,000",63,63,185,"$6,017,000",10/20/2022
20,Iceland,10/8/2021,"$200,000",0,0,0,"$200,000",10/20/2022
21,India,9/30/2021,"$2,001,000",1248,1248,1982,"$3,222,000",10/20/2022
22,Indonesia,9/30/2021,"$1,002,000",379,379,729,"$1,920,000",10/20/2022
23,Italy,9/30/2021,"$2,994,000",517,517,524,"$9,419,390",9/8/2022
24,Japan,10/1/2021,"$5,489,000",378,378,2635,"$22,943,000",10/20/2022
25,Latvia,10/1/2021,"$104,000",13,13,13,"$104,000",10/5/2021
26,Lithuania,10/1/2021,"$115,765",18,18,99,"$469,677",1/5/2022
27,Malaysia,11/25/2021,"$510,000",125,125,246,"$849,000",10/20/2022
28,Mexico,9/30/2021,"$2,098,482",0,0,0,"$6,144,431",10/20/2022
29,Mongolia,9/30/2021,"$24,000",11,11,11,"$24,000",10/20/2022
30,Netherlands,9/30/2021,"$4,089,273",288,288,3091,"$23,887,855",5/11/2022
31,New Zealand,10/7/2021,$457,1,104,1172,"$3,975,823",9/5/2022
32,Pakistan,12/9/2021,"$52,000",55,55,55,"$100,000",10/20/2022
33,Paraguay,9/30/2021,"$29,000",17,17,17,"$29,000",10/20/2022
34,Peru,9/30/2021,"$78,000",97,97,97,"$78,000",10/20/2022
35,Philippines,12/15/2021,"$56,000",92,92,92,"$56,000",10/20/2022
36,Portugal,10/1/2021,"$830,084",198,198,905,"$2,961,942",1/25/2022
37,Romania,10/1/2021,"$316,555",125,125,767,"$982,551",10/20/2022
38,Russia (CIS),10/7/2021,"$5,057,427",1991,1991,7363,"$14,480,498",10/20/2022
39,Serbia and Montenegro,10/7/2021,"$272,000",62,62,62,"$272,000",10/20/2022
40,Singapore,9/30/2021,"$813,000",38,38,76,"$1,548,000",10/20/2022
41,Slovakia,10/1/2021,"$330,144",82,82,299,"$848,405",10/20/2022
42,Slovenia,9/30/2021,"$161,000",23,23,24,"$589,716",4/20/2022
43,South Africa,10/1/2021,"$496,000",126,126,126,"$496,000",10/5/2021
44,South Korea,9/29/2021,"$3,280,605",2201,2201,5443,"$10,110,566",11/24/2021
45,Spain,10/1/2021,"$2,532,788",382,382,2333,"$9,271,385",8/17/2022
46,Switzerland,9/30/2021,$0,0,2,3,"$16,656,066",9/8/2022
47,Switzerland (French Speaking),9/29/2021,"$775,000",43,43,81,"$1,571,000",10/20/2022
48,Switzerland (German Speaking),9/29/2021,"$2,568,000",115,115,699,"$12,425,000",10/20/2022
49,Taiwan,9/30/2021,"$1,521,000",128,128,199,"$3,054,000",10/20/2022
50,Thailand,10/7/2021,"$657,000",235,235,235,"$657,000",10/20/2022
51,Trinidad,10/15/2021,"$41,000",14,14,14,"$41,000",10/20/2022
52,Turkey,10/1/2021,"$198,967",672,672,1906,"$1,195,131",10/20/2022
53,Ukraine,9/30/2021,"$937,000",207,207,239,"$2,503,654",5/11/2022
54,United Kingdom,9/30/2021,"$35,174,370",773,778,7810,"$127,965,396",10/19/2022
55,Uruguay,9/30/2021,$0,0,0,0,$0,
56,,,,,,,,
57,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$74,381,179",
58,,,,,,,,
59,International Total,International Total,International Total,International Total,International Total,International Total,"$599,068,655",10/20/2022
