,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,7/22/2021,"$205,000",0,0,0,"$458,068",10/20/2022
1,Australia,5/28/2021,"$2,423,168",542,542,2384,"$9,888,948",10/10/2022
2,Brazil,6/17/2021,$0,0,0,0,"$1,563,863",8/11/2021
3,China,5/28/2021,"$14,870,000",77900,77900,147965,"$38,550,000",7/2/2021
4,Czech Republic,6/11/2021,"$120,772",136,136,338,"$358,805",10/20/2022
5,France,6/16/2021,$0,0,0,0,"$4,823,251",7/16/2021
6,Germany,6/24/2021,$0,0,0,0,"$1,483,713",7/16/2021
7,Hong Kong,6/10/2021,"$886,517",0,0,0,"$886,517",6/26/2021
8,Indonesia,5/26/2021,"$1,500,000",0,0,0,"$2,130,715",10/20/2022
9,Italy,6/24/2021,"$392,774",0,0,0,"$1,024,836",10/20/2022
10,Japan,6/18/2021,"$735,675",0,0,0,"$2,121,808",7/2/2021
11,Lithuania,5/28/2021,"$34,706",15,15,73,"$124,720",11/3/2021
12,Mexico,6/9/2021,"$2,300,000",0,0,0,"$6,628,692",10/20/2022
13,Netherlands,6/25/2021,"$381,753",98,98,382,"$1,401,621",10/20/2022
14,New Zealand,5/27/2021,"$451,068",90,94,545,"$1,901,189",10/26/2021
15,Portugal,5/28/2021,"$94,051",71,85,338,"$389,583",10/20/2022
16,Romania,6/11/2021,"$123,527",86,86,263,"$278,102",10/20/2022
17,Russia (CIS),5/27/2021,"$763,837",1877,1992,8387,"$8,896,968",10/20/2022
18,Slovakia,6/11/2021,"$104,405",60,60,170,"$274,718",7/20/2021
19,South Korea,6/16/2021,"$2,428,185",1124,1124,3160,"$7,281,069",9/16/2021
20,Spain,6/25/2021,"$40,621",246,323,1246,"$1,947,685",8/6/2021
21,Turkey,7/16/2021,"$59,691",308,308,826,"$402,035",10/20/2022
22,United Kingdom,6/3/2021,"$5,049,615",561,620,3952,"$16,065,351",8/4/2021
23,,,,,,,,
24,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$27,552,335",
25,,,,,,,,
26,International Total,International Total,International Total,International Total,International Total,International Total,"$136,434,592",10/20/2022
