,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,1/1/2022,"$1,635,219",339,485,2625,"$7,529,205",11/21/2022
1,Czech Republic,1/7/2022,"$4,581",20,173,467,"$168,854",10/20/2022
2,Finland,11/26/2021,"$80,642",84,84,258,"$242,191",10/20/2022
3,France,12/1/2021,"$2,000,000",0,0,0,"$3,200,000",10/20/2022
4,Germany,11/18/2021,"$1,200,000",0,0,0,"$1,200,000",10/20/2022
5,Italy,11/18/2021,"$1,175,410",0,0,0,"$2,786,589",10/20/2022
6,Japan,2/4/2022,$0,0,0,0,"$3,400,000",4/14/2022
7,Lithuania,11/19/2021,"$39,620",15,15,46,"$86,801",10/20/2022
8,Mexico,11/18/2021,"$2,307,803",0,0,0,"$6,053,855",10/20/2022
9,Netherlands,11/18/2021,"$434,183",138,138,593,"$1,114,161",10/20/2022
10,New Zealand,1/1/2022,"$102,126",88,96,532,"$787,663",10/20/2022
11,Portugal,11/18/2021,"$2,918",8,84,268,"$285,128",10/20/2022
12,Romania,12/3/2021,"$77,872",77,77,251,"$202,691",10/20/2022
13,Russia (CIS),12/2/2021,"$1,430,411",1323,1323,3804,"$4,499,843",10/20/2022
14,Slovakia,3/25/2022,"$10,821",63,63,96,"$20,142",4/15/2022
15,South Korea,12/1/2021,"$408,838",826,826,1325,"$898,992",1/19/2022
16,Spain,12/3/2021,"$1,259,753",375,396,1941,"$3,724,100",2/15/2022
17,Turkey,11/19/2021,"$62,356",283,290,729,"$342,130",10/20/2022
18,United Kingdom,11/19/2021,"$5,812,804",658,659,4204,"$15,587,562",1/26/2022
19,,,,,,,,
20,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$22,123,656",
21,,,,,,,,
22,International Total,International Total,International Total,International Total,International Total,International Total,"$74,253,563",11/21/2022
