,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Albania,6/9/2022,$0,0,4,4,"$23,595",9/21/2022
1,Argentina,6/2/2022,"$2,776,000",205,220,1067,"$11,782,078",2/15/2023
2,Australia,6/9/2022,"$8,739,136",751,751,3246,"$24,904,932",11/23/2022
3,Austria,6/9/2022,"$901,714",79,81,466,"$3,107,871",11/3/2022
4,Azerbaijan,6/16/2022,$0,0,0,0,"$117,215",8/17/2022
5,Bangladesh,6/10/2022,"$32,057",8,8,16,"$96,756",7/27/2022
6,Belgium,6/8/2022,"$1,998,549",95,95,644,"$5,645,696",11/3/2022
7,Bolivia,6/2/2022,"$436,000",21,21,111,"$1,837,270",9/21/2022
8,Bosnia and Herzegovina,6/9/2022,$0,0,8,27,"$56,358",9/21/2022
9,Brazil,6/2/2022,"$4,316,000",728,736,3106,"$15,431,266",12/21/2022
10,Bulgaria,6/10/2022,"$239,516",60,60,188,"$691,673",9/8/2022
11,Central America,6/2/2022,"$2,131,000",146,160,619,"$7,481,120",10/5/2022
12,Chile,6/2/2022,"$1,616,000",81,81,384,"$5,604,438",9/14/2022
13,China,6/10/2022,"$52,380,000",176340,176340,592564,"$157,939,870",8/15/2022
14,Colombia,6/2/2022,"$1,608,000",216,220,688,"$6,154,595",9/2/2022
15,Croatia,6/9/2022,"$118,333",62,62,173,"$341,305",11/3/2022
16,Cyprus,6/9/2022,"$31,332",8,8,47,"$118,260",8/24/2022
17,Czech Republic,6/9/2022,"$659,203",222,222,976,"$2,391,473",11/14/2022
18,Denmark,6/9/2022,"$850,826",104,105,506,"$2,886,744",10/21/2022
19,Ecuador,6/2/2022,"$1,174,000",52,52,265,"$3,021,605",9/28/2022
20,Egypt,6/9/2022,"$199,706",34,35,124,"$900,928",8/24/2022
21,Estonia,6/10/2022,"$74,744",19,19,85,"$295,459",9/21/2022
22,Finland,6/8/2022,"$250,702",120,120,707,"$1,540,393",11/13/2022
23,France,6/8/2022,"$9,798,629",759,854,5010,"$29,463,248",9/28/2022
24,Germany,6/9/2022,"$7,345,519",639,692,5856,"$24,869,184",11/3/2022
25,Greece,6/9/2022,"$244,018",0,0,0,"$698,845",9/2/2022
26,Hong Kong,6/3/2022,"$2,882,000",63,63,262,"$6,835,695",9/8/2022
27,Hungary,6/9/2022,"$690,576",69,75,353,"$1,900,248",10/14/2022
28,Iceland,6/8/2022,"$82,898",11,11,24,"$218,671",8/3/2022
29,India,6/10/2022,"$5,815,658",1890,1890,3125,"$12,111,672",9/8/2022
30,Indonesia,6/8/2022,"$4,680,425",412,413,1241,"$10,418,417",9/2/2022
31,Israel,6/9/2022,"$485,363",35,35,159,"$1,577,620",9/2/2022
32,Italy,6/2/2022,"$3,406,499",0,7,11,"$8,704,766",11/13/2022
33,Japan,7/29/2022,"$9,643,519",379,381,3838,"$46,758,727",11/16/2022
34,Kazakhstan,6/16/2022,$0,0,10,13,"$1,182,847",8/10/2022
35,Kenya,6/10/2022,$0,0,1,5,"$87,609",9/21/2022
36,Latvia,6/10/2022,"$41,787",14,14,56,"$168,415",9/2/2022
37,Lebanon,6/9/2022,"$233,921",11,11,65,"$2,636,227",2/1/2023
