,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,3/3/2022,"$8,490,860",738,738,3646,"$25,421,803",4/3/2023
1,Brazil,3/3/2022,"$8,800,000",2367,2427,6728,"$18,200,000",10/20/2022
2,China,3/17/2022,"$11,470,000",84132,84132,191104,"$24,310,000",6/16/2022
3,Czech Republic,3/4/2022,"$477,564",217,217,654,"$1,666,639",10/20/2022
4,Finland,3/4/2022,"$618,033",105,105,603,"$2,570,460",10/20/2022
5,France,3/2/2022,"$8,400,000",991,991,2896,"$19,300,000",10/20/2022
6,Germany,3/3/2022,"$5,500,000",903,930,2738,"$13,500,000",10/20/2022
7,India,3/4/2022,"$3,500,000",1829,1829,1829,"$3,500,000",10/20/2022
8,Indonesia,3/4/2022,"$2,600,000",0,0,0,"$2,600,000",10/20/2022
9,Italy,3/3/2022,"$4,020,346",0,0,0,"$10,744,448",10/20/2022
10,Japan,3/11/2022,"$3,200,000",358,821,1179,"$6,400,000",10/20/2022
11,Lithuania,3/4/2022,"$94,907",19,19,80,"$387,102",10/20/2022
12,Mexico,3/3/2022,"$10,049,675",0,0,0,"$31,208,154",4/27/2022
13,Netherlands,3/4/2022,"$1,628,002",178,178,1268,"$5,831,226",5/24/2022
14,New Zealand,3/3/2022,"$715,488",107,114,762,"$2,746,250",10/20/2022
15,Portugal,3/3/2022,"$525,713",147,147,762,"$1,712,843",5/17/2022
16,Romania,3/4/2022,"$378,192",126,126,601,"$1,358,437",5/18/2022
17,Russia (CIS),3/3/2022,$0,0,201,1321,"$3,824,247",8/3/2022
18,Saudi Arabia,3/4/2022,"$2,600,000",0,229,229,"$6,200,000",10/20/2022
19,Slovakia,3/3/2022,"$210,704",82,82,250,"$593,327",5/3/2022
20,South Korea,3/1/2022,"$1,992,076",2345,2345,5930,"$7,081,329",3/9/2023
21,Spain,3/4/2022,"$3,715,210",378,397,2489,"$11,373,302",5/6/2022
22,Turkey,3/4/2022,"$803,594",828,828,2730,"$5,169,545",10/20/2022
23,United Kingdom,3/4/2022,"$17,880,358",706,715,5093,"$50,972,976",6/8/2022
24,,,,,,,,
25,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$140,309,046",
26,,,,,,,,
27,International Total,International Total,International Total,International Total,International Total,International Total,"$396,981,134",4/3/2023
