,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,7/7/2022,"$3,595,213",0,0,0,"$11,184,433",11/8/2022
1,Australia,7/6/2022,"$10,807,108",826,826,3918,"$28,333,287",10/22/2022
2,Austria,7/6/2022,"$1,122,821",0,0,0,"$3,320,721",10/22/2022
3,Belgium,7/6/2022,"$997,781",0,0,0,"$3,344,737",10/22/2022
4,Brazil,7/7/2022,"$7,967,792",0,0,0,"$23,159,323",11/8/2022
5,Chile,7/7/2022,"$1,795,896",0,0,0,"$5,395,394",9/28/2022
6,Colombia,7/7/2022,"$2,519,128",0,0,0,"$6,845,927",10/17/2022
7,Croatia,7/7/2022,$0,0,45,156,"$553,387",10/14/2022
8,Czech Republic,7/7/2022,"$993,718",193,193,969,"$3,261,271",9/27/2022
9,Denmark,7/6/2022,"$953,439",0,0,0,"$2,918,073",10/24/2022
10,Finland,7/1/2022,"$316,281",90,105,658,"$1,861,436",10/31/2022
11,France,7/13/2022,"$7,347,835",0,0,0,"$24,703,847",11/14/2022
12,Germany,7/6/2022,"$6,131,736",0,0,0,"$19,534,795",11/8/2022
13,Greece,7/7/2022,$0,0,0,0,$0,
14,Hong Kong,7/6/2022,"$3,139,433",0,0,0,"$6,512,314",10/22/2022
15,Hungary,7/7/2022,$0,0,0,0,$0,
16,India,7/7/2022,"$10,525,190",0,0,0,"$16,268,598",9/7/2022
17,Indonesia,7/6/2022,"$7,141,922",0,0,0,"$12,632,645",9/19/2022
18,Israel,7/7/2022,$0,0,0,0,$0,
19,Italy,7/6/2022,"$3,547,163",0,0,0,"$11,032,188",9/28/2022
20,Japan,7/8/2022,"$4,490,859",0,0,0,"$9,848,611",10/22/2022
21,Malaysia,7/7/2022,$0,0,0,0,$0,
22,Mexico,7/7/2022,"$11,666,014",0,0,0,"$29,095,575",10/22/2022
23,Netherlands,7/6/2022,"$1,624,344",278,280,1989,"$6,729,036",10/22/2022
24,New Zealand,7/7/2022,"$1,567,978",112,118,1013,"$5,283,795",12/12/2022
25,Norway,7/6/2022,"$1,233,194",0,0,0,"$3,327,773",11/8/2022
26,Philippines,7/6/2022,"$3,809,750",0,0,0,"$8,092,611",10/22/2022
27,Poland,7/8/2022,"$1,224,715",0,0,0,"$4,202,811",10/24/2022
28,Portugal,7/7/2022,"$521,035",127,127,719,"$2,016,844",9/13/2022
29,Romania,7/8/2022,"$197,356",134,134,815,"$1,834,042",12/14/2022
30,Russia (CIS),7/7/2022,"$1,278,608",142,150,778,"$3,350,413",8/24/2022
31,Singapore,7/7/2022,"$2,245,176",0,0,0,"$5,696,528",10/22/2022
32,Slovakia,7/7/2022,"$400,962",82,82,375,"$1,187,063",9/14/2022
33,South Korea,7/6/2022,"$9,837,747",2044,2044,3428,"$22,608,225",9/13/2022
34,Spain,7/8/2022,"$3,522,646",402,402,2442,"$11,997,579",10/22/2022
35,Sweden,7/6/2022,"$1,629,463",0,0,0,"$4,119,380",10/24/2022
36,Switzerland,7/6/2022,"$689,397",0,0,0,"$2,953,857",10/22/2022
37,Taiwan,7/6/2022,"$3,639,519",0,0,0,"$7,538,652",9/7/2022
38,Thailand,7/6/2022,"$3,437,087",0,0,0,"$6,407,545",9/19/2022
39,Turkey,7/1/2022,"$745,516",932,932,4273,"$2,895,705",10/20/2022
40,Ukraine,7/21/2022,"$300,000",0,0,0,"$300,000",7/25/2022
41,United Arab Emirates,7/7/2022,$0,0,0,0,$0,
42,United Kingdom,7/7/2022,"$14,785,410",692,704,5652,"$45,311,721",11/8/2022
43,Vietnam,7/7/2022,$0,0,0,0,$0,
44,,,,,,,,
45,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$52,011,109",
46,,,,,,,,
47,International Total,International Total,International Total,International Total,International Total,International Total,"$417,671,251",12/14/2022
