,0,1,2,type
0,Tom Hanks,,Woody,Leading Cast
1,Tim Allen,,Buzz Lightyear,Leading Cast
0,Joan Cusack,,Jessie the Cowgirl,Supporting Cast
1,Ned Beatty,,Lotso,Supporting Cast
2,Don Rickles,,Mr. Potato Head,Supporting Cast
3,Michael Keaton,,Ken,Supporting Cast
4,Wallace Shawn,,Rex,Supporting Cast
5,John Ratzenberger,,Hamm the Piggy Bank,Supporting Cast
6,Estelle Harris,,Mrs. Potato Head,Supporting Cast
7,John Morris,,Andy,Supporting Cast
8,Jodi Benson,,Barbie,Supporting Cast
9,Emily Hahn,,Bonnie,Supporting Cast
10,Laurie Metcalf,,Andy's Mom,Supporting Cast
11,Blake Clark,,Slinky Dog,Supporting Cast
12,Teddy Newton,,Chatter Telephone,Supporting Cast
13,Bud Luckey,,Chuckles,Supporting Cast
14,Beatrice Miller,,Molly,Supporting Cast
15,Javier Fernandez-Pena,,Spanish Buzz,Supporting Cast
16,Timothy Dalton,,Mr. Pricklepants,Supporting Cast
17,Lori Alan,,Bonnie's Mom,Supporting Cast
18,Charlie Bright,,"Young Andy, Pea-in-a-Pod",Supporting Cast
19,Kristen Schaal,,Trixie,Supporting Cast
20,Jeff Garlin,,Buttercup,Supporting Cast
21,Bonnie Hunt,,Dolly,Supporting Cast
22,John Cygan,,Twitch,Supporting Cast
23,Jeff Pidgeon,,Aliens,Supporting Cast
24,Whoopi Goldberg,,Stretch,Supporting Cast
25,Jack Angel,,Chunk,Supporting Cast
26,R. Lee Ermey,,Sarge,Supporting Cast
27,Jan Rabson,,Sparks,Supporting Cast
28,Richard Kind,,Bookworm,Supporting Cast
29,Erik von Detten,,Sid,Supporting Cast
30,Amber Kroner,,Pea in a Pod,Supporting Cast
31,Jack Willis,,Frog,Supporting Cast
0,Lee Unkrich,,Director,Production and Technical Credits
1,Darla Anderson,,Producer,Production and Technical Credits
2,John Lasseter,,Executive Producer,Production and Technical Credits
3,Nicole Paradis Grindle,,Associate Producer,Production and Technical Credits
4,John Lasseter,,Story Creator,Production and Technical Credits
5,Andrew Stanton,,Story Creator,Production and Technical Credits
6,Lee Unkrich,,Story Creator,Production and Technical Credits
7,Michael Arndt,,Screenwriter,Production and Technical Credits
8,Randy Newman,,Music composed and conducted by,Production and Technical Credits
9,Jason Katz,,Story Supervisor,Production and Technical Credits
10,Ken Schretzmann,,Editor,Production and Technical Credits
11,Bob Pauley,,Production Designer,Production and Technical Credits
12,Guido Quaroni,,Supervising Technical Director,Production and Technical Credits
13,Michael Warch,,Production Designer,Production and Technical Credits
14,Bobby Podesta,,Supervising Animator,Production and Technical Credits
15,Michael Venturini,,Supervising Animator,Production and Technical Credits
16,Jeremy Lasky,,Cinematographer,Production and Technical Credits
17,Kim White,,Lighting,Production and Technical Credits
18,Sanjay Bakshi,,Character Supervisor,Production and Technical Credits
19,Brian Green,,Character Supervisor,Production and Technical Credits
20,David Eisenmann,,Sets Supervisor,Production and Technical Credits
21,Michael Fong,,Simulation & Effects Supervisor,Production and Technical Credits
22,Daisuke 'Dice' Tsutsumi,,Art Director,Production and Technical Credits
23,Daniel Arriaga,,Character Art Direction,Production and Technical Credits
24,Robert Kondo,,Sets Art Direction,Production and Technical Credits
25,Belinda Van Valkenburg,,Shading Art Direction,Production and Technical Credits
26,Tom Myers,,Sound Designer,Production and Technical Credits
27,Chris Montan,,Executive Music Producer,Production and Technical Credits
28,Tom MacDougall,,Music Supervisor,Production and Technical Credits
29,Paul Cichocki,,Post-Production Supervisor,Production and Technical Credits
30,Kevin Reher,,Casting Director,Production and Technical Credits
31,Natalie Lyon,,Casting Director,Production and Technical Credits
