,0,1,2,type
0,Jaden Smith,,Dre Parker,Leading Cast
1,Jackie Chan,,Mr. Han,Leading Cast
0,Taraji P. Henson,,,Supporting Cast
0,Harald Zwart,,Director,Production and Technical Credits
1,Christopher Murphey,,Screenwriter,Production and Technical Credits
2,Jerry Weintraub,,Producer,Production and Technical Credits
3,Will Smith,,Producer,Production and Technical Credits
4,Jada Pinkett Smith,,Producer,Production and Technical Credits
5,James Lassiter,,Producer,Production and Technical Credits
6,Ken Stovitz,,Producer,Production and Technical Credits
7,Dany Wolf,,Executive Producer,Production and Technical Credits
8,Susan Ekins,,Executive Producer,Production and Technical Credits
9,Sang Ping,,Executive Producer,Production and Technical Credits
10,Joel Negron,,Editor,Production and Technical Credits
11,Marty Eli Schwartz,,Assistant Director,Production and Technical Credits
