,0,1,2,type
0,Jeff Bridges,,Rooster Cogburn,Leading Cast
1,Matt Damon,,Texas Ranger La Boeuf,Leading Cast
2,Josh Brolin,,Tom Cheney,Leading Cast
3,Hailee Steinfeld,,Mattie Ross,Leading Cast
0,Barry Pepper,,"""Lucky"" Ned Pepper",Supporting Cast
0,Joel Coen,,Director,Production and Technical Credits
1,Joel Coen,,Screenwriter,Production and Technical Credits
2,Ethan Coen,,Producer,Production and Technical Credits
3,Joel Coen,,Producer,Production and Technical Credits
4,Scott Rudin,,Producer,Production and Technical Credits
5,David Ellison,,Executive Producer,Production and Technical Credits
6,Megan Ellison,,Executive Producer,Production and Technical Credits
7,Paul Schwake,,Executive Producer,Production and Technical Credits
8,Steven Spielberg,,Executive Producer,Production and Technical Credits
9,Ethan Coen,,Executive Producer,Production and Technical Credits
10,Charles Portis,,Based on the Novel By,Production and Technical Credits
11,Roger Deakins,,Cinematographer,Production and Technical Credits
12,Jess Gonchor,,Production Designer,Production and Technical Credits
13,Ethan Coen,,Editor,Production and Technical Credits
14,Joel Coen,,Editor,Production and Technical Credits
15,Roderick Jaynes,,Editor,Production and Technical Credits
16,Carter Burwell,,Composer,Production and Technical Credits
17,Christy Wilson,,Supervising Art Director,Production and Technical Credits
18,Stefan Dechant,,Art Director,Production and Technical Credits
19,Nancy Haigh,,Set Decorator,Production and Technical Credits
20,Mary Zophres,,Costume Designer,Production and Technical Credits
21,Peter F. Kurland,,Sound,Production and Technical Credits
22,Craig Berkey,,Sound Designer,Production and Technical Credits
23,Skip Lievsay,,Re-recording Mixer,Production and Technical Credits
24,Craig Berkey,,Re-recording Mixer,Production and Technical Credits
25,Greg Orloff,,Re-recording Mixer,Production and Technical Credits
26,Steve Cremin,,Special Effects Coordinator,Production and Technical Credits
27,Payam Shohadai,,Visual Effects Supervisor,Production and Technical Credits
28,Betsy Magruder,,Assistant Director,Production and Technical Credits
29,Jo Edna Boldin,,Casting,Production and Technical Credits
30,Ellen Chenoweth,,Casting,Production and Technical Credits
31,Rachel Tenner,,Casting,Production and Technical Credits
