,0,1,2,type
0,Sam Worthington,,Perseus,Leading Cast
0,Liam Neeson,,Zeus,Supporting Cast
1,Ralph Fiennes,,Hades,Supporting Cast
2,Jason Flemyng,,Calibos/Acrisius,Supporting Cast
3,Gemma Arterton,,Io,Supporting Cast
4,Alexa Davalos,,Andromeda,Supporting Cast
5,Tine Stapelfeldt,,Danae,Supporting Cast
6,Mads Mikkelsen,,Draco,Supporting Cast
7,Luke Evans,,Apollo,Supporting Cast
8,Izabella Miko,,Athena,Supporting Cast
9,Liam Cunningham,,Solon,Supporting Cast
10,Hans Matheson,,Ixas,Supporting Cast
11,Ashraf Barhom,,Ozal,Supporting Cast
12,Mouloud Achour,,Kucuk,Supporting Cast
13,Ian Whyte,,Sheikh Sulieman,Supporting Cast
14,Nicholas Hoult,,Eusebios,Supporting Cast
15,Vincent Regan,,Kepheus,Supporting Cast
16,Polly Walker,,Cassiopeia,Supporting Cast
17,Katherine Loeppky,,Aged Cassiopeia,Supporting Cast
18,Luke Treadaway,,Prokopion,Supporting Cast
19,Pete Postlethwaite,,Spyros,Supporting Cast
20,Elizabeth McGovern,,Marmara,Supporting Cast
21,Sinead Michael,,Tekia,Supporting Cast
22,Ross Mullan,,Pemphredo,Supporting Cast
23,Robin Berry,,Enyo,Supporting Cast
24,Graham Hughes,,Denio,Supporting Cast
25,Martin McCann,,Phaedrus,Supporting Cast
26,Rory McCann,,Belo,Supporting Cast
27,Kaya Scodelario,,Peshet,Supporting Cast
28,Alexander Siddig,,Hermes,Supporting Cast
29,Tamer Hassan,,Ares,Supporting Cast
30,Danny Huston,,Poseidon,Supporting Cast
31,William Houston,,Ammon,Supporting Cast
32,Jamie Sives,,Captain,Supporting Cast
33,Phil McKee,,Harbourmaster,Supporting Cast
34,Geoffrey Beevers,,Noble,Supporting Cast
35,Michael Grady-Hall,,Citizen 1,Supporting Cast
36,Laura Kachergus,,Citizen 2,Supporting Cast
37,Adrian Bouchet,,Soldier,Supporting Cast
38,David Kennedy,,Kepheus' General,Supporting Cast
39,Nina Young,,Hera,Supporting Cast
40,Jane March,,Hestia,Supporting Cast
41,Nathalie Cox,,Artemis,Supporting Cast
42,Charlotte Comer,,Demeter,Supporting Cast
0,Louis Leterrier,,Director,Production and Technical Credits
1,Travis Beacham,,Screenwriter,Production and Technical Credits
2,Phil Hay,,Screenwriter,Production and Technical Credits
3,Matt Manfredi,,Screenwriter,Production and Technical Credits
4,Desmond Davis,,Story Creator,Production and Technical Credits
5,Beverley Cross,,Story Creator,Production and Technical Credits
6,Basil Iwanyk,,Producer,Production and Technical Credits
7,Kevin De La Noy,,Producer,Production and Technical Credits
8,Richard D. Zanuck,,Executive Producer,Production and Technical Credits
9,Thomas Tull,,Executive Producer,Production and Technical Credits
10,Jon Jashni,,Executive Producer,Production and Technical Credits
11,William Fay,,Executive Producer,Production and Technical Credits
12,Peter Menzies,,Cinematographer,Production and Technical Credits
13,Martin Walsh,,Editor,Production and Technical Credits
14,Vincent Tabaillon,,Editor,Production and Technical Credits
15,Ramin Djawadi,,Composer,Production and Technical Credits
16,Martin Lang,,Production Designer,Production and Technical Credits
17,Troy Sizemore,,Supervising Art Director,Production and Technical Credits
18,Gary Freeman,,Supervising Art Director,Production and Technical Credits
19,Lindy Hemming,,Costume Designer,Production and Technical Credits
20,Ivan Sharrock,,Sound Mixer,Production and Technical Credits
21,James Mather,,Supervising Sound Editor,Production and Technical Credits
22,Jed Loughran,,Sound Effects Editor,Production and Technical Credits
23,Nick Davis,,Visual Effects Supervisor,Production and Technical Credits
24,Conor O'Sullivan,,Make-up and Prosthetic Effects Designer,Production and Technical Credits
25,Neil Corbould,,Special Effects Supervisor,Production and Technical Credits
26,Paul Jennings,,Stunt Coordinator,Production and Technical Credits
27,Karl McMillian,,Associate Producer,Production and Technical Credits
28,Brenda Berrisford,,Associate Producer,Production and Technical Credits
29,Terry Needham,,Assistant Director,Production and Technical Credits
30,Martin Kenzie,,Second Unit Director,Production and Technical Credits
31,Martin Kenzie,,Second Unit Camera,Production and Technical Credits
32,Lucinda Syson,,Casting Director,Production and Technical Credits
33,Elaine Grainger,,Casting Director,Production and Technical Credits
34,Tom Whitehead,,Set Designer,Production and Technical Credits
