,0,1,2,type
0,Adam Sandler,,Lenny Feder,Lead Ensemble Members
1,Kevin James,,Eric Lamonsoff,Lead Ensemble Members
2,Chris Rock,,Kurt McKenzie,Lead Ensemble Members
3,David Spade,,Marcus Higgins,Lead Ensemble Members
4,Rob Schneider,,Rob Hilliard,Lead Ensemble Members
0,Salma Hayek,,Roxane Chase-Feder,Supporting Cast
1,Maria Bello,,Pinault Sally Lamonsoff,Supporting Cast
2,Maya Rudolph,,Deanna McKenzie,Supporting Cast
3,Joyce Van Patten,,Gloria,Supporting Cast
4,Ebony Jo-Ann,,Mama Ronzoni,Supporting Cast
5,Di Quon,,Rita,Supporting Cast
6,Jamie Chung,,Amber Hilliard,Supporting Cast
0,Dennis Dugan,,Director,Production and Technical Credits
1,Adam Sandler,,Screenwriter,Production and Technical Credits
2,Fred Wolf,,Screenwriter,Production and Technical Credits
3,Adam Sandler,,Producer,Production and Technical Credits
4,Jack Giarraputo,,Producer,Production and Technical Credits
5,Barry Bernardi,,Executive Producer,Production and Technical Credits
6,Tim Herlihy,,Executive Producer,Production and Technical Credits
7,Allen Covert,,Executive Producer,Production and Technical Credits
8,Steve Koren,,Executive Producer,Production and Technical Credits
9,Kevin Grady,,Co-Producer,Production and Technical Credits
10,Theo Van de Sande,,Cinematographer,Production and Technical Credits
11,Tom Costain,,Editor,Production and Technical Credits
12,Rupert Gregson-Williams,,Composer,Production and Technical Credits
13,Michael Dilbeck,,Music Supervisor,Production and Technical Credits
14,Brooks Arthur,,Music Supervisor,Production and Technical Credits
15,Perry Andelin Blake,,Production Designer,Production and Technical Credits
16,Alan Au,,Art Director,Production and Technical Credits
17,Ellen Lutter,,Costume Designer,Production and Technical Credits
18,David Wyman,,Sound Designer,Production and Technical Credits
19,Thomas Causey,,Sound Designer,Production and Technical Credits
20,Elmo Weber,,Supervising Sound Editor,Production and Technical Credits
21,Frank Gaeta,,Supervising Sound Editor,Production and Technical Credits
22,Tateum Kohut,,Re-recording Mixer,Production and Technical Credits
23,Greg Orloff,,Re-recording Mixer,Production and Technical Credits
24,Scott Rogers,,Stunt Coordinator,Production and Technical Credits
25,Allen Hall,,Special Effects Coordinator,Production and Technical Credits
26,Matt Rebenkoff,,Assistant Director,Production and Technical Credits
27,Daryl Kass,,Associate Producer,Production and Technical Credits
28,Roger Mussenden,,Casting Director,Production and Technical Credits
29,Jeremy Rich,,Casting Director,Production and Technical Credits
